rank,cluster,matrix_gap_score,dominant_features,dominant_semanticprogram_axes,codex_matrix_instruction,acceptance_matrix
1,types_traits_generics,26.351872,interface_trait;attribute_annotation;rust.send_sync_auto_traits;generic;enum;struct;rust.trait_object_dyn;rust.enum_variant_semantics;generic_constraint;type_inference;primitive_integer;rust.const_generics;subtyping;cast_conversion;primitive_float;function_type;rust.unsize_coercion;rust.deref_coercion;rust.autoderef_autoref;rust.method_resolution,types.structure;types.origin;conversion.semantics;nodes.declaration;scope.binding;operations,"Implement the Rust type/trait cluster together: traits/impls, associated items, bounds/where clauses, trait objects, opaque/impl Trait, coherence, method resolution and coercions. Use structured declarations and explicit resolution evidence rather than string attributes.","Rerun the complete Rust Language Semantic Matrix and Rust-specific ontology; recompute generic + Rust-specific gaps and coupling; require lower cluster score, deterministic SemanticProgram JSON roundtrip, evidence validation, direct execution parity for supported constructs, and explicit backend capability rejection for unsupported semantics."
2,ownership_borrowing,21.534667,rust.mutable_borrow;rust.shared_borrow;rust.drop_semantics;rust.move_semantics;rust.drop_check;rust.aliasing_model;rust.copy_semantics;mutation;manual_memory;lifetime;rust.lifetime_parameters;rust.pin_unpin;reference;ownership;rust.interior_mutability;rust.smart_pointer_ownership;rust.higher_ranked_lifetimes;rust.region_inference;rust.borrow_checker;rust.nonlexical_lifetimes,ownership.lifetime;runtime.contract;types.structure;memory.model;binding.graph;data.flow,"Implement Rust ownership as a first-class semantic relation block: moves, copies, shared/mutable borrows, reborrows, regions/NLL, drops/destructor order and interior mutability. Ownership/Lifetime strings in SemanticType are metadata only; add executable/validated graph semantics and reject target lowerings that cannot preserve them.","Rerun the complete Rust Language Semantic Matrix and Rust-specific ontology; recompute generic + Rust-specific gaps and coupling; require lower cluster score, deterministic SemanticProgram JSON roundtrip, evidence validation, direct execution parity for supported constructs, and explicit backend capability rejection for unsupported semantics."
3,core_expression_control,12.729134,variable;scope;constant;rust.associated_consts;rust.vtable_dispatch;rust.destructor_order;shadowing;rust.associated_types;literal_null;literal_boolean;rust.where_clauses;symbol_table;rust.coherence_orphan;assignment;binary_op;rust.blanket_impl;identifier;literal_string;member_access;rust.specialization,operations;types.structure;scope.binding;evaluation.order;nodes.expression;data.flow,"Consolidate common expression/declaration/control semantics through typed frontend events. Remove parser heuristics and ensure identifiers, assignments, calls, operators, constants and basic blocks carry exact source type/evaluation/binding evidence.","Rerun the complete Rust Language Semantic Matrix and Rust-specific ontology; recompute generic + Rust-specific gaps and coupling; require lower cluster score, deterministic SemanticProgram JSON roundtrip, evidence validation, direct execution parity for supported constructs, and explicit backend capability rejection for unsupported semantics."
4,memory_unsafe_abi,12.585544,rust.pointer_provenance;unsafe;abi_calling_convention;layout_alignment;ffi;rust.slice_fat_pointer;rust.raw_pointer_deref;rust.unsafe_block;rust.option_niche_optimization;rust.abi_layout;rust.dst_unsized;rust.ffi_extern_abi;rust.repr_attributes;gc,abi.ffi;memory.model;ownership.lifetime;types.structure;operations;effect.graph,"Implement unsafe/memory/ABI contracts as one boundary matrix: raw pointers, provenance/aliasing, repr/layout, fat pointers/DST, extern ABI and unsafe obligations. Separate universal observable semantics from rustc/LLVM implementation details.","Rerun the complete Rust Language Semantic Matrix and Rust-specific ontology; recompute generic + Rust-specific gaps and coupling; require lower cluster score, deterministic SemanticProgram JSON roundtrip, evidence validation, direct execution parity for supported constructs, and explicit backend capability rejection for unsupported semantics."
5,patterns_control,10.887168,rust.result_question_operator;pattern;rust.pattern_destructuring;yield;rust.if_let_while_let;rust.let_else;rust.never_type_divergence;goto_label;rust.match_exhaustiveness;foreach_iteration;rust.match_guards;rust.ref_patterns;rust.loop_break_value;switch_match;if;for;while;return;break;continue,evaluation.order;control.flow;effects.control;data.flow;nodes.expression;types.structure,"Implement Rust pattern/control semantics as one block: destructuring bindings, ref modes, match guards/exhaustiveness, if-let/while-let/let-else, diverging/never flow, loop break values and ? propagation. Preserve single evaluation, binding scopes and control/data edges.","Rerun the complete Rust Language Semantic Matrix and Rust-specific ontology; recompute generic + Rust-specific gaps and coupling; require lower cluster score, deterministic SemanticProgram JSON roundtrip, evidence validation, direct execution parity for supported constructs, and explicit backend capability rejection for unsupported semantics."
6,async_concurrency,9.975204,rust.atomic_ordering;task_async;thread;rust.thread_memory_model;atomic;lock_mutex;channel;rust.async_await;rust.future_poll;rust.await_suspension;rust.generator_coroutine;await,concurrency.model;memory.ordering;synchronization;operations;control.flow;data.flow,"Model async/concurrency explicitly: async/await state machines, suspension points, Future polling, generator/coroutine state, Send/Sync requirements, atomics/orderings and thread memory model. Capability-gate backends; do not approximate with syntax-only async.","Rerun the complete Rust Language Semantic Matrix and Rust-specific ontology; recompute generic + Rust-specific gaps and coupling; require lower cluster score, deterministic SemanticProgram JSON roundtrip, evidence validation, direct execution parity for supported constructs, and explicit backend capability rejection for unsupported semantics."
7,modules_macros_resolution,9.583070,import;macro;module;visibility;name_resolution;reflection;rust.proc_macro;rust.macro_rules_hygiene;rust.name_resolution_hygiene;rust.crate_module_resolution;rust.visibility_privacy;rust.attributes_cfg;rust.feature_gates,scope.binding;compiletime.semantics;nodes.declaration;dialect.extension;types.structure;capture.shadowing,"Implement compile-time namespace/macro semantics: crate/module resolution, visibility, cfg/attributes, macro_rules hygiene, proc-macro expansion and name-resolution hygiene. Preserve expansion/source provenance and declaration timing.","Rerun the complete Rust Language Semantic Matrix and Rust-specific ontology; recompute generic + Rust-specific gaps and coupling; require lower cluster score, deterministic SemanticProgram JSON roundtrip, evidence validation, direct execution parity for supported constructs, and explicit backend capability rejection for unsupported semantics."
8,lowering_const_codegen,7.371661,ir;rust.monomorphization;code_generation;optimizer;rust.hir_lowering;compile_time_eval;rust.const_eval;bytecode_vm;rust.mir_semantics,lowering.pipeline;compiletime.semantics;dialect.extension;evaluation.order;effect.graph;abi.ffi,Use rustc HIR/MIR/const-eval/monomorphization as semantic evidence for a multi-level SP lowering model. Add HIR/MIR-like control/data/value categories where universal; keep rustc-specific optimization/codegen details out of the canonical core.,"Rerun the complete Rust Language Semantic Matrix and Rust-specific ontology; recompute generic + Rust-specific gaps and coupling; require lower cluster score, deterministic SemanticProgram JSON roundtrip, evidence validation, direct execution parity for supported constructs, and explicit backend capability rejection for unsupported semantics."
9,runtime_effects,6.018748,allocation;network;dynamic_dispatch;io;random;time;filesystem;global_state,effect.graph;purity;runtime.contract,"Expand explicit runtime/effect modeling for allocation, global state, I/O, filesystem/network, randomness and dynamic dispatch. Keep purity conservative and distinguish library calls from semantic effects.","Rerun the complete Rust Language Semantic Matrix and Rust-specific ontology; recompute generic + Rust-specific gaps and coupling; require lower cluster score, deterministic SemanticProgram JSON roundtrip, evidence validation, direct execution parity for supported constructs, and explicit backend capability rejection for unsupported semantics."
10,closures_callables,4.165975,capture;rust.closure_capture_modes;function;closure_lambda;parameter;call,scope.binding;types.structure;data.flow;binding.graph;capture.shadowing;nodes.declaration,"Make closure/callable semantics exact: capture modes (move/shared/mut), Fn/FnMut/FnOnce capability, capture lifetimes, call receiver semantics and lowering to target closures/functions.","Rerun the complete Rust Language Semantic Matrix and Rust-specific ontology; recompute generic + Rust-specific gaps and coupling; require lower cluster score, deterministic SemanticProgram JSON roundtrip, evidence validation, direct execution parity for supported constructs, and explicit backend capability rejection for unsupported semantics."
11,panic_cleanup_effects,3.680547,rust.panic_unwind_abort;throw_raise;exception_try;defer_cleanup,control.flow;effects.control;evaluation.order;abi.ffi;effect.graph;runtime.contract,"Implement panic/unwind/abort and cleanup ordering as explicit control/effect semantics, including drop during unwinding and backend capability differences. Do not collapse panic into generic exception.throw.","Rerun the complete Rust Language Semantic Matrix and Rust-specific ontology; recompute generic + Rust-specific gaps and coupling; require lower cluster score, deterministic SemanticProgram JSON roundtrip, evidence validation, direct execution parity for supported constructs, and explicit backend capability rejection for unsupported semantics."
12,collections_indexing,3.176573,tuple;slice;tuple_type;map_dict;array_list;index;set,data.flow;evaluation.order;operations;nodes.expression;types.structure;types.origin,"Consolidate aggregate/indexing semantics for arrays, tuples, slices and maps with exact bounds, slice/reference/fat-pointer behavior where language-relevant; keep target storage representation separate.","Rerun the complete Rust Language Semantic Matrix and Rust-specific ontology; recompute generic + Rust-specific gaps and coupling; require lower cluster score, deterministic SemanticProgram JSON roundtrip, evidence validation, direct execution parity for supported constructs, and explicit backend capability rejection for unsupported semantics."
