rank,cluster,gap_score,implementation_block,codex_instruction,acceptance_matrix,top_features
1,overload_templates,15.767123,Overload/template semantic engine,"Represent candidate sets, conversions, constraints, substitution, instantiation and selected entity.",Recompute full Clang matrix and Python/R/Rust regression matrices; accept only broad gap reduction without semantic regression.,cpp_overload_resolution;cpp_templates;cpp_template_deduction;cpp_operator_overload;generic;cpp_concepts_constraints;cpp_partial_specialization;cpp_fold_expressions;cpp_parameter_packs;cpp_sfinae;overload_resolution;cpp_adl
2,object_model,12.934636,C++ object model,"Model classes, inheritance, virtual dispatch, RTTI, member pointers and access constraints.",Recompute full Clang matrix and Python/R/Rust regression matrices; accept only broad gap reduction without semantic regression.,cpp_member_pointers;cpp_inheritance;cpp_virtual_dispatch;cpp_rtti;cpp_access_friend;interface_trait;class;subtyping;enum;struct;reflection;dynamic_dispatch
3,pointer_memory,12.326499,Pointer/object memory semantics,"Add provenance, aliasing, qualifiers, pointer arithmetic and object lifetime/restart semantics.",Recompute full Clang matrix and Python/R/Rust regression matrices; accept only broad gap reduction without semantic regression.,c_effective_type_aliasing;cpp_new_delete;c_pointer_arithmetic;c_array_decay;cpp_placement_new;c_pointer_provenance;c_qualifiers;manual_memory;pointer;unsafe;reference;allocation
4,numeric_types,9.333874,Exact numeric/type conversion lattice,"Implement exact integer widths, signedness, promotions and conversion semantics; remove binary64-only assumptions.",Recompute full Clang matrix and Python/R/Rust regression matrices; accept only broad gap reduction without semantic regression.,cpp_auto_decltype;c_char_signedness;c_integer_promotions;c_unsigned_wrap;primitive_integer;cast_conversion;optional_nullable;union_sum;map_type;primitive_float;array_type;primitive_string
5,core_expression_control,9.175393,Universal expression/control nodes,Generalize nodes and evaluation-order contracts once for C/C++ control/expression semantics.,Recompute full Clang matrix and Python/R/Rust regression matrices; accept only broad gap reduction without semantic regression.,goto_label;member_access;switch_match;map_dict;tuple;array_list;foreach_iteration;set;index;literal_numeric;binary_op;literal_null
6,modules_linkage,8.870726,Name/module/linkage identity,"Model lookup, linkage, ODR, modules and entity identity.",Recompute full Clang matrix and Python/R/Rust regression matrices; accept only broad gap reduction without semantic regression.,import;module;visibility;cpp_name_lookup;c_linkage;cpp_modules;cpp_odr;name_resolution;symbol_table
7,ownership_lifetime,8.045830,RAII/object lifetime graph,"Represent construction, destruction, copy/move, reference lifetime extension and cleanup edges.",Recompute full Clang matrix and Python/R/Rust regression matrices; accept only broad gap reduction without semantic regression.,cpp_temp_materialization;cpp_copy_move;cpp_reference_binding;cpp_raii_destructors;defer_cleanup;ownership;gc;lifetime
8,layout_abi,7.556539,Layout/ABI contracts,"Model alignment, padding, bitfields, inheritance layout, mangling and calling conventions.",Recompute full Clang matrix and Python/R/Rust regression matrices; accept only broad gap reduction without semantic regression.,c_flexible_array_member;cpp_object_representation;cpp_multiple_inheritance_layout;c_bitfields;layout_alignment;abi_calling_convention;cpp_abi_mangling
9,preprocessor,6.228898,Preprocessor semantic provenance,"Preserve macro expansion, conditionals, includes and pragma/attribute provenance before AST.",Recompute full Clang matrix and Python/R/Rust regression matrices; accept only broad gap reduction without semantic regression.,attribute_annotation;macro;cpp_preprocessor_macro;cpp_include_model;cpp_preprocessor_conditional;cpp_attributes_pragmas
10,concurrency_memory,5.744184,Atomic memory model,"Add atomics, fences, memory order, TLS, happens-before and synchronization evidence.",Recompute full Clang matrix and Python/R/Rust regression matrices; accept only broad gap reduction without semantic regression.,c_thread_local;c_atomic_memory_order;atomic;thread;lock_mutex;channel;memory_model
