language_id,source_feature_id,canonical_semantic_id,evidence_file,evidence_pattern,proof_scope,corroboration
julia,julia.official.ast.macro,UASF_0119,julia-master/doc/src/devdocs/ast.md,macrocall;hygienic-scope,official AST documentation,SemanticAST.jl MacroDef
julia,julia.official.ast.comprehension,UASF_0218,julia-master/doc/src/devdocs/ast.md,comprehension;generator,official AST documentation,SemanticAST.jl Comprehension
julia,julia.official.ast.constant,UASF_0302,julia-master/doc/src/devdocs/ast.md,const,official lowered-form documentation,SemanticAST.jl DECL_CONST
julia,julia.official.ast.generic,UASF_0305,julia-master/doc/src/devdocs/ast.md,where;curly,official AST documentation,SemanticAST.jl TyVar/WhereType
julia,julia.official.ast.function,UASF_0306,julia-master/doc/src/devdocs/ast.md,function,official AST documentation,SemanticAST.jl FunctionDef
julia,julia.official.ast.struct,UASF_0308,julia-master/doc/src/devdocs/ast.md,struct;mutable struct,official AST documentation,SemanticAST.jl StructDefStmt
julia,julia.official.ast.ffi,UASF_0022,julia-master/doc/src/devdocs/ast.md,foreigncall;ccall,official lowered-form documentation,SemanticAST.jl ccall handling
julia,julia.official.ast.scope,UASF_0051,julia-master/doc/src/devdocs/ast.md,hygienic-scope;slot,official lowered-form documentation,SemanticAST.jl source locations
julia,julia.official.runtime.task_async,UASF_0151,julia-master/base/task.jl,Task;@async,official Julia runtime source,none
julia,julia.official.ast.control,UASF_0182,julia-master/doc/src/devdocs/ast.md,if;while;for,official AST documentation,SemanticAST.jl IfStmt/WhileStmt/ForStmt
julia,julia.official.ast.closure,UASF_0217,julia-master/doc/src/devdocs/ast.md,->;lambda,official AST documentation,SemanticAST.jl FunctionDef anonymous form
julia,julia.official.ast.imports,UASF_0304,julia-master/doc/src/devdocs/ast.md,import;using;module;parameters,official AST documentation,SemanticAST.jl ImportStmt/ModuleStmt
