truth_id,antecedent,consequent,support,confidence_percent,counterexamples,languages,targets,domains,classification,productive_closure_rule
T204315,operand:statement,kind:Scope,32,100,0,c|csharp|go|python|r|rust,go|python|rust,operand,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T318102,result:statement,kind:Scope,32,100,0,c|csharp|go|python|r|rust,go|python|rust,result,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T329758,uast:Scope,kind:Scope,32,100,0,c|csharp|go|python|r|rust,go|python|rust,kind,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T140050,kind:Scope,operand:statement,32,100,0,c|csharp|go|python|r|rust,go|python|rust,operand,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T318119,result:statement,operand:statement,32,100,0,c|csharp|go|python|r|rust,go|python|rust,operand,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T329775,uast:Scope,operand:statement,32,100,0,c|csharp|go|python|r|rust,go|python|rust,operand,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T140100,kind:Scope,result:statement,32,100,0,c|csharp|go|python|r|rust,go|python|rust,result,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T204381,operand:statement,result:statement,32,100,0,c|csharp|go|python|r|rust,go|python|rust,operand,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T329825,uast:Scope,result:statement,32,100,0,c|csharp|go|python|r|rust,go|python|rust,result,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T140117,kind:Scope,uast:Scope,32,100,0,c|csharp|go|python|r|rust,go|python|rust,kind,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T204398,operand:statement,uast:Scope,32,100,0,c|csharp|go|python|r|rust,go|python|rust,operand,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T318185,result:statement,uast:Scope,32,100,0,c|csharp|go|python|r|rust,go|python|rust,result,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T319685,result:value,kind:Scope,27,100,0,c|csharp|go|python|r|rust,go|python|rust,result,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T319702,result:value,operand:statement,27,100,0,c|csharp|go|python|r|rust,go|python|rust,operand,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T319752,result:value,result:statement,27,100,0,c|csharp|go|python|r|rust,go|python|rust,result,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T319768,result:value,uast:Scope,27,100,0,c|csharp|go|python|r|rust,go|python|rust,result,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T146586,kind:SymbolRef,family:LOAD,25,100,0,c|csharp|go|python|r|rust,go|python|rust,kind,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T242437,operation:LOAD,family:LOAD,25,100,0,c|csharp|go|python|r|rust,go|python|rust,semantic,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T287742,primitive:LOAD,family:LOAD,25,100,0,c|csharp|go|python|r|rust,go|python|rust,primitive,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T313271,primitive_family:LOAD,family:LOAD,25,100,0,c|csharp|go|python|r|rust,go|python|rust,primitive,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T330046,uast:SymbolRef,family:LOAD,25,100,0,c|csharp|go|python|r|rust,go|python|rust,semantic,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T49300,family:LOAD,kind:Scope,25,100,0,c|csharp|go|python|r|rust,go|python|rust,kind,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T146605,kind:SymbolRef,kind:Scope,25,100,0,c|csharp|go|python|r|rust,go|python|rust,kind,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T242456,operation:LOAD,kind:Scope,25,100,0,c|csharp|go|python|r|rust,go|python|rust,kind,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T287761,primitive:LOAD,kind:Scope,25,100,0,c|csharp|go|python|r|rust,go|python|rust,primitive,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T313290,primitive_family:LOAD,kind:Scope,25,100,0,c|csharp|go|python|r|rust,go|python|rust,primitive,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T330065,uast:SymbolRef,kind:Scope,25,100,0,c|csharp|go|python|r|rust,go|python|rust,kind,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T49302,family:LOAD,kind:SymbolRef,25,100,0,c|csharp|go|python|r|rust,go|python|rust,kind,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T242458,operation:LOAD,kind:SymbolRef,25,100,0,c|csharp|go|python|r|rust,go|python|rust,kind,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T287763,primitive:LOAD,kind:SymbolRef,25,100,0,c|csharp|go|python|r|rust,go|python|rust,primitive,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
