failure_id,truth_id,antecedent,consequent
RC0061,T0085,primitive:GT,operation:GT
RC0061,T0087,operation:GT,operation:UNSUPPORTED.WHILE.CONDITION
RC0061,T0088,operation:GT,primitive:GT
RC0099,T0063,operation:NOT,family:LOGICAL_UNARY
RC0046,T0063,operation:NOT,family:LOGICAL_UNARY
RC0060,T0085,primitive:GT,operation:GT
RC0060,T0087,operation:GT,operation:UNSUPPORTED.WHILE.CONDITION
RC0060,T0088,operation:GT,primitive:GT
RC0065,T0065,primitive:MUL,operation:MUL
RC0065,T0067,operation:MUL,operation:UNSUPPORTED.EXPRESSION.OPERAND
RC0065,T0068,operation:MUL,primitive:MUL
RC0034,T0065,primitive:MUL,operation:MUL
RC0034,T0067,operation:MUL,operation:UNSUPPORTED.EXPRESSION.OPERAND
RC0034,T0068,operation:MUL,primitive:MUL
RC0098,T0065,primitive:MUL,operation:MUL
RC0098,T0067,operation:MUL,operation:UNSUPPORTED.EXPRESSION.OPERAND
RC0098,T0068,operation:MUL,primitive:MUL
RC0089,T0063,operation:NOT,family:LOGICAL_UNARY
RC0091,T0065,primitive:MUL,operation:MUL
RC0091,T0067,operation:MUL,operation:UNSUPPORTED.EXPRESSION.OPERAND
RC0091,T0068,operation:MUL,primitive:MUL
RC0082,T0072,operation:NE,operand:else
RC0082,T0075,operation:EQ,kind:AddressOf
RC0082,T0085,primitive:GT,operation:GT
RC0082,T0087,operation:GT,operation:UNSUPPORTED.WHILE.CONDITION
RC0082,T0088,operation:GT,primitive:GT
RC0071,T0063,operation:NOT,family:LOGICAL_UNARY
RC0100,T0063,operation:NOT,family:LOGICAL_UNARY
RC0101,T0063,operation:NOT,family:LOGICAL_UNARY
RC0085,T0085,primitive:GT,operation:GT
RC0085,T0087,operation:GT,operation:UNSUPPORTED.WHILE.CONDITION
RC0085,T0088,operation:GT,primitive:GT
RC0084,T0085,primitive:GT,operation:GT
RC0084,T0087,operation:GT,operation:UNSUPPORTED.WHILE.CONDITION
RC0084,T0088,operation:GT,primitive:GT
RC0083,T0075,operation:EQ,kind:AddressOf
RC0027,T0065,primitive:MUL,operation:MUL
RC0027,T0067,operation:MUL,operation:UNSUPPORTED.EXPRESSION.OPERAND
RC0027,T0068,operation:MUL,primitive:MUL
RC0025,T0065,primitive:MUL,operation:MUL
RC0025,T0067,operation:MUL,operation:UNSUPPORTED.EXPRESSION.OPERAND
RC0025,T0068,operation:MUL,primitive:MUL
RC0022,T0063,operation:NOT,family:LOGICAL_UNARY
RC0022,T0065,primitive:MUL,operation:MUL
RC0022,T0067,operation:MUL,operation:UNSUPPORTED.EXPRESSION.OPERAND
RC0022,T0068,operation:MUL,primitive:MUL
RC0031,T0065,primitive:MUL,operation:MUL
RC0031,T0067,operation:MUL,operation:UNSUPPORTED.EXPRESSION.OPERAND
RC0031,T0068,operation:MUL,primitive:MUL
RC0032,T0065,primitive:MUL,operation:MUL
RC0032,T0067,operation:MUL,operation:UNSUPPORTED.EXPRESSION.OPERAND
RC0032,T0068,operation:MUL,primitive:MUL
RC0033,T0065,primitive:MUL,operation:MUL
RC0033,T0067,operation:MUL,operation:UNSUPPORTED.EXPRESSION.OPERAND
RC0033,T0068,operation:MUL,primitive:MUL
RC0059,T0075,operation:EQ,kind:AddressOf
RC0058,T0075,operation:EQ,kind:AddressOf
RC0058,T0085,primitive:GT,operation:GT
RC0058,T0087,operation:GT,operation:UNSUPPORTED.WHILE.CONDITION
RC0058,T0088,operation:GT,primitive:GT
RC0057,T0072,operation:NE,operand:else
RC0057,T0075,operation:EQ,kind:AddressOf
RC0057,T0085,primitive:GT,operation:GT
RC0057,T0087,operation:GT,operation:UNSUPPORTED.WHILE.CONDITION
RC0057,T0088,operation:GT,primitive:GT
RC0055,T0063,operation:NOT,family:LOGICAL_UNARY
RC0107,T0063,operation:NOT,family:LOGICAL_UNARY
RC0051,T0065,primitive:MUL,operation:MUL
RC0051,T0067,operation:MUL,operation:UNSUPPORTED.EXPRESSION.OPERAND
RC0051,T0068,operation:MUL,primitive:MUL
RC0047,T0065,primitive:MUL,operation:MUL
RC0047,T0067,operation:MUL,operation:UNSUPPORTED.EXPRESSION.OPERAND
RC0047,T0068,operation:MUL,primitive:MUL
RC0044,T0075,operation:EQ,kind:AddressOf
RC0043,T0063,operation:NOT,family:LOGICAL_UNARY
RC0043,T0075,operation:EQ,kind:AddressOf
RC0038,T0065,primitive:MUL,operation:MUL
RC0038,T0067,operation:MUL,operation:UNSUPPORTED.EXPRESSION.OPERAND
RC0038,T0068,operation:MUL,primitive:MUL
