feature,category,file,line,snippet
abi_calling_convention,memory,CHANGELOG.md,113,Introduced the ability to define protocols with associated types that are `~Copyable` and/or
abi_calling_convention,memory,CHANGELOG.md,227,"new APIs, availability on macOS, iOS, tvOS, watchOS, and visionOS can now be"
abi_calling_convention,memory,CHANGELOG.md,243,If availability for a specific platform is specified simultaneously with
abi_calling_convention,memory,CHANGELOG.md,244,"`anyAppleOS`, availability for the specific platform takes precedence when"
abi_calling_convention,memory,CHANGELOG.md,701,Distributed actors now have the ability to support complete split server /
abi_calling_convention,memory,CHANGELOG.md,787,This capability has been adopted by the task-creation APIs in the
abi_calling_convention,memory,CHANGELOG.md,932,disconnected at the function boundary and thus possesses the capability of
abi_calling_convention,memory,CHANGELOG.md,1145,Tasks now gain the ability to respect Task Executor preference.
allocation,effect,CHANGELOG.md,64,"instance will still dynamically allocated, Such cases can be detected"
allocation,effect,CHANGELOG.md,65,by enabling the KeyPathAllocation diagnostic group.
allocation,effect,CHANGELOG.md,570,func evilMalloc(size: Int) -> Int {
allocation,effect,CHANGELOG.md,571,// use of global function 'malloc' involves unsafe type 'UnsafeMutableRawPointer'
allocation,effect,CHANGELOG.md,572,return Int(bitPattern: malloc(size))
allocation,effect,CHANGELOG.md,581,func evilMalloc(size: Int) -> Int {
allocation,effect,CHANGELOG.md,582,return unsafe Int(bitPattern: malloc(size)) // no warning
allocation,effect,CHANGELOG.md,2492,`withUnsafeTemporaryAllocation` which provides an efficient temporarily
array_list,expression,CHANGELOG.md,254,Trailing closures syntax is now supported following array literals. This enables support for
array_list,expression,docs/Literals.md,153,"The default array literal type is always Array, and the default dictionary"
array_list,expression,docs/archive/PatternMatching.rst,499,"that, for example, if we add array literal expressions, we should also"
array_list,expression,docs/archive/PatternMatching.rst,500,add a corresponding array literal pattern. I think that principle is
array_list,expression,docs/CppInteroperability/UserGuide-CallingSwiftFromC++.md,335,"Similarly, any type that conforms to `ExpressibleByArrayLiteral` will receive a C++ constructor that takes in a C++ initializer list so that it can be initialized from a C++ array literal."
array_list,expression,docs/proposals/CPointerInteropLanguageModel.rst,177,A type checker limitation prevents array literals from being passed directly
array_list,expression,docs/proposals/CPointerInteropLanguageModel.rst,179,"workaround, you can bind the array literal to a constant, as above, or"
array_list,expression,include/swift/AST/ASTBridging.h,1888,"SWIFT_NAME(""BridgedArrayExpr.createParsed(_:lSquareLoc:elements:commaLocs:"""
array_type,type,CHANGELOG.md,4606,raw buffers to fully conform to generic `Collection`. Changing the slice type
array_type,type,CHANGELOG.md,4627,`UnsafeRawBufferPointer`'s slice type no longer has a nonmutating subscript
array_type,type,CHANGELOG.md,5209,Slice types add a `base` property that allows public readonly access to their base collections.
array_type,type,CHANGELOG.md,5616,* All slice types now have `removeFirst()` and `removeLast()` methods.
array_type,type,CHANGELOG.md,10366,"and means that square brackets are only used for array types, collection"
array_type,type,benchmark/single-source/SimpleArraySpecialization.swift,13,// This benchmark tests prespecialization of a simplified array type
array_type,type,docs/Arrays.md,29,"Swift provides three generic array types, all of which have amortized"
array_type,type,docs/Arrays.md,30,"O(1) growth. In this document, statements about **ArrayType** apply to"
assignment,expression,CHANGELOG.md,1562,"`consume` operator, forwarding ownership to the surrounding call, assignment,"
assignment,expression,CHANGELOG.md,4619,Subscript assignment directly from a buffer no longer compiles:
assignment,expression,CHANGELOG.md,7444,"`NS_OPTIONS` now support the bitwise assignment operators `|=`, `&=`,"
assignment,expression,CHANGELOG.md,7449,"the bitwise assignment operators `|=`, `&=`, and `^=`."
assignment,expression,CHANGELOG.md,7465,The assignment and the evaluation of the right-hand side of the operator
assignment,expression,CHANGELOG.md,7747,* Arrays now have full value semantics: both assignment and
assignment,expression,CHANGELOG.md,10491,"* `_` can now be used not only in `var` bindings, but in assignments as well,"
assignment,expression,CHANGELOG.md,10492,"to ignore elements of a tuple assignment, or to explicitly ignore values."
atomic,concurrency,benchmark/single-source/ObjectiveCBridging.swift,773,"atomically: true,"
atomic,concurrency,benchmark/single-source/StringTests.swift,637,"<article id=""/blog/swift-atomics"" class=""summary"">"
atomic,concurrency,benchmark/single-source/StringTests.swift,639,"<h1 class=""title""><a href=""/blog/swift-atomics/"">Introducing Swift Atomics</a></h1>"
atomic,concurrency,benchmark/single-source/StringTests.swift,643,"<p>I’m delighted to announce Swift Atomics, a new open source package that enables direct use of low-level atomic operations in Swift code. The goal of this library is to enable intrepid systems programmers to start building synchronization constructs (such as"
atomic,concurrency,benchmark/single-source/StringTests.swift,646,"<a href=""/blog/swift-atomics/"">Read more...</a>"
atomic,concurrency,cmake/modules/AddSwift.cmake,265,_ENABLE_ATOMIC_ALIGNMENT_FIX
atomic,concurrency,cmake/modules/AddSwift.cmake,272,"$<$<COMPILE_LANGUAGE:C,CXX,OBJC,OBJCXX>:-D_STD_ATOMIC_USE_ARM64_LDAR_STLR=0>)"
atomic,concurrency,cmake/modules/AddSwift.cmake,335,# necessary to avoid a dependency to libatomic
attribute_annotation,declaration,CHANGELOG.md,9,"attributes. To support this, actors will no longer infer invalid global actor"
attribute_annotation,declaration,CHANGELOG.md,10,"annotations from isolated property wrappers, or from protocols with inferred"
attribute_annotation,declaration,CHANGELOG.md,24,"// ^ nonisolated after this change, cannot call mainActorFn without @MainActor annotation"
attribute_annotation,declaration,CHANGELOG.md,42,"// ^ nonisolated after this change, cannot call mainActorFn without @MainActor annotation"
attribute_annotation,declaration,CHANGELOG.md,69,* [SE-0522][]: Introduced the `@diagnose` declaration attribute for source-level
attribute_annotation,declaration,CHANGELOG.md,301,These `@unsafe` annotations are required because of a permissible compiler
attribute_annotation,declaration,CHANGELOG.md,598,names other than `init`. The compiler now diagnoses these attributes and
attribute_annotation,declaration,CHANGELOG.md,797,You can now use `@preconcurrency` attribute to replace static actor isolation
await,expression,CHANGELOG.md,107,defer { await resource.cleanup() }
await,expression,CHANGELOG.md,383,await noSuspension() // potential suspension point #1 // (2)
await,expression,CHANGELOG.md,386,"await suspend() // potential suspension point #2 // (3), suspend, (5)"
await,expression,CHANGELOG.md,431,let m1 = await Maria()
await,expression,CHANGELOG.md,432,let m2 = await Maria(sharingFriendOf: m1)
await,expression,CHANGELOG.md,443,await users.get(accountID)
await,expression,CHANGELOG.md,453,await withTaskPriorityEscalationHandler {
await,expression,CHANGELOG.md,454,await work()
binary_op,expression,cmake/modules/SwiftUtils.cmake,33,PRECONDITIONBINOP # prefix
binary_op,expression,cmake/modules/SwiftUtils.cmake,39,if (PRECONDITIONBINOP_NEGATE)
binary_op,expression,cmake/modules/SwiftUtils.cmake,41,if (PRECONDITIONBINOP_MESSAGE)
binary_op,expression,cmake/modules/SwiftUtils.cmake,42,"message(FATAL_ERROR ""Error! ${PRECONDITIONBINOP_MESSAGE}"")"
binary_op,expression,cmake/modules/SwiftUtils.cmake,49,if (PRECONDITIONBINOP_MESSAGE)
binary_op,expression,cmake/modules/SwiftUtils.cmake,50,"message(FATAL_ERROR ""Error! ${PRECONDITIONBINOP_MESSAGE}"")"
binary_op,expression,include/swift/AST/ASTBridging.h,2352,"BridgedDeclRefKindBinaryOperator,"
binary_op,expression,include/swift/AST/Decl.h,8998,/// isBinaryOperator - Determine whether this is a binary operator
break,control,CHANGELOG.md,5932,"* if statements can be labeled, and labeled break statements can be used as a"
break,control,include/swift/AST/ASTBridging.h,2459,"SWIFT_NAME(""BridgedBreakStmt.createParsed(_:loc:targetName:targetLoc:)"")"
break,control,include/swift/AST/ASTBridging.h,2460,"BridgedBreakStmt BridgedBreakStmt_createParsed(BridgedDeclContext cDeclContext,"
break,control,include/swift/AST/Stmt.h,1632,"/// BreakStmt - The ""break"" and ""break label"" statement."
break,control,include/swift/AST/Stmt.h,1633,class BreakStmt : public Stmt {
break,control,include/swift/AST/Stmt.h,1640,"BreakStmt(SourceLoc Loc, Identifier TargetName, SourceLoc TargetLoc,"
break,control,include/swift/AST/TypeCheckerTypeIDZone.def,523,"LabeledStmt *(const BreakStmt *),"
break,control,include/swift/AST/TypeCheckRequests.h,52,class BreakStmt;
bytecode_vm,meta,docs/CompactBacktraceFormat.md,48,| `opcode` | Mnemonic | Meaning |
bytecode_vm,meta,docs/CompactImageMapFormat.md,115,| `opcode` | Mnemonic | Meaning |
bytecode_vm,meta,docs/CompactImageMapFormat.md,194,"If `e` is `1`, this opcode is followed by `code + 1` bytes that give"
bytecode_vm,meta,docs/CompilerPerformance.md,224,- **LLVM IR** (Low Level Virtual Machine Intermediate Representation): this is
bytecode_vm,meta,docs/CompilerPerformance.md,467,it in most virtual machines (unless they virtualize access to performance
bytecode_vm,meta,docs/HighLevelSILOptimizations.rst,42,bytecode instructions that allow them to perform high-level optimizations.
bytecode_vm,meta,docs/WebAssembly.md,4,"While it's a virtual machine, there are considerations to be taken into account when targeting it:"
bytecode_vm,meta,docs/HowToGuides/GettingStarted.md,59,for development. When building for development on a virtual machine or
call,expression,docs/archive/PatternMatching.rst,90,CallExpr instead of each of its N syntactic forms
call,expression,docs/proposals/rejected/KeywordArguments.rst,163,in the call expression may be followed by multiple arguments. All arguments
