relation,meaning,applies_to,layer
syntax.child,parent-child structural containment,all nodes,core
scope.parent,scope nesting,Scope,core
binding.declares,declaration -> binding,declarations,core
binding.refers,SymbolRef -> Binding,references,core
binding.shadows,Binding -> Binding,shadowing,core
capture.captures,Closure -> Binding,closures,core
type.has,Node -> Type,typed nodes,core
type.parameter,Type -> TypeParameter,generics,core
type.constraint,TypeParameter -> Constraint,generics,core
type.convert,source Type -> target Type,conversions,core
data.def_use,definition -> use,values,core
data.operand,operation -> operand,expressions,core
data.result,operation -> result,expressions,core
control.next,statement -> possible successor,control flow,core
control.true,condition -> true successor,branch,core
control.false,condition -> false successor,branch,core
control.loop_back,body -> loop header,loops,core
call.calls,Call -> Function/dispatch set,calls,core
dispatch.resolves,call/member -> target set,interfaces/virtual calls,core
effect.has,Node -> Effect,side effects,core
memory.owns,owner -> allocation/value,ownership,core
memory.borrows,reference -> owner/region,references,core
memory.aliases,value -> value,aliasing,core
layout.field,record -> field offset/alignment,layout,core
abi.calls,foreign call -> ABI contract,FFI,core
concurrency.spawns,spawn -> task/goroutine,concurrency,core
concurrency.communicates,send/receive -> channel,channels,core
concurrency.synchronizes,operation -> operation,happens-before,core
concurrency.atomic_order,atomic -> ordering contract,atomics,core
evaluation.before,node -> node,evaluation order,core
lowering.requires,semantic feature -> backend capability,backends,analysis
dialect.requires,dialect operation -> capability,dialects,core
