rank,cluster,matrix_gap_score,dominant_features,dominant_semanticprogram_axes,codex_matrix_instruction,acceptance_matrix
1,types_conversions_generics,21.350733,java.array_covariance_store_check;generic;java.raw_types;java.wildcard_extends_super;java.generic_erasure;java.var_local_inference;java.capture_conversion;primitive_integer;java.type_inference_constraints;java.ieee754_always_strict;java.boxing_unboxing;generic_constraint;subtyping;java.null_reference_semantics;java.primitive_widening_narrowing;reference;java.intersection_types;function_type;java.unsigned_absence_signed_wrap;java.binary_numeric_promotion;primitive_float;optional_nullable;type_inference;union_sum;array_type,types.structure;conversion.semantics;types.origin;runtime.contract;operations;nodes.declaration;scope.binding,"Implement Java type/conversion semantics as a coherent matrix block: primitive promotions, boxing/unboxing, reference conversions, generic erasure/wildcards/capture/inference and runtime checks. Keep source-level types distinct from erased JVM representation.",Rerun the complete OpenJDK Language Semantic Matrix plus Java-specific ontology; recompute generic + Java gaps and require broad cluster-gap reduction with no loss of semantic evidence. Add differential javac/JVM behavior tests for every newly claimed exact semantic relation.
2,declarations_object_model,16.609861,visibility;class;java.value_class_preview;java.annotation_semantics;attribute_annotation;java.static_instance_initialization_order;java.records;java.sealed_classes_interfaces;interface_trait;java.inner_local_anonymous_classes;struct;java.enums_semantics;java.class_interface_inheritance;enum;constant;lifetime;function;map_type,scope.binding;types.structure;nodes.declaration;binding.graph;runtime.contract;capture.shadowing;types.origin;conversion.semantics,"Extend the universal declaration/object model for classes, interfaces, records, sealed hierarchies, enums, annotations, nested classes and initialization order while keeping JVM layout out of the source-semantic core.",Rerun the complete OpenJDK Language Semantic Matrix plus Java-specific ontology; recompute generic + Java gaps and require broad cluster-gap reduction with no loss of semantic evidence. Add differential javac/JVM behavior tests for every newly claimed exact semantic relation.
3,concurrency_memory_model,14.067328,thread;java.virtual_threads;task_async;java.thread_interruption;java.structured_concurrency;lock_mutex;java.final_field_memory_semantics;atomic;java.atomic_varhandle_ordering;channel;java.monitor_synchronized;java.happens_before_jmm;java.volatile_semantics;memory_model,concurrency.model;memory.ordering;synchronization;effect.graph;runtime.contract;data.flow,"Implement the Java Memory Model as explicit synchronization/memory-order relations: monitors, volatile, final-field publication, happens-before, VarHandle atomics, interruption and virtual-thread suspension.",Rerun the complete OpenJDK Language Semantic Matrix plus Java-specific ontology; recompute generic + Java gaps and require broad cluster-gap reduction with no loss of semantic evidence. Add differential javac/JVM behavior tests for every newly claimed exact semantic relation.
4,calls_resolution_dispatch,9.339911,java.default_interface_methods;java.lambda_target_typing;java.virtual_interface_dispatch;java.overload_resolution;dynamic_dispatch;java.field_hiding_method_overriding;java.method_invocation_conversion;overload_resolution;name_resolution;java.method_references;parameter;closure_lambda;member_access;call,types.structure;scope.binding;evaluation.order;operations;runtime.contract;conversion.semantics;binding.graph;data.flow,"Implement method/field resolution, overload specificity, invocation conversions, lambda target typing, method references and virtual/interface dispatch as binding + type + evaluation relations rather than text rewrites.",Rerun the complete OpenJDK Language Semantic Matrix plus Java-specific ontology; recompute generic + Java gaps and require broad cluster-gap reduction with no loss of semantic evidence. Add differential javac/JVM behavior tests for every newly claimed exact semantic relation.
5,control_patterns,8.875446,pattern;java.record_patterns;yield;java.pattern_switch_exhaustiveness;java.pattern_instanceof;java.switch_expression;java.assert_semantics;goto_label;foreach_iteration;java.foreach_desugaring;java.labeled_break_continue;switch_match;return;if;for;break;continue;while,evaluation.order;control.flow;effects.control;data.flow;nodes.expression;types.structure;operations,"Represent switch expressions/patterns, instanceof patterns, enhanced-for, labels and assertions with exact control/data-flow and exhaustiveness/evaluation order.",Rerun the complete OpenJDK Language Semantic Matrix plus Java-specific ontology; recompute generic + Java gaps and require broad cluster-gap reduction with no loss of semantic evidence. Add differential javac/JVM behavior tests for every newly claimed exact semantic relation.
6,bytecode_jvm,8.004165,ir;bytecode_vm;java.classfile_descriptors_signatures;java.bytecode_operand_stack_frames;java.exception_table_bytecode;java.constant_pool;java.bytecode_verification;java.invokedynamic_bootstrap,compiletime.semantics;lowering.pipeline;data.flow;control.flow;types.structure;runtime.contract;dialect.extension,"Use javac/JVM classfile evidence to define a lower IR layer for descriptors, constant pool, bytecode frames, verification and exception tables; do not collapse this into source HIR.",Rerun the complete OpenJDK Language Semantic Matrix plus Java-specific ontology; recompute generic + Java gaps and require broad cluster-gap reduction with no loss of semantic evidence. Add differential javac/JVM behavior tests for every newly claimed exact semantic relation.
7,reflection_dynamic,7.378983,java.reflection_runtime_type;reflection;java.method_handles_varhandles;network;random;filesystem;io;time;global_state,effect.graph;runtime.contract;purity;abi.ffi;operations;scope.binding;types.structure,"Represent reflection, MethodHandle/VarHandle and runtime dynamic access as conservative effects/capabilities with exact type/runtime contracts where known.",Rerun the complete OpenJDK Language Semantic Matrix plus Java-specific ontology; recompute generic + Java gaps and require broad cluster-gap reduction with no loss of semantic evidence. Add differential javac/JVM behavior tests for every newly claimed exact semantic relation.
8,bindings_modules,7.158027,java.jpms_modules;import;module;java.package_namespace_resolution;java.access_control;java.import_static_resolution;symbol_table;scope,scope.binding;nodes.declaration;types.structure;binding.graph;dialect.extension;capture.shadowing,"Model packages, imports, access control and JPMS module readability/exports as name-resolution and capability relations.",Rerun the complete OpenJDK Language Semantic Matrix plus Java-specific ontology; recompute generic + Java gaps and require broad cluster-gap reduction with no loss of semantic evidence. Add differential javac/JVM behavior tests for every newly claimed exact semantic relation.
9,ffi_abi,7.137164,abi_calling_convention;layout_alignment;ffi;java.jni_boundary;java.foreign_function_memory_api;manual_memory;java.native_method_resolution,abi.ffi;memory.model;ownership.lifetime;conversion.semantics;runtime.contract,"Model JNI/FFM/native boundaries with explicit ABI, pinning/reachability, layout and conversion contracts.",Rerun the complete OpenJDK Language Semantic Matrix plus Java-specific ontology; recompute generic + Java gaps and require broad cluster-gap reduction with no loss of semantic evidence. Add differential javac/JVM behavior tests for every newly claimed exact semantic relation.
10,gc_memory_runtime,6.604094,java.jvm_gc_allocation;java.gc_reachability_reference_types;java.object_layout_headers_compressed_oops;unsafe;gc;allocation;ownership,abi.ffi;memory.model;ownership.lifetime;effect.graph;runtime.contract;purity,"Represent GC/reachability/object-layout facts as runtime/representation contracts and capabilities, not as source-level ownership unless semantically observable.",Rerun the complete OpenJDK Language Semantic Matrix plus Java-specific ontology; recompute generic + Java gaps and require broad cluster-gap reduction with no loss of semantic evidence. Add differential javac/JVM behavior tests for every newly claimed exact semantic relation.
