feature,family,description,recommended_detection_sources,semanticprogram_axes,current_sp_coverage,collector_change
c_integer_promotions,numeric_types,Integer promotions and usual arithmetic conversions,sema_core;ast_core;basic_language_model,types.structure;conversion.semantics;operations,0.12,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
c_signed_overflow_ub,undefined_behavior,Signed overflow UB,sema_core;codegen_abi,language.undefined_behavior;operations;runtime.contract,0.05,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
c_unsigned_wrap,numeric_types,Unsigned modular arithmetic,sema_core;codegen_abi,operations;conversion.semantics,0.18,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
c_char_signedness,numeric_types,Implementation-defined char signedness,basic_language_model;sema_core,types.structure;language.implementation_defined,0.02,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
c_bitfields,layout_abi,Bit-field layout/access,ast_core;sema_core;codegen_abi,abi.layout;memory.model;types.structure,0.05,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
c_flexible_array_member,layout_abi,Flexible array member layout,ast_core;sema_core;codegen_abi,abi.layout;types.structure,0.05,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
c_vla,object_lifetime,VLA bound/lifetime,ast_core;sema_core;codegen_abi,types.structure;object.lifetime;evaluation.order,0.05,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
c_array_decay,pointer_memory,Array/function decay,sema_core;ast_core,conversion.semantics;pointer.provenance,0.05,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
c_pointer_arithmetic,pointer_memory,Pointer arithmetic,sema_core;codegen_abi,pointer.provenance;operations;memory.model,0.08,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
c_pointer_provenance,pointer_memory,Pointer provenance/object association,sema_core;codegen_abi;analysis_cfg,pointer.provenance;memory.model;language.undefined_behavior,0.02,Add first-class Clang/C/C++ ontology feature; prefer AST/Sema/Parse/CodeGen structural evidence to keyword counting.
