canonical_semantic_id,signature_hash,source_feature_count,language_label_count,language_labels,evidence_channels,semantic_axes,relation_axes,categories,source_features
UASF_0001,b81611f5843c8c694b61b062,1,1,cpp,BASE_553_MATRIX,abi.ffi;abi.layout;linkage.odr,,layout_abi,CPP::cpp_abi_mangling
UASF_0002,28e1a47261a7ab2d578ce7f7,9,1,kotlin,BASE_553_MATRIX,abi.ffi;compiletime.semantics;control.flow;data.flow;dialect.extension;lowering.pipeline;operations,,uncategorized,KOTLIN::kotlin.compiler_plugin_extension_points;KOTLIN::kotlin.fir_data_flow;KOTLIN::kotlin.fir_semantic_resolution;KOTLIN::kotlin.fir_to_ir;KOTLIN::kotlin.ir_semantics;KOTLIN::kotlin.js_backend_lowering;KOTLIN::kotlin.jvm_backend_lowering;KOTLIN::kotlin.native_backend_lowering;KOTLIN::kotlin.wasm_backend_lowering
UASF_0003,252b0fd5684558269cabf9f3,5,1,kotlin,BASE_553_MATRIX,abi.ffi;compiletime.semantics;dialect.extension;lowering.pipeline;scope.binding;types.structure,,uncategorized,KOTLIN::kotlin.expect_actual;KOTLIN::kotlin.java_nullability_enhancement;KOTLIN::kotlin.js_dynamic_external;KOTLIN::kotlin.klib_metadata;KOTLIN::kotlin.native_c_objc_interop
UASF_0004,ea662fb017401577402dfe6c,1,1,rust,BASE_553_MATRIX,abi.ffi;compiletime.semantics;lowering.pipeline;types.structure,,uncategorized,RUST::rust.monomorphization
UASF_0005,7de890a4af2a9be05992cfcc,1,1,rust,BASE_553_MATRIX,abi.ffi;control.flow;effect.graph;effects.control;runtime.contract,,uncategorized,RUST::rust.panic_unwind_abort
UASF_0006,f15ca0e35918e691d151b0ca,1,1,c,BASE_553_MATRIX,abi.ffi;conversion.semantics,,calls_abi,CPP::c_variadic
UASF_0007,7d7b0fd9da3b106fa144f140,3,1,java,BASE_553_MATRIX,abi.ffi;conversion.semantics;memory.model;ownership.lifetime;runtime.contract,,ffi_abi,JAVA::java.foreign_function_memory_api;JAVA::java.jni_boundary;JAVA::java.native_method_resolution
UASF_0008,688fbd082aed41ed3a01745b,2,1,kotlin,BASE_553_MATRIX,abi.ffi;conversion.semantics;memory.model;ownership.lifetime;runtime.contract;types.structure,,uncategorized,KOTLIN::kotlin.jvm_boxing_unboxing;KOTLIN::kotlin.jvm_signature_mangling
UASF_0009,963138d780d70f68262db2dc,1,1,rust,BASE_553_MATRIX,abi.ffi;conversion.semantics;operations;types.structure,,uncategorized,RUST::rust.unsize_coercion
UASF_0010,c55b5e4407105a97a1fb9e68,1,1,go,BASE_553_MATRIX,abi.ffi;dialect.extension;effect.graph;memory.model,abi.graph;dialect.extension;effect.graph;memory.graph,effect,GO::go.cgo
UASF_0011,2c4c2f2ecce21d4462154d8a,1,1,r,BASE_553_MATRIX,abi.ffi;dialect.extension;nodes.declaration;runtime.contract,,uncategorized,R::r.native_registration
UASF_0012,b446f1d33c022a60c21f666a,1,1,rust,BASE_553_MATRIX,abi.ffi;effect.graph;memory.model;nodes.declaration,,uncategorized,RUST::rust.ffi_extern_abi
UASF_0013,5a9bf3b3138715b5ae652f13,1,1,rust,BASE_553_MATRIX,abi.ffi;effect.graph;memory.model;operations;ownership.lifetime,,uncategorized,RUST::rust.raw_pointer_deref
UASF_0014,2789ab4afc76cd73f4c3cff9,4,2,java;r,BASE_553_MATRIX,abi.ffi;effect.graph;memory.model;ownership.lifetime;runtime.contract,,gc_memory_runtime;uncategorized,JAVA::java.gc_reachability_reference_types;JAVA::java.jvm_gc_allocation;JAVA::java.object_layout_headers_compressed_oops;R::r.ffi_C_Call_External
UASF_0015,644a852bf8da5c47a367f414,2,1,java,BASE_553_MATRIX,abi.ffi;effect.graph;operations;runtime.contract;scope.binding;types.structure,,reflection_dynamic,JAVA::java.method_handles_varhandles;JAVA::java.reflection_runtime_type
UASF_0016,8de32ca3fe3cb9bd97125499,1,2,c;cpp,BASE_553_MATRIX,abi.ffi;lowering.pipeline;memory.model,,compiler_ir,CPP::clang_codegen_lowering
UASF_0017,c06dc163b74d69d43f5d7830,1,1,rust,BASE_553_MATRIX,abi.ffi;lowering.pipeline;memory.model;types.structure,,uncategorized,RUST::rust.option_niche_optimization
UASF_0018,0adbbb81ac06e72351d373af,1,1,csharp,BASE_553_MATRIX,abi.ffi;lowering.pipeline;runtime.contract,,metadata_runtime,CSHARP::assemblies_modules_metadata
UASF_0019,4470ae71a9d3ba7fc6e768ec,1,1,rust,BASE_553_MATRIX,abi.ffi;memory.model;nodes.declaration;types.structure,,uncategorized,RUST::rust.repr_attributes
UASF_0020,e825bbddb8cfd2e9c1ffa531,1,1,csharp,BASE_553_MATRIX,abi.ffi;memory.model;operations,,unsafe_memory,CSHARP::unsafe_pointer_ops
UASF_0021,42f97691f52828a72c7e5627,1,1,rust,BASE_553_MATRIX,abi.ffi;memory.model;operations;ownership.lifetime;runtime.contract,,uncategorized,RUST::rust.pointer_provenance
UASF_0022,3e793cf0efbeea49bf91d143,5,5,generic_archetype;julia;nim;swift;zig,BASE_553_MATRIX;SOURCE_DERIVED_MISSING_LANGUAGE,abi.ffi;memory.model;ownership.lifetime,abi.graph;effect.graph,memory,GEN::ffi;JULIA::source.ffi_ccall;NIM::source.ffi;SWIFT::source.ffi;ZIG::source.ffi
UASF_0023,7869233b772c876fd7fde9ca,3,3,generic_archetype;nim;zig,BASE_553_MATRIX;SOURCE_DERIVED_MISSING_LANGUAGE,abi.ffi;memory.model;ownership.lifetime,abi.graph;types.graph,memory,GEN::abi_calling_convention;NIM::source.abi_calling_convention;ZIG::source.abi_calling_convention
UASF_0024,acf430bac7f64c0e0806da12,8,4,generic_archetype;julia;nim;zig,BASE_553_MATRIX;SOURCE_DERIVED_MISSING_LANGUAGE,abi.ffi;memory.model;ownership.lifetime,effect.graph;memory.graph,memory,GEN::gc;GEN::manual_memory;GEN::unsafe;JULIA::source.gc_managed_values;NIM::source.gc;NIM::source.manual_memory;ZIG::source.manual_memory;ZIG::source.unsafe
