rank,cluster,matrix_gap_score,dominant_generic_features,dominant_kotlin_features,dominant_semanticprogram_axes
1,types_inference_generics,23.968570,generic;subtyping;primitive_float;primitive_integer;overload_resolution;function_type;generic_constraint;type_inference;primitive_string;primitive_bool;array_type;pointer,kotlin.reified_type_parameter;kotlin.type_alias;kotlin.variance_in_out;kotlin.unsigned_integer_types;kotlin.intersection_type;kotlin.function_type;kotlin.captured_type;kotlin.star_projection;kotlin.nothing_type;kotlin.suspend_function_type;kotlin.type_inference_constraint_system;kotlin.builder_inference;kotlin.unit_type;kotlin.receiver_function_type;kotlin.generic_where_constraints,types.structure;conversion.semantics;types.origin;scope.binding;compiletime.semantics;binding.graph;nodes.declaration
2,declarations_objects,19.438386,visibility;import;module;attribute_annotation;class;interface_trait;enum;struct,kotlin.annotation_use_site;kotlin.backing_field_accessor;kotlin.delegated_property;kotlin.data_class;kotlin.sealed_class_interface;kotlin.value_class;kotlin.enum_entry_semantics;kotlin.companion_object;kotlin.object_singleton;kotlin.constructor_init_order;kotlin.context_receivers_parameters;kotlin.extension_function_property;kotlin.internal_visibility,nodes.declaration;scope.binding;types.structure;binding.graph;memory.model;operations
3,calls_resolution,14.470778,abi_calling_convention;reflection;name_resolution;parameter;dynamic_dispatch;member_access;call,kotlin.callable_reference;kotlin.vararg_spread;kotlin.reflection_kclass;kotlin.destructuring_component;kotlin.default_arguments;kotlin.overload_resolution;kotlin.sam_conversion;kotlin.named_arguments;kotlin.operator_overloading;kotlin.implicit_receiver_tower;kotlin.member_extension_resolution;kotlin.trailing_lambda;kotlin.infix_function,scope.binding;binding.graph;evaluation.order;data.flow;operations;types.structure;conversion.semantics
4,core_runtime_effects,13.673925,mutation;scope;constant;variable;cast_conversion;allocation;random;shadowing;literal_boolean;io;filesystem;time,,effect.graph;purity;runtime.contract;data.flow;nodes.expression;operations;evaluation.order
5,coroutines_concurrency,9.136538,atomic;task_async;thread;lock_mutex;channel;await;memory_model,kotlin.suspend_resume;kotlin.coroutine_suspension_points;kotlin.continuation_state_machine;kotlin.suspend_lambda,concurrency.model;synchronization;memory.ordering;evaluation.order;data.flow;control.flow;runtime.contract
6,nullability_flow,8.899879,optional_nullable;literal_null,kotlin.smart_cast;kotlin.null_safety_flow;kotlin.nullable_type;kotlin.safe_call;kotlin.elvis_operator;kotlin.non_null_assertion;kotlin.platform_flexible_type;kotlin.definitely_non_null_type,conversion.semantics;types.structure;evaluation.order;data.flow;operations;runtime.contract;control.flow
7,compiletime_contracts,8.820215,code_generation;ir;compile_time_eval;optimizer;bytecode_vm;macro,kotlin.contracts_dsl;kotlin.calls_in_place_effect;kotlin.const_evaluation;kotlin.returns_implies_effect,compiletime.semantics;dialect.extension;lowering.pipeline;types.structure;data.flow;effect.graph;purity
8,control_patterns,7.991380,yield;pattern;lifetime;foreach_iteration;goto_label;if;identifier;switch_match;return;for;while;break,kotlin.when_exhaustiveness;kotlin.when_expression;kotlin.labeled_control_flow,evaluation.order;control.flow;effects.control;data.flow;nodes.expression;operations;types.structure
9,ir_backends,7.961586,,kotlin.js_backend_lowering;kotlin.ir_semantics;kotlin.fir_data_flow;kotlin.native_backend_lowering;kotlin.wasm_backend_lowering;kotlin.fir_to_ir;kotlin.fir_semantic_resolution;kotlin.jvm_backend_lowering;kotlin.compiler_plugin_extension_points,abi.ffi;compiletime.semantics;data.flow;control.flow;lowering.pipeline;dialect.extension;operations
10,memory_abi,6.708387,ffi;unsafe;layout_alignment;manual_memory;gc;ownership,kotlin.jvm_boxing_unboxing;kotlin.jvm_signature_mangling,abi.ffi;memory.model;ownership.lifetime;conversion.semantics;runtime.contract;types.structure
11,closures_inline,5.000714,capture;closure_lambda;function,kotlin.inline_function;kotlin.nonlocal_return;kotlin.crossinline_noinline,scope.binding;capture.shadowing;evaluation.order;data.flow;nodes.expression;nodes.declaration;compiletime.semantics
12,exceptions_cleanup,4.336006,exception_try;throw_raise;defer_cleanup,kotlin.exception_throw_catch_finally;kotlin.try_expression,control.flow;evaluation.order;effects.control;effect.graph;runtime.contract
13,multiplatform_interop,4.164705,,kotlin.klib_metadata;kotlin.native_c_objc_interop;kotlin.expect_actual;kotlin.java_nullability_enhancement;kotlin.js_dynamic_external,abi.ffi;compiletime.semantics;lowering.pipeline;dialect.extension;types.structure;scope.binding
14,collections_iteration,3.508534,map_dict;tuple;array_list;index;slice;set,kotlin.range_progression_iteration,data.flow;evaluation.order;operations;nodes.expression;control.flow;types.structure
