grammar_rule,file,line,definition,quality_class,quality_weight,mapped_features
_current_token,src/main/gram.y,138,yyr1[yyn] ; 				\,likely_action_or_c_overmatch,0.12,
clen,src/main/gram.y,316,utf8clen((char) c);,likely_action_or_c_overmatch,0.12,literal_string
c,src/main/gram.y,318,xxgetc();,likely_action_or_c_overmatch,0.12,
res,src/main/gram.y,327,"(int) mbrtowc(wc, s, clen, &mb_st);",likely_action_or_c_overmatch,0.12,
res,src/main/gram.y,334,"(int) mbrtowc(wc, s, clen, &mb_st);",likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,340,xxgetc();,likely_action_or_c_overmatch,0.12,
prog,src/main/gram.y,446,END_OF_INPUT			{ Status = 0; YYACCEPT; },likely_action_or_c_overmatch,0.12,
expr_or_assign_or_help,src/main/gram.y,453,expr               { $$ = $1; },likely_action_or_c_overmatch,0.12,assignment
expr_or_help,src/main/gram.y,458,expr				    { $$ = $1; },likely_action_or_c_overmatch,0.12,
expr,src/main/gram.y,462,NUM_CONST			{ $$ = $1;	setId(@$); },likely_action_or_c_overmatch,0.12,
cond,src/main/gram.y,527,'(' expr_or_help ')'			{ $$ = xxcond($2);   },likely_action_or_c_overmatch,0.12,
ifcond,src/main/gram.y,530,'(' expr_or_help ')'			{ $$ = xxifcond($2); },likely_action_or_c_overmatch,0.12,if
forcond,src/main/gram.y,533,"'(' SYMBOL IN expr_or_help ')' 		{ $$ = xxforcond($2,$4);	setId(@$); }",likely_action_or_c_overmatch,0.12,for
exprlist,src/main/gram.y,537,{ $$ = xxexprlist0();	setId(@$); },likely_action_or_c_overmatch,0.12,array_list
sublist,src/main/gram.y,545,sub				{ $$ = xxsublist1($1);	  },likely_action_or_c_overmatch,0.12,array_list
sub,src/main/gram.y,549,{ $$ = xxsub0();	 },likely_action_or_c_overmatch,0.12,
formlist,src/main/gram.y,559,{ $$ = xxnullformal(); },likely_action_or_c_overmatch,0.12,array_list;for;literal_null
cr,src/main/gram.y,567,{ EatLines = 1; },likely_action_or_c_overmatch,0.12,
prevpos,src/main/gram.y,603,(prevpos + 1) % PUSHBACK_BUFSIZE;,likely_action_or_c_overmatch,0.12,
EndOfFile,src/main/gram.y,610,1;,likely_action_or_c_overmatch,0.12,
R_ParseContextLast,src/main/gram.y,613,(R_ParseContextLast + 1) % PARSE_CONTEXT_SIZE;,likely_action_or_c_overmatch,0.12,
R_ParseContextLine,src/main/gram.y,630,ParseState.xxlineno;,likely_action_or_c_overmatch,0.12,
prevpos,src/main/gram.y,644,(prevpos + PUSHBACK_BUFSIZE - 1) % PUSHBACK_BUFSIZE;,likely_action_or_c_overmatch,0.12,
R_ParseContextLine,src/main/gram.y,646,ParseState.xxlineno;,likely_action_or_c_overmatch,0.12,
R_ParseContextLast,src/main/gram.y,651,(R_ParseContextLast + PARSE_CONTEXT_SIZE -1) % PARSE_CONTEXT_SIZE;,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,666,pushback[--npush];,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,668,ptr_getc();,likely_action_or_c_overmatch,0.12,pointer
R_ParseContextLast,src/main/gram.y,673,(R_ParseContextLast + 1) % PARSE_CONTEXT_SIZE;,likely_action_or_c_overmatch,0.12,
i,src/main/gram.y,688,(i + PARSE_CONTEXT_SIZE - 1) % PARSE_CONTEXT_SIZE) {,likely_action_or_c_overmatch,0.12,
first,src/main/gram.y,697,(i + 1) % PARSE_CONTEXT_SIZE;,likely_action_or_c_overmatch,0.12,
c,src/main/gram.y,706,R_ParseContext[(first + i) % PARSE_CONTEXT_SIZE];,likely_action_or_c_overmatch,0.12,
mbcs,src/main/gram.y,721,true;,likely_action_or_c_overmatch,0.12,
res,src/main/gram.y,738,"(int) mbrtowc(&wc, buf + i, nbytes - i, &mb_st);",likely_action_or_c_overmatch,0.12,
res,src/main/gram.y,743,"(int) mbrtowc(&wc, buf + i, nbytes - i, &mb_st);",likely_action_or_c_overmatch,0.12,
identifier,src/main/gram.y,760,0 ;,likely_action_or_c_overmatch,0.12,if
R_CurrentExpr,src/main/gram.y,818,v;,likely_action_or_c_overmatch,0.12,
ans,src/main/gram.y,858,formlist;,likely_action_or_c_overmatch,0.12,array_list;for
ans,src/main/gram.y,873,formlist;,likely_action_or_c_overmatch,0.12,array_list;for
ans,src/main/gram.y,927,exprlist;,likely_action_or_c_overmatch,0.12,array_list
ans,src/main/gram.y,1020,sublist;,likely_action_or_c_overmatch,0.12,array_list
EatLines,src/main/gram.y,1031,1;,likely_action_or_c_overmatch,0.12,
EatLines,src/main/gram.y,1037,1;,likely_action_or_c_overmatch,0.12,
EatLines,src/main/gram.y,1069,1;,likely_action_or_c_overmatch,0.12,
expr,src/main/gram.y,1128,"installTrChar(STRING_ELT(expr, 0));",likely_action_or_c_overmatch,0.12,literal_string
ans,src/main/gram.y,1131,lang1(expr);,likely_action_or_c_overmatch,0.12,
ans,src/main/gram.y,1133,"LCONS(expr, CDR(args));",likely_action_or_c_overmatch,0.12,
srcref,src/main/gram.y,1174,"makeSrcref(lloc, PS_SRCFILE);",likely_action_or_c_overmatch,0.12,reference
srcref,src/main/gram.y,1177,R_NilValue;,likely_action_or_c_overmatch,0.12,literal_null;reference
