truth_id,antecedent,consequent,support,confidence_percent,counterexamples,languages,targets,domains,classification,productive_closure_rule
T0001,operand:statement,kind:Scope,32,100,0,c|csharp|go|python|r|rust,go|python|rust,operand,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0002,kind:Scope,operand:statement,32,100,0,c|csharp|go|python|r|rust,go|python|rust,operand,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0003,kind:Scope,result:statement,32,100,0,c|csharp|go|python|r|rust,go|python|rust,result,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0004,kind:Scope,uast:Scope,32,100,0,c|csharp|go|python|r|rust,go|python|rust,kind,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0005,kind:SymbolRef,family:LOAD,25,100,0,c|csharp|go|python|r|rust,go|python|rust,kind,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0006,family:LOAD,kind:SymbolRef,25,100,0,c|csharp|go|python|r|rust,go|python|rust,kind,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0007,family:LOAD,operation:LOAD,25,100,0,c|csharp|go|python|r|rust,go|python|rust,semantic,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0008,family:LOAD,primitive:LOAD,25,100,0,c|csharp|go|python|r|rust,go|python|rust,primitive,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0009,family:LOAD,primitive_family:LOAD,25,100,0,c|csharp|go|python|r|rust,go|python|rust,primitive,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0010,family:LOAD,result:value,25,100,0,c|csharp|go|python|r|rust,go|python|rust,result,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0011,family:LOAD,uast:SymbolRef,25,100,0,c|csharp|go|python|r|rust,go|python|rust,semantic,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0012,kind:LiteralExpr,family:LITERAL,21,100,0,c|csharp|go|python|r,go|python|rust,kind,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0013,family:LITERAL,kind:LiteralExpr,21,100,0,c|csharp|go|python|r,go|python|rust,kind,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0014,uast:ModuleDecl,kind:ModuleDecl,21,100,0,c|csharp|go|python|rust,go|python|rust,kind,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0015,family:LITERAL,operation:LITERAL,21,100,0,c|csharp|go|python|r,go|python|rust,semantic,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0016,family:LITERAL,primitive:LITERAL,21,100,0,c|csharp|go|python|r,go|python|rust,primitive,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0017,family:LITERAL,primitive_family:LITERAL,21,100,0,c|csharp|go|python|r,go|python|rust,primitive,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0018,family:LITERAL,uast:LiteralExpr,21,100,0,c|csharp|go|python|r,go|python|rust,semantic,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0019,kind:ModuleDecl,uast:ModuleDecl,21,100,0,c|csharp|go|python|rust,go|python|rust,kind,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0020,operand:argument,operand:value,20,100,0,c|csharp|go|python|r|rust,go|python|rust,operand,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0021,kind:AssignStmt,family:BINDING,18,100,0,c|go|python|r,go|python|rust,kind,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0022,family:BINDING,kind:AssignStmt,18,100,0,c|go|python|r,go|python|rust,kind,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0023,family:BINDING,operand:target,18,100,0,c|go|python|r,go|python|rust,operand,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0024,family:BINDING,operation:ASSIGNMENT,18,100,0,c|go|python|r,go|python|rust,semantic,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0025,family:BINDING,primitive:ASSIGNMENT,18,100,0,c|go|python|r,go|python|rust,primitive,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0026,family:BINDING,primitive_family:BINDING,18,100,0,c|go|python|r,go|python|rust,primitive,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0027,family:BINDING,uast:AssignStmt,18,100,0,c|go|python|r,go|python|rust,semantic,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0028,uast:OperationExpr,kind:OperationExpr,17,100,0,c|go|python|r|rust,go|python|rust,kind,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0029,kind:OperationExpr,uast:OperationExpr,17,100,0,c|go|python|r|rust,go|python|rust,kind,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0030,kind:CallExpr,family:CALL,16,100,0,c|csharp|go|python|r|rust,go|python|rust,kind,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0031,family:CALL,kind:CallExpr,16,100,0,c|csharp|go|python|r|rust,go|python|rust,kind,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0032,operand:body,kind:ClosureExpr,16,100,0,c|go|python|r|rust,go|python|rust,operand,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0033,family:CALL,operand:argument,16,100,0,c|csharp|go|python|r|rust,go|python|rust,operand,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0034,kind:ClosureExpr,operand:body,16,100,0,c|go|python|r|rust,go|python|rust,operand,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0035,kind:ClosureExpr,operand:parameter,16,100,0,c|go|python|r|rust,go|python|rust,operand,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0036,family:CALL,operation:CALL,16,100,0,c|csharp|go|python|r|rust,go|python|rust,semantic,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0037,family:CALL,primitive:CALL,16,100,0,c|csharp|go|python|r|rust,go|python|rust,primitive,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
T0038,family:CALL,primitive_family:CALL,16,100,0,c|csharp|go|python|r|rust,go|python|rust,primitive,UNIVERSAL_CANDIDATE,explicit_syntax_to_operand
