state_id,language,rule,symbol,path
S000001,r,program,_start,$.members[0]
S000001,r,program,_expression,$.members[1].content.members[0]
S000001,r,program,_semicolon,$.members[1].content.members[1]
S000001,r,program,_newline,$.members[1].content.members[2]
S000002,r,function_definition,_newline,$.content.members[1].content
S000002,r,function_definition,parameters,$.content.members[2].content
S000002,r,function_definition,_newline,$.content.members[3].content
S000002,r,function_definition,_expression,$.content.members[4].content
S000003,r,parameters,_open_parenthesis,$.members[0].content
S000003,r,parameters,parameter,$.members[1].members[0].members[0].content
S000003,r,parameters,comma,$.members[1].members[0].members[1].content.members[0]
S000003,r,parameters,parameter,$.members[1].members[0].members[1].content.members[1].content
S000003,r,parameters,_close_parenthesis,$.members[2].content
S000004,r,parameter,_parameter_with_default,$.members[0]
S000004,r,parameter,_parameter_without_default,$.members[1]
S000005,r,_parameter_with_default,_parameter_name,$.members[0]
S000005,r,_parameter_with_default,_expression,$.members[2].content
S000006,r,_parameter_without_default,_parameter_name,$
S000007,r,_parameter_name,_identifier,$.content
S000008,r,if_statement,_newline,$.content.members[1].content
S000008,r,if_statement,_open_parenthesis,$.content.members[2].content
S000008,r,if_statement,_expression,$.content.members[3].content
S000008,r,if_statement,_close_parenthesis,$.content.members[4].content
S000008,r,if_statement,_newline,$.content.members[5].content
S000008,r,if_statement,_expression,$.content.members[6].content
S000008,r,if_statement,_else,$.content.members[7].members[0].members[0]
S000008,r,if_statement,_newline,$.content.members[7].members[0].members[1].content
S000008,r,if_statement,_expression,$.content.members[7].members[0].members[2].content
S000009,r,for_statement,_newline,$.content.members[1].content
S000009,r,for_statement,_open_parenthesis,$.content.members[2].content
S000009,r,for_statement,_identifier,$.content.members[3].content
S000009,r,for_statement,_expression,$.content.members[5].content
S000009,r,for_statement,_close_parenthesis,$.content.members[6].content
S000009,r,for_statement,_newline,$.content.members[7].content
S000009,r,for_statement,_expression,$.content.members[8].content
S000010,r,while_statement,_newline,$.content.members[1].content
S000010,r,while_statement,_open_parenthesis,$.content.members[2].content
S000010,r,while_statement,_expression,$.content.members[3].content
S000010,r,while_statement,_close_parenthesis,$.content.members[4].content
S000010,r,while_statement,_newline,$.content.members[5].content
S000010,r,while_statement,_expression,$.content.members[6].content
S000011,r,repeat_statement,_newline,$.content.members[1].content
S000011,r,repeat_statement,_expression,$.content.members[2].content
S000012,r,braced_expression,_open_brace,$.content.members[0].content
S000012,r,braced_expression,_expression,$.content.members[1].content.content.members[0]
S000012,r,braced_expression,_semicolon,$.content.members[1].content.content.members[1]
S000012,r,braced_expression,_newline,$.content.members[1].content.content.members[2]
S000012,r,braced_expression,_close_brace,$.content.members[2].content
S000013,r,parenthesized_expression,_open_parenthesis,$.content.members[0].content
S000013,r,parenthesized_expression,_expression,$.content.members[1].content
S000013,r,parenthesized_expression,_close_parenthesis,$.content.members[2].content
S000014,r,call,_expression,$.content.members[0].content
S000014,r,call,call_arguments,$.content.members[1].content.content
S000015,r,subset,_expression,$.content.members[0].content
S000015,r,subset,subset_arguments,$.content.members[1].content.content
S000016,r,subset2,_expression,$.content.members[0].content
S000016,r,subset2,subset2_arguments,$.content.members[1].content.content
S000017,r,call_arguments,_open_parenthesis,$.members[0].content
S000017,r,call_arguments,argument,$.members[1].members[0].members[0].content
S000017,r,call_arguments,comma,$.members[1].members[1].content.members[0]
S000017,r,call_arguments,argument,$.members[1].members[1].content.members[1].members[0].content
S000017,r,call_arguments,_close_parenthesis,$.members[2].content
S000018,r,subset_arguments,_open_bracket,$.members[0].content
S000018,r,subset_arguments,argument,$.members[1].members[0].members[0].content
S000018,r,subset_arguments,comma,$.members[1].members[1].content.members[0]
S000018,r,subset_arguments,argument,$.members[1].members[1].content.members[1].members[0].content
S000018,r,subset_arguments,_close_bracket,$.members[2].content
S000019,r,subset2_arguments,_open_bracket2,$.members[0].content
S000019,r,subset2_arguments,argument,$.members[1].members[0].members[0].content
S000019,r,subset2_arguments,comma,$.members[1].members[1].content.members[0]
S000019,r,subset2_arguments,argument,$.members[1].members[1].content.members[1].members[0].content
S000019,r,subset2_arguments,_close_bracket2,$.members[2].content
S000020,r,argument,_argument_named,$.members[0]
S000020,r,argument,_argument_unnamed,$.members[1]
S000021,r,_argument_named,_argument_name_string_or_identifier_or_null,$.members[0].content
S000021,r,_argument_named,_argument_value,$.members[2].members[0]
S000022,r,_argument_unnamed,_argument_value,$
S000023,r,_argument_value,_expression,$.content
S000024,r,unary_operator,_newline,$.members[0].content.members[1].content
S000024,r,unary_operator,_expression,$.members[0].content.members[2].content
S000024,r,unary_operator,_newline,$.members[1].content.members[1].content
S000024,r,unary_operator,_expression,$.members[1].content.members[2].content
S000024,r,unary_operator,_newline,$.members[2].content.members[1].content
S000024,r,unary_operator,_expression,$.members[2].content.members[2].content
S000024,r,unary_operator,_newline,$.members[3].content.members[1].content
S000024,r,unary_operator,_expression,$.members[3].content.members[2].content
S000024,r,unary_operator,_newline,$.members[4].content.members[1].content
S000024,r,unary_operator,_expression,$.members[4].content.members[2].content
S000025,r,binary_operator,_expression,$.members[0].content.members[0].content
S000025,r,binary_operator,_newline,$.members[0].content.members[2].content
S000025,r,binary_operator,_expression,$.members[0].content.members[3].content
S000025,r,binary_operator,_expression,$.members[1].content.members[0].content
S000025,r,binary_operator,_newline,$.members[1].content.members[2].content
S000025,r,binary_operator,_expression,$.members[1].content.members[3].content
S000025,r,binary_operator,_expression,$.members[2].content.members[0].content
S000025,r,binary_operator,_newline,$.members[2].content.members[2].content
S000025,r,binary_operator,_expression,$.members[2].content.members[3].content
S000025,r,binary_operator,_expression,$.members[3].content.members[0].content
S000025,r,binary_operator,_newline,$.members[3].content.members[2].content
S000025,r,binary_operator,_expression,$.members[3].content.members[3].content
S000025,r,binary_operator,_expression,$.members[4].content.members[0].content
S000025,r,binary_operator,_newline,$.members[4].content.members[2].content
S000025,r,binary_operator,_expression,$.members[4].content.members[3].content
