structural_kind,seed_feature_count,semantic_axes,concrete_relations,layers,fields
ABIContract,1,abi.ffi;memory.model;ownership.lifetime,abi.calls;type.constraint;type.convert;type.has;type.origin;type.parameter,memory.lifetime;abi.layout,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;ownership;lifetime;memory_model;abi_contract;calling_convention
AddressOf,1,data.flow;memory.model;types.structure,data.def_use;data.operand;data.result;memory.aliases;memory.borrows;memory.owns;storage.resides_in;type.constraint;type.convert;type.has;type.origin;type.parameter,type.value;data.flow;memory.lifetime,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_shape;operands;results;ownership;lifetime;provenance;storage;memory_model
AggregateExpr,3,data.flow;evaluation.order;nodes.expression;operations,data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind,structure.expression;data.flow;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;operation;value;operands;results;effects;evaluation_order
Annotation,1,nodes.declaration;scope.binding;types.structure,annotation.applies,structure.declaration;type.value;binding.scope,id;kind;source_span;semantic_facets;attributes;extensions;scope_id;binding_refs;name;type_ref;type_shape
ArraySliceType,1,conversion.semantics;types.origin;types.structure,conversion.converts;type.constraint;type.convert;type.has;type.origin;type.parameter,type.value,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_origin;type_shape;conversion
AssignStmt,1,data.flow;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;effect.has;evaluation.before;name.resolves;operation.kind,structure.expression;data.flow;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;binding_refs;symbol;operation;value;operands;results;effects;evaluation_order
AtomicOp,1,concurrency.model;memory.ordering;synchronization,concurrency.atomic_order;concurrency.communicates;concurrency.spawns;concurrency.synchronizes;effect.has;memory.aliases;memory.borrows;memory.owns;storage.resides_in,concurrency,id;kind;source_span;semantic_facets;attributes;extensions;effects;ownership;lifetime;provenance;storage;memory_order;synchronization;concurrency_contract
AwaitExpr,1,data.flow;evaluation.order;nodes.expression;operations,concurrency.atomic_order;concurrency.communicates;concurrency.spawns;concurrency.synchronizes;control.false;control.loop_back;control.next;control.true;effect.has;evaluation.before;operation.kind,structure.expression;data.flow;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;operation;value;operands;results;condition;branches;effects;evaluation_order;memory_order;synchronization;concurrency_contract
Binding,1,binding.graph;capture.shadowing;scope.binding,binding.declares;binding.refers;binding.shadows;name.resolves;scope.parent,binding.scope,id;kind;source_span;semantic_facets;attributes;extensions;scope_id;binding_refs;symbol
BindingPattern,1,data.flow;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind,structure.expression;data.flow;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;binding_refs;symbol;operation;value;operands;results;evaluation_order
BindingResolution,1,binding.graph;capture.shadowing;scope.binding,binding.declares;binding.refers;binding.shadows;name.resolves,binding.scope,id;kind;source_span;semantic_facets;attributes;extensions;scope_id;binding_refs;symbol
BoolType,1,conversion.semantics;types.origin;types.structure,conversion.converts;type.constraint;type.convert;type.has;type.origin;type.parameter,type.value,id;kind;source_span;semantic_facets;attributes;extensions;type_ref;type_origin;type_shape;conversion
BreakStmt,1,control.flow;effects.control;evaluation.order,control.false;control.loop_back;control.next;control.true;evaluation.before,control.flow;effect;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;condition;branches;effects;evaluation_order
CallExpr,1,data.flow;evaluation.order;nodes.expression;operations,call.calls;data.def_use;data.operand;data.result;effect.has;evaluation.before;operation.kind,structure.expression;data.flow;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;operation;value;operands;results;callee;arguments;effects;evaluation_order
CaptureRelation,1,binding.graph;capture.shadowing;scope.binding,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves,binding.scope,id;kind;source_span;semantic_facets;attributes;extensions;scope_id;binding_refs;symbol
ChannelType,1,concurrency.model;data.flow;effect.graph,concurrency.atomic_order;concurrency.communicates;concurrency.spawns;concurrency.synchronizes;data.def_use;data.operand;data.result;effect.has,data.flow;effect;concurrency,id;kind;source_span;semantic_facets;attributes;extensions;operands;results;effects;memory_order;synchronization;concurrency_contract
ChannelTypeOp,1,concurrency.model;memory.ordering;synchronization,concurrency.atomic_order;concurrency.communicates;concurrency.spawns;concurrency.synchronizes;data.def_use;data.operand;data.result;effect.has,concurrency,id;kind;source_span;semantic_facets;attributes;extensions;operands;results;effects;memory_order;synchronization;concurrency_contract
CloseOp,1,concurrency.model;data.flow;effect.graph,concurrency.atomic_order;concurrency.communicates;concurrency.spawns;concurrency.synchronizes;data.def_use;data.operand;data.result;effect.has,data.flow;effect;concurrency,id;kind;source_span;semantic_facets;attributes;extensions;operands;results;effects;memory_order;synchronization;concurrency_contract
ClosureExpr,1,data.flow;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;capture.captures;effect.has;evaluation.before;name.resolves;operation.kind,structure.expression;data.flow;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;binding_refs;symbol;operation;value;operands;results;effects;evaluation_order
CompileTimeEval,1,compiletime.semantics;dialect.extension;lowering.pipeline,compiletime.depends;data.def_use;data.operand;data.result;dialect.requires,compiletime.meta;lowering.runtime.validation;dialect.extension,id;kind;source_span;semantic_facets;attributes;extensions;operands;results;compiletime_contract;lowering;dialect
ComprehensionExpr,1,data.flow;evaluation.order;nodes.expression;operations,binding.declares;binding.refers;binding.shadows;control.false;control.loop_back;control.next;control.true;data.def_use;data.operand;data.result;evaluation.before;name.resolves;operation.kind,structure.expression;data.flow;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;binding_refs;symbol;operation;value;operands;results;condition;branches;evaluation_order
ConcurrencyOp,2,concurrency.model;memory.ordering;synchronization,concurrency.atomic_order;concurrency.communicates;concurrency.spawns;concurrency.synchronizes;control.false;control.loop_back;control.next;control.true;effect.has,concurrency,id;kind;source_span;semantic_facets;attributes;extensions;condition;branches;effects;memory_order;synchronization;concurrency_contract
ConstantDecl,1,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;data.def_use;data.operand;data.result;name.resolves,structure.declaration;type.value;binding.scope,id;kind;source_span;semantic_facets;attributes;extensions;scope_id;binding_refs;name;symbol;type_ref;type_shape;operands;results
ContinueStmt,1,control.flow;effects.control;evaluation.order,control.false;control.loop_back;control.next;control.true;evaluation.before,control.flow;effect;evaluation,id;kind;source_span;semantic_facets;attributes;extensions;condition;branches;effects;evaluation_order
