basis_id,basis_kind,dimension
BASIS_001,semantic_axis,abi.ffi
BASIS_002,semantic_axis,abi.layout
BASIS_003,semantic_axis,binding.graph
BASIS_004,semantic_axis,capture.shadowing
BASIS_005,semantic_axis,compiletime.evaluation
BASIS_006,semantic_axis,compiletime.semantics
BASIS_007,semantic_axis,concurrency.model
BASIS_008,semantic_axis,control.flow
BASIS_009,semantic_axis,conversion.semantics
BASIS_010,semantic_axis,coroutine.state_machine
BASIS_011,semantic_axis,data.flow
BASIS_012,semantic_axis,dialect.extension
BASIS_013,semantic_axis,effect.graph
BASIS_014,semantic_axis,effects.control
BASIS_015,semantic_axis,evaluation.order
BASIS_016,semantic_axis,exception.unwind
BASIS_017,semantic_axis,initialization.order
BASIS_018,semantic_axis,language.implementation_defined
BASIS_019,semantic_axis,language.undefined_behavior
BASIS_020,semantic_axis,language.unspecified_behavior
BASIS_021,semantic_axis,linkage.odr
BASIS_022,semantic_axis,lowering.pipeline
BASIS_023,semantic_axis,memory.model
BASIS_024,semantic_axis,memory.ordering
BASIS_025,semantic_axis,module.semantics
BASIS_026,semantic_axis,name.resolution
BASIS_027,semantic_axis,nodes.declaration
BASIS_028,semantic_axis,nodes.expression
BASIS_029,semantic_axis,object.lifetime
BASIS_030,semantic_axis,operations
BASIS_031,semantic_axis,overload.resolution
BASIS_032,semantic_axis,ownership.lifetime
BASIS_033,semantic_axis,pointer.provenance
BASIS_034,semantic_axis,preprocessor.semantics
BASIS_035,semantic_axis,purity
BASIS_036,semantic_axis,runtime.contract
BASIS_037,semantic_axis,scope.binding
BASIS_038,semantic_axis,storage.duration
BASIS_039,semantic_axis,synchronization
BASIS_040,semantic_axis,template.instantiation
BASIS_041,semantic_axis,types.origin
BASIS_042,semantic_axis,types.structure
BASIS_043,semantic_axis,validation.contract
BASIS_044,semantic_axis,value.category
BASIS_045,relation_axis,abi.graph
BASIS_046,relation_axis,annotation.graph
BASIS_047,relation_axis,binding.graph
BASIS_048,relation_axis,call.graph
BASIS_049,relation_axis,capture.graph
BASIS_050,relation_axis,compiletime.graph
BASIS_051,relation_axis,concurrency.graph
BASIS_052,relation_axis,constraint.graph
BASIS_053,relation_axis,contract.graph
BASIS_054,relation_axis,control.flow
BASIS_055,relation_axis,data.flow
BASIS_056,relation_axis,dialect.extension
BASIS_057,relation_axis,dispatch.graph
BASIS_058,relation_axis,effect.graph
BASIS_059,relation_axis,layout.graph
BASIS_060,relation_axis,lifetime.graph
BASIS_061,relation_axis,lowering.graph
BASIS_062,relation_axis,memory.graph
BASIS_063,relation_axis,ownership.graph
BASIS_064,relation_axis,runtime.graph
BASIS_065,relation_axis,scope.binding
BASIS_066,relation_axis,scope.graph
BASIS_067,relation_axis,types.graph
