canonical_semantic_id,evidence_languages,feature_count,semantic_axes,relation_axes,categories,origins,source_languages,features
UASF_0001,c;cpp,1,abi.ffi;abi.layout;linkage.odr,,layout_abi,cpp,cpp,CPP::cpp_abi_mangling
UASF_0002,kotlin,9,abi.ffi;compiletime.semantics;control.flow;data.flow;dialect.extension;lowering.pipeline;operations,,uncategorized,kotlin,kotlin,KOTLIN::kotlin.compiler_plugin_extension_points;KOTLIN::kotlin.fir_data_flow;KOTLIN::kotlin.fir_semantic_resolution;KOTLIN::kotlin.fir_to_ir;KOTLIN::kotlin.ir_semantics;KOTLIN::kotlin.js_backend_lowering;KOTLIN::kotlin.jvm_backend_lowering;KOTLIN::kotlin.native_backend_lowering;KOTLIN::kotlin.wasm_backend_lowering
UASF_0003,kotlin,5,abi.ffi;compiletime.semantics;dialect.extension;lowering.pipeline;scope.binding;types.structure,,uncategorized,kotlin,kotlin,KOTLIN::kotlin.expect_actual;KOTLIN::kotlin.java_nullability_enhancement;KOTLIN::kotlin.js_dynamic_external;KOTLIN::kotlin.klib_metadata;KOTLIN::kotlin.native_c_objc_interop
UASF_0004,rust,1,abi.ffi;compiletime.semantics;lowering.pipeline;types.structure,,uncategorized,rust,rust,RUST::rust.monomorphization
UASF_0005,rust,1,abi.ffi;control.flow;effect.graph;effects.control;runtime.contract,,uncategorized,rust,rust,RUST::rust.panic_unwind_abort
UASF_0006,c;cpp,1,abi.ffi;conversion.semantics,,calls_abi,cpp,cpp,CPP::c_variadic
UASF_0007,java,3,abi.ffi;conversion.semantics;memory.model;ownership.lifetime;runtime.contract,,ffi_abi,java,java,JAVA::java.foreign_function_memory_api;JAVA::java.jni_boundary;JAVA::java.native_method_resolution
UASF_0008,kotlin,2,abi.ffi;conversion.semantics;memory.model;ownership.lifetime;runtime.contract;types.structure,,uncategorized,kotlin,kotlin,KOTLIN::kotlin.jvm_boxing_unboxing;KOTLIN::kotlin.jvm_signature_mangling
UASF_0009,rust,1,abi.ffi;conversion.semantics;operations;types.structure,,uncategorized,rust,rust,RUST::rust.unsize_coercion
UASF_0010,go,1,abi.ffi;dialect.extension;effect.graph;memory.model,abi.graph;dialect.extension;effect.graph;memory.graph,effect,go,go,GO::go.cgo
UASF_0011,r,1,abi.ffi;dialect.extension;nodes.declaration;runtime.contract,,uncategorized,r,r,R::r.native_registration
UASF_0012,rust,1,abi.ffi;effect.graph;memory.model;nodes.declaration,,uncategorized,rust,rust,RUST::rust.ffi_extern_abi
UASF_0013,rust,1,abi.ffi;effect.graph;memory.model;operations;ownership.lifetime,,uncategorized,rust,rust,RUST::rust.raw_pointer_deref
UASF_0014,java;r,4,abi.ffi;effect.graph;memory.model;ownership.lifetime;runtime.contract,,gc_memory_runtime;uncategorized,java;r,r;java,JAVA::java.gc_reachability_reference_types;JAVA::java.jvm_gc_allocation;JAVA::java.object_layout_headers_compressed_oops;R::r.ffi_C_Call_External
UASF_0015,java,2,abi.ffi;effect.graph;operations;runtime.contract;scope.binding;types.structure,,reflection_dynamic,java,java,JAVA::java.method_handles_varhandles;JAVA::java.reflection_runtime_type
UASF_0016,c;cpp,1,abi.ffi;lowering.pipeline;memory.model,,compiler_ir,cpp,cpp,CPP::clang_codegen_lowering
UASF_0017,rust,1,abi.ffi;lowering.pipeline;memory.model;types.structure,,uncategorized,rust,rust,RUST::rust.option_niche_optimization
UASF_0018,csharp,1,abi.ffi;lowering.pipeline;runtime.contract,,metadata_runtime,csharp,csharp,CSHARP::assemblies_modules_metadata
UASF_0019,rust,1,abi.ffi;memory.model;nodes.declaration;types.structure,,uncategorized,rust,rust,RUST::rust.repr_attributes
UASF_0020,csharp,1,abi.ffi;memory.model;operations,,unsafe_memory,csharp,csharp,CSHARP::unsafe_pointer_ops
UASF_0021,rust,1,abi.ffi;memory.model;operations;ownership.lifetime;runtime.contract,,uncategorized,rust,rust,RUST::rust.pointer_provenance
UASF_0022,c;cpp;csharp;go;java;kotlin;python;r;rust,1,abi.ffi;memory.model;ownership.lifetime,abi.graph;effect.graph,memory,generic,python;r;rust;cpp;kotlin;java;csharp;go,GEN::ffi
UASF_0023,c;cpp;csharp;go;java;kotlin;python;r;rust,1,abi.ffi;memory.model;ownership.lifetime,abi.graph;types.graph,memory,generic,python;r;rust;cpp;kotlin;java;csharp;go,GEN::abi_calling_convention
UASF_0024,c;cpp;csharp;go;java;kotlin;python;r;rust,3,abi.ffi;memory.model;ownership.lifetime,effect.graph;memory.graph,memory,generic,python;r;rust;cpp;kotlin;java;csharp;go,GEN::gc;GEN::manual_memory;GEN::unsafe
UASF_0025,c;cpp;csharp;go;java;kotlin;python;r;rust,1,abi.ffi;memory.model;ownership.lifetime,layout.graph;types.graph,memory,generic,python;r;rust;cpp;kotlin;java;csharp;go,GEN::layout_alignment
UASF_0026,c;cpp;csharp;go;java;kotlin;python;r;rust,1,abi.ffi;memory.model;ownership.lifetime,memory.graph;ownership.graph,memory,generic,python;r;rust;cpp;kotlin;java;csharp;go,GEN::ownership
UASF_0027,r,1,abi.ffi;memory.model;ownership.lifetime;runtime.contract,,uncategorized,r,r,R::r.gc_protect
