rule_id,language_id,construct_family,semantic_rule,statement,basis_dimensions,evidence_kind,source,section
KJAVA_001,java,method_invocation,qualifier_before_arguments,Qualifier expression is evaluated before method arguments,evaluation.order;call.graph,FORMAL_RULE,popl097.zip/KJ-paper-companion-TR.pdf,§1.3
KJAVA_002,java,method_invocation,arguments_left_to_right,Method arguments are evaluated left-to-right,evaluation.order,FORMAL_RULE,popl097.zip/KJ-paper-companion-TR.pdf,§1.3
KJAVA_003,java,method_invocation,abrupt_completion_propagates,Abrupt completion of qualifier/argument propagates to invocation,control.flow;effects.control;exception.unwind,FORMAL_RULE,popl097.zip/KJ-paper-companion-TR.pdf,§1.3
KJAVA_004,java,method_invocation,null_instance_target_throws,Null qualifier for instance invocation throws NullPointerException after argument evaluation,runtime.contract;control.flow;dispatch.graph,FORMAL_RULE,popl097.zip/KJ-paper-companion-TR.pdf,§1.5
KJAVA_005,java,method_invocation,static_dispatch_uses_declaring_type,Static invocation resolves to the declaring type rather than runtime receiver type,dispatch.graph;runtime.contract,FORMAL_RULE,popl097.zip/KJ-paper-companion-TR.pdf,§1.5
KJAVA_006,java,method_invocation,public_protected_runtime_dispatch,Public/protected instance invocation uses the runtime receiver type and inherited/overridden method map,dispatch.graph;call.graph;types.graph,FORMAL_RULE,popl097.zip/KJ-paper-companion-TR.pdf,§1.5
KJAVA_007,java,method_invocation,call_stack_save_restore,Invocation saves/restores remaining computation and method context,runtime.contract;call.graph,FORMAL_RULE,popl097.zip/KJ-paper-companion-TR.pdf,§1.6
KJAVA_008,java,method_invocation,method_context_reinitialized,Invocation initializes environment/current class/receiver location before body,scope.binding;binding.graph;runtime.contract,FORMAL_RULE,popl097.zip/KJ-paper-companion-TR.pdf,§1.6
KJAVA_009,java,object_instantiation,new_qualifier_before_arguments,New-instance qualifier is evaluated before arguments,evaluation.order,FORMAL_RULE,popl097.zip/KJ-paper-companion-TR.pdf,§2.2
KJAVA_010,java,object_instantiation,new_arguments_left_to_right,New-instance arguments are evaluated left-to-right,evaluation.order,FORMAL_RULE,popl097.zip/KJ-paper-companion-TR.pdf,§2.2
KJAVA_011,java,object_instantiation,allocate_before_constructor,Object identity/store allocation occurs before constructor invocation,memory.model;object.lifetime;initialization.order,FORMAL_RULE,popl097.zip/KJ-paper-companion-TR.pdf,§2.2
KJAVA_012,java,object_instantiation,default_fields_before_initializers,Instance fields are allocated/default-initialized during object creation before constructor body,initialization.order;object.lifetime;memory.model,FORMAL_RULE,popl097.zip/KJ-paper-companion-TR.pdf,§2.2
KJAVA_013,java,object_instantiation,constructor_as_method_after_create,Constructor invocation occurs after allocation/layer creation and is lowered to method invocation,lowering.pipeline;call.graph;runtime.contract,FORMAL_RULE,popl097.zip/KJ-paper-companion-TR.pdf,§2.2
KJAVA_014,java,object_instantiation,restore_method_context,Object creation restores previous method context before yielding created object,runtime.contract;scope.binding,FORMAL_RULE,popl097.zip/KJ-paper-companion-TR.pdf,§2.2
