language,construct_id,construct,required,required_state,ts_required,semantic_required,ts_match_count,ts_evidence_names,requirement_class,requirement_vector_13,implementation_class,implementation_role_vector,uast_structures,uasf_seed,semantic_axes,uast_relations,uast_fields,uast_layers,current_frontend_capability,missing,ROLE_MODULE_SCOPE,ROLE_IMPORT,ROLE_DECLARATION,ROLE_BINDING,ROLE_ASSIGNMENT,ROLE_FUNCTION,ROLE_PARAMETER,ROLE_CALL_DISPATCH,ROLE_MEMBER_ACCESS,ROLE_INDEX_SLICE,ROLE_LITERAL,ROLE_CONTAINER_AGGREGATE,ROLE_ITERATION,ROLE_CONTROL_BRANCH,ROLE_CONTROL_TRANSFER,ROLE_CLOSURE_CAPTURE,ROLE_COMPREHENSION,ROLE_PATTERN,ROLE_EXCEPTION,ROLE_ASYNC_CONCURRENCY,ROLE_TYPE_DECL,ROLE_TYPE_EXPR,ROLE_GENERIC,ROLE_MEMORY_REFERENCE,ROLE_CONVERSION_ASSERT,ROLE_ANNOTATION_MODIFIER,ROLE_MACRO_COMPILETIME,ROLE_FFI_ABI,ROLE_SYNCHRONIZATION,ROLE_OPERATOR,ROLE_LABEL_GOTO,ROLE_OWNERSHIP_LIFETIME
r,C001,ModuleNamespace,1,BOTH,1,1,1,namespace_operator,RQ_cefb75e13be8,1111?111?111?,IMPL_b43af1291396,10110000000000000000000000000000,ModuleDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
go,C001,ModuleNamespace,1,SEM,0,1,0,,RQ_cefb75e13be8,1111?111?111?,IMPL_b43af1291396,10110000000000000000000000000000,ModuleDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rust,C001,ModuleNamespace,1,SEM,0,1,0,,RQ_cefb75e13be8,1111?111?111?,IMPL_b43af1291396,10110000000000000000000000000000,ModuleDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cpp,C001,ModuleNamespace,1,BOTH,1,1,13,_namespace_identifier;_namespace_specifier;global_module_fragment_declaration;module;module_declaration;module_name;module_partition;namespace;namespace_alias_definition;namespace_definition;namespace_identifier;nested_namespace_specifier;private_module_fragment_declaration,RQ_cefb75e13be8,1111?111?111?,IMPL_b43af1291396,10110000000000000000000000000000,ModuleDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,C001,ModuleNamespace,?,PROJECT_SEM_LOOKUP,0,?,0,,RQ_cefb75e13be8,1111?111?111?,IMPL_b43af1291396,10110000000000000000000000000000,ModuleDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
python,C001,ModuleNamespace,1,BOTH,1,1,1,module,RQ_cefb75e13be8,1111?111?111?,IMPL_b43af1291396,10110000000000000000000000000000,ModuleDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zig,C001,ModuleNamespace,1,TS,1,?,2,using_namespace_declaration;usingnamespace,RQ_cefb75e13be8,1111?111?111?,IMPL_b43af1291396,10110000000000000000000000000000,ModuleDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
julia,C001,ModuleNamespace,1,TS,1,?,3,baremodule;module;module_definition,RQ_cefb75e13be8,1111?111?111?,IMPL_b43af1291396,10110000000000000000000000000000,ModuleDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nim,C001,ModuleNamespace,?,PROJECT_SEM_LOOKUP,0,?,0,,RQ_cefb75e13be8,1111?111?111?,IMPL_b43af1291396,10110000000000000000000000000000,ModuleDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
csharp,C001,ModuleNamespace,1,BOTH,1,1,5,_namespace_member_declaration;file_scoped_namespace_declaration;module;namespace;namespace_declaration,RQ_cefb75e13be8,1111?111?111?,IMPL_b43af1291396,10110000000000000000000000000000,ModuleDecl,UASF_0304,nodes.declaration;scope.binding;types.structure,binding.declares;binding.refers;binding.shadows;capture.captures;name.resolves;scope.parent,attributes;binding_refs;extensions;id;kind;name;scope_id;semantic_facets;source_span;symbol;type_ref;type_shape,binding.scope;structure.declaration;type.value,PROJECT_JOIN,COMPUTE_REQUIRED_AND_NOT_CURRENT,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
