language_id,canonical_semantic_id,corpus_observed,previous_baseline_present,delta_new_observation,package_count,occurrences
r,UASF_0014,1,1,0,127,1211
r,UASF_0042,1,1,0,76,844
r,UASF_0046,1,1,0,112,409
r,UASF_0071,1,1,0,393,11382
r,UASF_0077,1,1,0,512,45970
r,UASF_0169,1,1,0,120,514
r,UASF_0171,1,1,0,525,22988
r,UASF_0181,1,1,0,567,19924
r,UASF_0182,1,1,0,628,125350
r,UASF_0213,1,1,0,198,1611
r,UASF_0217,1,1,0,63,1185
r,UASF_0219,1,1,0,601,133486
r,UASF_0220,1,1,0,643,683079
r,UASF_0232,1,1,0,474,26188
r,UASF_0233,1,1,0,601,133486
r,UASF_0237,1,1,0,78,382
r,UASF_0239,1,1,0,163,2228
r,UASF_0241,1,1,0,42,1015
r,UASF_0306,1,1,0,640,39880
r,UASF_0315,1,1,0,448,11729
r,UASF_0325,1,1,0,228,2178
