feature_id,domain,feature,completion_score,language_demand,weighted_gap,coupling_centrality,matrix_priority,bundle,numpy_stress_evidence,default_boundary,current_evidence
EXPR008,expression,Member access,0.000,0.971,1.000,0.981,1.000,UB03,0,core,No first-class member-access expression
SEM014,semantics,Truthiness,0.000,0.971,1.000,0.955,0.990,UB02,0,core,Global r_compatible truth contract only
SEM009,semantics,Coercion/conversion policy,0.000,0.952,0.981,0.955,0.971,UB02,0,core,No cast node/policy
SEM012,semantics,Equality semantics,0.000,0.952,0.981,0.955,0.971,UB02,0,core,equal operation exists
IR010,ir,Semantic standard operations,0.000,0.952,0.981,0.921,0.957,UB07,0,core,Operation namespace small
IR007,ir,Lowering provenance,0.000,0.952,0.981,0.906,0.951,UB07,0,core,No explicit transformation graph
EFF003,effect,Memory read/write,0.123,0.968,0.874,0.925,0.854,UB05,0,core,memory.allocate exists; memory.read/write axes absent
IR012,ir,Loss/fidelity report,0.102,0.952,0.881,0.876,0.844,UB13,0,core,Capability status exists but no per-program fidelity report
DECL001,declaration,Variable declaration,0.000,0.889,0.915,0.761,0.836,UB06,0,core,AssignStmt only; no distinct variable declaration
SEM025,semantics,Memory management model,0.000,0.834,0.859,0.897,0.830,UB02,0,core,Ownership contract exists but not modeled operationally
TYPE007,type,Bytes/buffer,0.000,0.800,0.824,1.000,0.830,UB01,0,core,No dedicated bytes model
TYPE039,type,Generic type parameter,0.000,0.800,0.824,1.000,0.830,UB01,0,core,No first-class type parameter table
TYPE040,type,Generic instantiation,0.000,0.800,0.824,1.000,0.830,UB01,0,core,No generic identity/instantiation model
REL010,relation,Def-use graph,0.107,0.952,0.876,0.814,0.818,UB11,0,core,Binding/data approximate; no explicit def-use matrix
REL008,relation,Call graph,0.107,0.952,0.876,0.813,0.817,UB12,0,core,No dedicated call graph
TYPE023,type,Tuple,0.000,0.766,0.789,1.000,0.795,UB01,0,core,No explicit tuple field list semantics
TYPE022,type,List,0.000,0.766,0.789,1.000,0.795,UB01,0,core,No explicit list distinction
TYPE030,type,Interface/trait/protocol,0.000,0.747,0.769,1.000,0.775,UB01,0,core,No member requirement model
CTRL004,control,Switch,0.000,0.761,0.783,0.927,0.767,UB04,0,core,No switch node
SEM033,semantics,Argument passing mode,0.230,0.968,0.767,0.955,0.759,UB02,0,core,Parameter.Passing exists but coarse/unpopulated
IR008,ir,Optimization legality,0.218,0.952,0.767,0.921,0.748,UB07,0,core,Effects/purity partial
TYPE025,type,Map/dictionary,0.242,0.937,0.731,1.000,0.737,UB01,0,core,Key/Value fields exist
