feature,family,detection_terms,required_evidence_sources,semantic_layer,collector_change
kotlin.nullable_type,nullability_flow,nullable;nullabletype;? type,FIR/data-flow + diagnostics tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.null_safety_flow,nullability_flow,nullability;null safety;nullcheck,FIR/data-flow + diagnostics tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.safe_call,nullability_flow,safecall;safe call;?.,FIR/data-flow + diagnostics tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.elvis_operator,nullability_flow,elvis;?:,FIR/data-flow + diagnostics tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.non_null_assertion,nullability_flow,notnullassert;not-null assertion;!!,FIR/data-flow + diagnostics tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.smart_cast,nullability_flow,smartcast;smart cast,FIR/data-flow + diagnostics tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.platform_flexible_type,nullability_flow,flexibletype;platform type;flexible type,FIR/data-flow + diagnostics tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.definitely_non_null_type,nullability_flow,definitelynonnullable;definitely non-null;definitelynonnull,FIR/data-flow + diagnostics tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.intersection_type,types_inference_generics,intersectiontype;intersection type,FIR/type system + constraint tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.captured_type,types_inference_generics,capturedtype;captured type,FIR/type system + constraint tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.type_alias,types_inference_generics,typealias;type alias,FIR/type system + constraint tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.variance_in_out,types_inference_generics,variance;out-projection;in-projection;declaration-site variance,FIR/type system + constraint tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.star_projection,types_inference_generics,starprojection;star projection,FIR/type system + constraint tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.generic_where_constraints,types_inference_generics,where clause;type parameter bound;upper bound,FIR/type system + constraint tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.type_inference_constraint_system,types_inference_generics,type inference;constraintsystem;constraint system,FIR/type system + constraint tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.builder_inference,types_inference_generics,builderinference;builder inference,FIR/type system + constraint tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.reified_type_parameter,types_inference_generics,reified;reified type,FIR/type system + constraint tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.function_type,types_inference_generics,functiontype;function type,FIR/type system + constraint tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.receiver_function_type,types_inference_generics,extensionfunctiontype;receiver function type;extension function type,FIR/type system + constraint tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
kotlin.suspend_function_type,types_inference_generics,suspendfunctiontype;suspend function type,FIR/type system + constraint tests,universal_core,Add dedicated Kotlin detector; emit structured semantic evidence rather than generic keyword-only hits.
