rank,cluster,matrix_gap_score,dominant_features,dominant_semanticprogram_axes,codex_matrix_instruction,acceptance_matrix
1,vectors_types_indexing,12.736422,primitive_float;function_type;primitive_integer;cast_conversion;optional_nullable;r.complex_type;r.vector_recycling;map_dict;r.atomic_vector;r.coercion_lattice;r.nan_inf_semantics;r.na_propagation;r.na_value;type_inference;r.raw_type;r.vectorized_operation;r.dollar_member_partial_match;r.list_pairlist,types.structure;operations;types.origin;conversion.semantics;runtime.contract;data.flow;nodes.expression;evaluation.order,"Implement R value/vector semantics as one matrix block: atomic vector kinds, list/pairlist, coercion lattice, elementwise dispatch, recycling, NA/NaN/Inf, complex/raw, and exact `[`, `[[`, `$` indexing policies. Keep one-based, negative-exclusion and logical-index semantics node-local.","Rerun the complete R Language Semantic Matrix; recompute generic + R-specific gap matrices; require lower cluster score, deterministic SemanticProgram JSON roundtrip, recomputed evidence consistency, RunSemantic parity for supported constructs, and explicit backend capability rejection for unsupported semantics."
2,core_syntax_control,8.548498,visibility;struct;pattern;goto_label;enum;constant;literal_null;literal_boolean;yield;foreach_iteration;if;literal_string;switch_match;comprehension;return;break;continue;for,evaluation.order;data.flow;operations;nodes.expression;types.structure;scope.binding;nodes.declaration;control.flow,Consolidate generic function/call/control/expression nodes using typed semantic events from the R grammar/frontend; do not reparse normalized text through a shared R-shaped expression grammar.,"Rerun the complete R Language Semantic Matrix; recompute generic + R-specific gap matrices; require lower cluster score, deterministic SemanticProgram JSON roundtrip, recomputed evidence consistency, RunSemantic parity for supported constructs, and explicit backend capability rejection for unsupported semantics."
3,effects_runtime,7.895817,mutation;task_async;random;thread;io;atomic;network;lock_mutex;time;filesystem;global_state;channel;r.rng_state,effect.graph;purity;runtime.contract;concurrency.model;memory.ordering;synchronization;data.flow,Extend stateful runtime effects (especially RNG state) as explicit dependencies/effects so deterministic equivalence tests can compare observable state transitions.,"Rerun the complete R Language Semantic Matrix; recompute generic + R-specific gap matrices; require lower cluster score, deterministic SemanticProgram JSON roundtrip, recomputed evidence consistency, RunSemantic parity for supported constructs, and explicit backend capability rejection for unsupported semantics."
4,objects_dispatch,6.958520,r.s4_dispatch;attribute_annotation;generic;class;interface_trait;subtyping;generic_constraint;r.s3_dispatch;dynamic_dispatch;r.attributes,types.structure;nodes.declaration;scope.binding;runtime.contract;operations;dialect.extension;conversion.semantics;types.origin,Implement R object/dispatch semantics as a dialect-backed block: runtime attributes plus S3/S4 dispatch. General attributes/named fields may enter core; S3/S4 method algorithms should remain R dialect capabilities.,"Rerun the complete R Language Semantic Matrix; recompute generic + R-specific gap matrices; require lower cluster score, deterministic SemanticProgram JSON roundtrip, recomputed evidence consistency, RunSemantic parity for supported constructs, and explicit backend capability rejection for unsupported semantics."
5,bindings_environments,6.717763,variable;capture;closure_lambda;symbol_table;scope;assignment;r.environment;r.delayed_assignment;shadowing;r.superassignment;r.lexical_lookup;r.closure_environment_capture;identifier;r.active_binding;name_resolution,scope.binding;binding.graph;capture.shadowing;operations;data.flow;runtime.contract;evaluation.order;nodes.expression,"Implement environment/binding semantics as one block: first-class environments, lexical lookup, closure capture, `<<-`, active bindings and delayed bindings. Replace lexical-candidate evidence with exact definition/use/capture/environment-chain relations where proven.","Rerun the complete R Language Semantic Matrix; recompute generic + R-specific gap matrices; require lower cluster score, deterministic SemanticProgram JSON roundtrip, recomputed evidence consistency, RunSemantic parity for supported constructs, and explicit backend capability rejection for unsupported semantics."
6,runtime_memory,6.293502,layout_alignment;manual_memory;allocation;gc;r.copy_on_modify_named;r.gc_protect;unsafe;r.altrep;ownership;lifetime;pointer;memory_model,memory.model;ownership.lifetime;abi.ffi;runtime.contract;effect.graph;purity;types.structure;data.flow,"Keep R representation/runtime semantics separated from universal syntax: copy-on-modify, GC protection and ALTREP. Model observable semantic constraints and R-runtime dialect metadata; do not universalize implementation-only NAMED/PROTECT details.","Rerun the complete R Language Semantic Matrix; recompute generic + R-specific gap matrices; require lower cluster score, deterministic SemanticProgram JSON roundtrip, recomputed evidence consistency, RunSemantic parity for supported constructs, and explicit backend capability rejection for unsupported semantics."
7,packages_ffi,5.238530,import;module;ffi;abi_calling_convention;r.namespace_package;r.ffi_C_Call_External;r.native_registration,nodes.declaration;scope.binding;abi.ffi;memory.model;ownership.lifetime;types.structure;runtime.contract;dialect.extension,"Implement namespaces/packages/FFI as one boundary block: namespace bindings/import/export, native registration, .C/.Call/.External contracts, ABI/protection/ownership and explicit unsupported capability rejection.","Rerun the complete R Language Semantic Matrix; recompute generic + R-specific gap matrices; require lower cluster score, deterministic SemanticProgram JSON roundtrip, recomputed evidence consistency, RunSemantic parity for supported constructs, and explicit backend capability rejection for unsupported semantics."
8,compiler_metaprogramming,4.875499,ir;macro;bytecode_vm;optimizer;reflection;code_generation;r.bytecode_compiler;compile_time_eval,compiletime.semantics;dialect.extension;lowering.pipeline;runtime.contract;purity;effect.graph,"Use R bytecode/compiler evidence to validate lowering and evaluation equivalence, not as canonical SP. Keep compile/lowering metadata in dialect/analysis matrices.","Rerun the complete R Language Semantic Matrix; recompute generic + R-specific gap matrices; require lower cluster score, deterministic SemanticProgram JSON roundtrip, recomputed evidence consistency, RunSemantic parity for supported constructs, and explicit backend capability rejection for unsupported semantics."
9,evaluation_promises_nse,3.974463,function;parameter;r.quote_substitute_eval;r.language_object_pairlist;r.dots_ellipsis;r.promise_lazy_argument;r.promise_forcing;r.default_argument_lazy;r.missing_argument;call,scope.binding;evaluation.order;runtime.contract;nodes.expression;nodes.declaration;types.structure;data.flow;operations,"Implement the R evaluation cluster as one semantic model: promises, lazy/default arguments, missing arguments, `...`, code-as-data/quote/substitute/eval, and language/pairlist objects. Promise creation/forcing/environment/memoization must be first-class; do not approximate lazy R with a global flag alone.","Rerun the complete R Language Semantic Matrix; recompute generic + R-specific gap matrices; require lower cluster score, deterministic SemanticProgram JSON roundtrip, recomputed evidence consistency, RunSemantic parity for supported constructs, and explicit backend capability rejection for unsupported semantics."
10,conditions_cleanup,3.007569,exception_try;defer_cleanup;throw_raise;r.condition_system;r.restarts_unwind;r.on_exit_cleanup,control.flow;effects.control;evaluation.order;runtime.contract;effect.graph;types.structure,"Implement R conditions/unwind as a control/effect block: errors, warnings, messages, handlers, restarts and on.exit ordering. Do not collapse this to generic exception.throw.","Rerun the complete R Language Semantic Matrix; recompute generic + R-specific gap matrices; require lower cluster score, deterministic SemanticProgram JSON roundtrip, recomputed evidence consistency, RunSemantic parity for supported constructs, and explicit backend capability rejection for unsupported semantics."
