witness_id,demand_primitive,closure_primitive,classification,exact_existing,parameterized_existing,derived_existing
CASE_9bf346b0c5a5c78a7f63fc90,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_5cdab0452f025943e67f85a9,COMPARE:NE,COMPARE:NE,EXACT_EXISTING,true,false,false
CASE_c850271f7ec0c4dba7f3e2ed,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_6b0752e726e10cd58189886b,BINARY:ADD,BINARY:ADD,EXACT_EXISTING,true,false,false
CASE_fd5f23a4ec18529ab7e1265b,COMPARE:NE,COMPARE:NE,EXACT_EXISTING,true,false,false
CASE_c52add826824bd3726691950,CALL,CALL,EXACT_EXISTING,true,false,false
CASE_22b7a5cc09e5c2a328e6ecc8,ITERATION,ITERATION,EXACT_EXISTING,true,false,false
CASE_484cded27e02ed3aadc6ca3a,ITERATION,ITERATION,EXACT_EXISTING,true,false,false
CASE_5d6ff69afc4c2d24ae0223ef,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_b387ef22f6310bbcc97de0b2,BINARY:SUB,BINARY:SUB,EXACT_EXISTING,true,false,false
CASE_cae2a4ce18dc95eb4aefb0c6,LOAD,LOAD,EXACT_EXISTING,true,false,false
CASE_3af24576fb83864be23e9e01,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_bb72db458d969ecab0c5561d,COMPARE:NE,COMPARE:NE,EXACT_EXISTING,true,false,false
CASE_86cbd92febc731a6c7b780a9,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_5233685c5c534b1239aa91c7,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_646ca3c37f40ea2aec144a3f,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_fd43a302b941d19d50e82287,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_da9f8a2fa86544da72c166eb,BINARY:SUB,BINARY:SUB,EXACT_EXISTING,true,false,false
CASE_1030e1a925e4cffd9822f3e2,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_bd1391b709a11a2ce2fcd3bc,COMPARE:LE,COMPARE:LE,EXACT_EXISTING,true,false,false
CASE_e30cbe1b007adb1bb2c17f21,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_fdba86e9c8ffcbfac1331c75,BINARY:DIV,BINARY:DIV,EXACT_EXISTING,true,false,false
CASE_dfd4a682caac68244c71c12e,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_029c543d399f0c75374b9240,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_3b1361ff3c0e07bae609c911,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_08acf7faa61c969b82e32c57,LOAD,LOAD,EXACT_EXISTING,true,false,false
CASE_e0529528c6bf58fe752cb43b,CALL,CALL,EXACT_EXISTING,true,false,false
CASE_ef4abb4a559df45c21bd1eb4,BINARY:ADD,BINARY:ADD,EXACT_EXISTING,true,false,false
CASE_3f555aa9488cb66ae8d16967,COMPARE:EQ,COMPARE:EQ,EXACT_EXISTING,true,false,false
CASE_f883dc993c2338f62c015405,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_029c543d399f0c75374b9240,ITERATION,ITERATION,EXACT_EXISTING,true,false,false
CASE_8d9c8f677b9038ca5c14053e,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_f9cc2788654c7b89ca981cca,BINARY:ADD,BINARY:ADD,EXACT_EXISTING,true,false,false
CASE_d7071c565aa43ca46011749c,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_6de972491a17878efd2ff452,BINARY:MUL,BINARY:MUL,EXACT_EXISTING,true,false,false
CASE_450fb584c7f592f2cd248894,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_f1dff26a9c1a43d51e9b0da2,LITERAL,LITERAL,EXACT_EXISTING,true,false,false
CASE_efbd73547940c7c392ba82a2,STORE,STORE,EXACT_EXISTING,true,false,false
CASE_3589be9b3260fa94637c5eed,CONTROL_TRANSFER,CONTROL_TRANSFER,EXACT_EXISTING,true,false,false
CASE_1f680efd048135f9d426f810,BINARY:ADD,BINARY:ADD,EXACT_EXISTING,true,false,false
CASE_97ff4dddefba434c9c193313,BINARY:SUB,BINARY:SUB,EXACT_EXISTING,true,false,false
