language,tree_sitter_feature,missing_kind
c,field:alternative,UNRESOLVED_CST_EVIDENCE_VECTOR
c,field:argument,UNRESOLVED_CST_EVIDENCE_VECTOR
c,field:arguments,UNRESOLVED_CST_EVIDENCE_VECTOR
c,field:body,UNRESOLVED_CST_EVIDENCE_VECTOR
c,field:condition,UNRESOLVED_CST_EVIDENCE_VECTOR
c,field:declarator,UNRESOLVED_CST_EVIDENCE_VECTOR
c,field:function,UNRESOLVED_CST_EVIDENCE_VECTOR
c,field:left,UNRESOLVED_CST_EVIDENCE_VECTOR
c,field:name,UNRESOLVED_CST_EVIDENCE_VECTOR
c,field:parameters,UNRESOLVED_CST_EVIDENCE_VECTOR
c,field:path,UNRESOLVED_CST_EVIDENCE_VECTOR
c,field:right,UNRESOLVED_CST_EVIDENCE_VECTOR
c,field:type,UNRESOLVED_CST_EVIDENCE_VECTOR
c,field:underlying_type,UNRESOLVED_CST_EVIDENCE_VECTOR
c,field:value,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:abstract_function_declarator,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:array_declarator,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:assignment_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:bitfield_clause,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:cast_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:char_literal,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:character,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:comma_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:escape_sequence,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:extension_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:field_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:for_statement,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:generic_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:gnu_asm_clobber_list,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:gnu_asm_input_operand,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:gnu_asm_input_operand_list,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:gnu_asm_output_operand,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:gnu_asm_output_operand_list,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:gnu_asm_qualifier,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:init_declarator,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:initializer_list,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:macro_type_specifier,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:ms_call_modifier,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:offsetof_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:parenthesized_declarator,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:pointer_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:preproc_arg,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:preproc_call,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:preproc_def,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:preproc_defined,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:preproc_directive,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:preproc_elif,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:preproc_elifdef,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:preproc_else,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:preproc_function_def,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:preproc_if,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:preproc_ifdef,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:preproc_include,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:preproc_params,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:sized_type_specifier,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:sizeof_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:subscript_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:system_lib_string,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:type_descriptor,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:unary_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
c,node:update_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,field:alternative,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,field:argument,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,field:arguments,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,field:body,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,field:condition,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,field:declarator,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,field:field,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,field:function,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,field:initializer,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,field:left,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,field:name,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,field:parameters,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,field:path,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,field:right,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,field:scope,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,field:type,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,field:value,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:abstract_function_declarator,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:abstract_pointer_declarator,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:abstract_reference_declarator,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:annotation,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:array_declarator,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:assignment_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:attribute_specifier,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:attributed_declarator,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:base_class_clause,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:bitfield_clause,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:break_statement,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:cast_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:char_literal,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:character,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:comma_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:compound_literal_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:concatenated_string,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:concept_definition,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:decltype,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:delete_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:dependent_name,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:destructor_name,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:enum_specifier,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:enumerator,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:enumerator_list,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:escape_sequence,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:extension_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:field_declaration,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:field_designator,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:field_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:fold_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:for_statement,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:generic_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:gnu_asm_clobber_list,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:gnu_asm_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:gnu_asm_input_operand,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:gnu_asm_input_operand_list,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:gnu_asm_output_operand,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:gnu_asm_output_operand_list,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:gnu_asm_qualifier,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:init_declarator,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:init_statement,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:initializer_list,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:initializer_pair,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:namespace_alias_definition,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:new_declarator,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:new_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:offsetof_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:operator_name,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:parameter_declaration,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:pointer_declarator,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:pointer_type_declarator,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:preproc_arg,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:preproc_call,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:preproc_def,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:preproc_defined,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:preproc_directive,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:preproc_elif,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:preproc_else,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:preproc_function_def,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:preproc_if,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:preproc_ifdef,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:preproc_include,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:preproc_params,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:ref_qualifier,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:reference_declarator,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:reflect_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:requirement_seq,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:requires_clause,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:requires_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:simple_requirement,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:sized_type_specifier,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:sizeof_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:splice_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:splice_specifier,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:splice_type_specifier,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:static_assert_declaration,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:storage_class_specifier,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:string_content,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:string_literal,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:struct_specifier,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:subscript_argument_list,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:subscript_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:system_lib_string,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:template_function,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:template_instantiation,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:template_method,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:this,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:trailing_return_type,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:type_definition,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:type_qualifier,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:type_requirement,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:unary_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:union_specifier,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:update_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,node:while_statement,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:abstract_function_declarator>parameter_list,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:abstract_function_declarator>ref_qualifier,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:abstract_function_declarator>type_qualifier,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:abstract_pointer_declarator>abstract_function_declarator,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:abstract_pointer_declarator>abstract_pointer_declarator,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:alias_declaration>type_descriptor,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:alias_declaration>type_identifier,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:annotation>call_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:annotation>compound_literal_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:annotation>number_literal,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:argument_list>binary_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:argument_list>call_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:argument_list>cast_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:argument_list>extension_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:argument_list>identifier,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:argument_list>number_literal,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:argument_list>parenthesized_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:argument_list>pointer_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:argument_list>reflect_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:argument_list>string_literal,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:argument_list>this,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:array_declarator>field_identifier,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:array_declarator>identifier,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:assignment_expression>binary_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:assignment_expression>cast_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:assignment_expression>generic_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:assignment_expression>identifier,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:assignment_expression>new_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:assignment_expression>number_literal,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:assignment_expression>parenthesized_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:assignment_expression>pointer_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:attribute_declaration>annotation,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:attribute_specifier>argument_list,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:attributed_declarator>attribute_declaration,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:attributed_declarator>identifier,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:base_class_clause>access_specifier,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:base_class_clause>template_type,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:base_class_clause>type_identifier,UNRESOLVED_CST_EVIDENCE_VECTOR
cpp,relation:binary_expression>binary_expression,UNRESOLVED_CST_EVIDENCE_VECTOR
