feature,family,recommended_layer,semanticprogram_axes,notes
nullable_value_types,types_nullability,core,types.structure;conversion.semantics,Nullable<T> value semantics
nullable_reference_annotations,types_nullability,core,types.structure;types.origin,NRT annotation state
nullable_flow_analysis,types_nullability,core,data.flow;types.origin;control.flow,flow-state nullability
implicit_numeric_conversions,types_conversions,core,conversion.semantics;operations,C# implicit numeric conversion lattice
explicit_numeric_conversions,types_conversions,core,conversion.semantics;operations,checked/unchecked explicit conversion
boxing_unboxing,types_conversions,core,conversion.semantics;runtime.contract,CLR boxing/unboxing semantics
user_defined_conversions,types_conversions,core,conversion.semantics;operations;binding.graph,operator implicit/explicit resolution
constant_expression_conversions,types_conversions,core,compiletime.semantics;conversion.semantics,compile-time constant conversions
dynamic_type_binding,types_dynamic,dialect_or_runtime,dialect.extension;runtime.contract;binding.graph,dynamic call-site binding
native_integer_nint_nuint,types_numeric,dialect_or_runtime,types.structure;runtime.contract,native-sized integer semantics
generic_variance,types_generics,core,types.structure;conversion.semantics,in/out variance
generic_constraints,types_generics,core,types.structure;binding.graph,class/struct/unmanaged/notnull/new/interface constraints
generic_type_inference,types_generics,core,types.origin;binding.graph;conversion.semantics,generic method type inference
target_typed_expressions,types_inference,core,types.origin;conversion.semantics,target-typed new/default/lambda/etc
tuple_names_and_conversion,types_tuples,dialect_or_runtime,types.structure;conversion.semantics,tuple element names and tuple conversions
class_inheritance,object_model,core,types.structure;binding.graph;runtime.contract,base class semantics
interface_implementation,object_model,core,types.structure;binding.graph;runtime.contract,interface implementation map
struct_value_semantics,object_model,core,types.structure;memory.model;runtime.contract,copy/value semantics
record_semantics,object_model,core,nodes.declaration;operations;runtime.contract,synthesized equality/clone/deconstruct
properties_accessors,object_members,core,nodes.declaration;binding.graph;effect.graph,get/set/init accessor semantics
indexers,object_members,core,nodes.declaration;operations;binding.graph,indexed properties
events,object_members,core,nodes.declaration;effect.graph;runtime.contract,event add/remove backing semantics
delegates_multicast,object_members,core,types.structure;runtime.contract;operations,delegate conversion/invocation/combine
extension_methods,call_resolution,core,binding.graph;scope.binding;operations,extension candidate lookup
partial_types_methods,declarations,dialect_or_runtime,nodes.declaration;binding.graph,multi-part declaration merge
required_members,declarations,dialect_or_runtime,nodes.declaration;compiletime.semantics,required initialization contract
primary_constructors,declarations,dialect_or_runtime,nodes.declaration;binding.graph;capture.shadowing,primary constructor scope/capture
static_abstract_interface_members,object_model,core,types.structure;binding.graph;operations,generic math/static dispatch
default_interface_members,object_model,core,runtime.contract;binding.graph,default interface dispatch
virtual_override_new_dispatch,object_model,core,runtime.contract;binding.graph;operations,virtual slot/override/hiding semantics
overload_resolution_csharp,call_resolution,core,binding.graph;conversion.semantics;operations,better function member rules
named_optional_arguments,call_resolution,core,binding.graph;evaluation.order,named/default parameter mapping
params_collections,call_resolution,core,conversion.semantics;operations,params array/collection expansion
