EvidenceID,Language,Compiler,Stage,SourceArea,CompilerRepresentation,SemanticFeatures,RelationFeatures,PhaseClass,SuggestedMatrices,EvidenceClass,MappingGuidance,SourceURL,Notes
E0001,Python,CPython,Parse/AST,Python.asdl-derived AST classes,ast.AST / stmt / expr constructors,syntax_surface; node_kind; source_structure,PARENT_CHILD,PARSE,M_LANG;M_UAST,EMPIRICALLY_PROVEN,Use AST constructor families as accepted-form inventory; preserve exact node/span facts.,https://github.com/python/cpython/blob/main/Doc/library/ast.rst,
E0002,Python,CPython,Frontend phases,future statements → symtable → instruction sequence → CFG,AST + symbol table + CFG,compiletime_future; binding; control_flow,PHASE_BEFORE;SYMBOL_DEPENDENCY;CONTROL_EDGE,MIXED,M_PHASE;M_REL,EMPIRICALLY_PROVEN,Model these as distinct semantic phases; do not conflate parser acceptance with resolved semantics.,https://github.com/python/cpython/blob/main/Python/compile.c,
E0003,Python,CPython,Binding,global/nonlocal/use-before-declaration checks,symbol table entries,scope; binding; global; nonlocal; free_variable,BINDING;REFERENCE;SCOPE_PARENT;CAPTURE,SEMANTIC,M_LANG;M_REL,EMPIRICALLY_PROVEN,Use as evidence for exact Python scope/binding guards.,https://github.com/python/cpython/blob/main/Python/symtable.c,
E0004,Python,Nuitka,Desugaring,high-level language forms are translated to simpler constructs,Nuitka node tree,desugaring; control_flow; calls; classes; with; boolean_short_circuit,PARENT_CHILD;SEQUENCE_BEFORE,LOWERING,M_LANG;M_COMPOSE,EMPIRICALLY_PROVEN,Excellent donor for semantic decompositions; facts only because Nuitka is AGPL.,https://github.com/Nuitka/Nuitka/blob/develop/nuitka/tree/Building.py,
E0005,Python,Nuitka,Composition,with / async with,temporaries + enter/exit calls + try/finally + await,resource_scope; cleanup; exception; async; await; temporary; evaluation_order,SCOPE_CONTAINS;CLEANUP_EDGE;EXCEPTION_EDGE;SUSPENSION_EDGE;SEQUENCE_BEFORE,LOWERING,M_REL;M_COMPOSE;M_PHASE,EMPIRICALLY_PROVEN,Seed generic RESOURCE_SCOPE + CLEANUP + EXCEPTION + ASYNC relation patterns; preserve version guards.,https://github.com/Nuitka/Nuitka/blob/develop/nuitka/tree/ReformulationWithStatements.py,
E0006,Python,Nuitka,Binding,variable providers and closure variables,provider/locals-scope/closure variable,scope; binding; capture; class_scope; module_scope,BINDING;REFERENCE;CAPTURE;SCOPE_PARENT,SEMANTIC,M_REL,EMPIRICALLY_PROVEN,Cross-check CPython symtable results against Nuitka closure facts.,https://github.com/Nuitka/Nuitka/blob/develop/nuitka/tree/VariableClosure.py,
E0007,Python,Nuitka,Type/phase,annotation construction with future-annotations behavior,annotation node,annotation; type_metadata; future_feature; compiletime_vs_runtime,TYPE_DEPENDENCY;PHASE_BEFORE,MIXED,M_PHASE;M_LANG,EMPIRICALLY_PROVEN,Useful for current TYPE_CHECKING/annotation closure; do not assume all annotations are compiletime-only.,https://github.com/Nuitka/Nuitka/blob/develop/nuitka/tree/TreeHelpers.py,
E0008,Go,gc compiler,Parse/AST,syntax node definitions and positions,syntax.Node hierarchy,syntax_surface; declaration; statement; expression; source_position,PARENT_CHILD,PARSE,M_LANG,EMPIRICALLY_PROVEN,Use node families as accepted-form inventory and source ownership seed.,https://github.com/golang/go/blob/master/src/cmd/compile/internal/syntax/nodes.go,
E0009,Go,gc compiler,Frontend phases,parse and typecheck package before backend processing,syntax → IR/typecheck,parse; typecheck; package,PHASE_BEFORE;MODULE_DEPENDENCY,SEMANTIC,M_PHASE;M_DEP,EMPIRICALLY_PROVEN,Keep package/module facts distinct from node semantics.,https://github.com/golang/go/blob/master/src/cmd/compile/internal/gc/main.go,
E0010,Go,gc compiler,Ordering,rewrite tree to explicit statements to enforce evaluation order,IR with introduced temporaries,evaluation_order; temporary; addressability; map_access; channel_receive,SEQUENCE_BEFORE;DATA_DEPENDENCY;BINDING,LOWERING,M_REL;M_COMPOSE,EMPIRICALLY_PROVEN,Strong evidence for generic EVALUATION_ORDER closure and temporary introduction.,https://github.com/golang/go/blob/master/src/cmd/compile/internal/walk/order.go,
E0011,Go,gc compiler,Type semantics,shift and conversion typechecking,typed IR expressions,numeric_model; integer_shift; conversion; untyped_constant; rounding,TYPE_DEPENDENCY;REPRESENTATION_DEPENDENCY,SEMANTIC,M_LANG;M_REP,EMPIRICALLY_PROVEN,Seed exact guards for shifts/conversions instead of language-specific backend patches.,https://github.com/golang/go/blob/master/src/cmd/compile/internal/typecheck/expr.go,
E0012,Go,gc compiler,Desugaring,range loops transformed into simpler forms,IR RangeStmt → simpler IR,iteration; range; loop; binding,CONTROL_EDGE;LOOP_BACKEDGE;BINDING,LOWERING,M_COMPOSE;M_REL,EMPIRICALLY_PROVEN,Seed ITERATION relation patterns parameterized by collection/range representation.,https://github.com/golang/go/blob/master/src/cmd/compile/internal/walk/range.go,
E0013,Rust,rustc,Parse/AST,Item/Expr/Pat/Stmt/Ty/Generics/Macro/Attribute families,rustc_ast,syntax_surface; pattern; generic; macro; attribute; mutability; binding_mode,PARENT_CHILD;TYPE_DEPENDENCY;BINDING,PARSE,M_LANG,EMPIRICALLY_PROVEN,Inventory all accepted AST families from rustc_ast instead of hand-listing grammar forms.,https://github.com/rust-lang/rust/blob/main/compiler/rustc_ast/src/ast.rs,
E0014,Rust,rustc,Frontend phases,parsing by construct; macro expansion; AST validation; name resolution; recovery,AST,parse; macro_expansion; name_resolution; error_recovery,PHASE_BEFORE;SYMBOL_DEPENDENCY,MIXED,M_PHASE;M_DEP,EMPIRICALLY_PROVEN,Use recovery state explicitly; accepted-but-invalid forms must not silently disappear.,https://github.com/rust-lang/rustc-dev-guide/blob/main/src/overview.md,
E0015,Rust,rustc,Desugaring,AST → HIR lowers/desugars loops and async fn,HIR,desugaring; loop; async; function; control_flow,CONTROL_EDGE;SUSPENSION_EDGE;SEQUENCE_BEFORE,LOWERING,M_COMPOSE;M_REL,EMPIRICALLY_PROVEN,Translate source sugar to guarded canonical relation patterns rather than source-language switches.,https://github.com/rust-lang/rustc-dev-guide/blob/main/src/overview.md,
E0016,Rust,rustc,Resolved high-level form,HIR carries binding/borrow/capture/desugaring-oriented data,HIR nodes,binding_mode; borrow; capture; mutability; lifetime; desugaring,BINDING;CAPTURE;OWNERSHIP_EDGE;LIFETIME_EDGE,SEMANTIC,M_REL;M_LANG,EMPIRICALLY_PROVEN,"Good evidence for preserving ownership/lifetime/capture as relations, not syntax-only flags.",https://github.com/rust-lang/rust/blob/main/compiler/rustc_hir/src/hir.rs,
E0017,Rust,rustc,Dependency/phase,resolver and macro expansion run before analysis,resolved crate context,module; import; macro_expansion; name_resolution,MODULE_DEPENDENCY;SYMBOL_DEPENDENCY;PHASE_BEFORE,SEMANTIC,M_DEP;M_PHASE,EMPIRICALLY_PROVEN,Use resolved import edges and origin facts for dependency closure.,https://github.com/rust-lang/rust/blob/main/compiler/rustc_driver_impl/src/lib.rs,
E0018,C,Clang,Semantic analysis,Sema performs semantic analysis and builds AST from parse stream,Clang AST,declaration; expression; type; semantic_analysis,PARENT_CHILD;TYPE_DEPENDENCY,SEMANTIC,M_LANG;M_REL,EMPIRICALLY_PROVEN,"Use Sema facts, not parser token names alone, for canonical semantic mapping.",https://github.com/llvm/llvm-project/blob/main/clang/lib/Sema/Sema.cpp,
E0019,C,Clang,Statement semantics,SemaStmt integrates scope/evaluation contexts and statement analysis,Clang Stmt/Expr,scope; evaluation_context; control_flow; ownership_context,SCOPE_CONTAINS;CONTROL_EDGE;SEQUENCE_BEFORE,SEMANTIC,M_REL;M_COMPOSE,EMPIRICALLY_PROVEN,Useful for control/evaluation relation guards.,https://github.com/llvm/llvm-project/blob/main/clang/lib/Sema/SemaStmt.cpp,
E0020,C,Clang,Type/context,ASTContext owns long-lived AST/type information,ASTContext,type; canonical_type; target_info; source_manager,TYPE_DEPENDENCY;REPRESENTATION_DEPENDENCY,SEMANTIC,M_LANG;M_REP,EMPIRICALLY_PROVEN,Separate source-language type semantics from target representation.,https://github.com/llvm/llvm-project/blob/main/clang/include/clang/AST/ASTContext.h,
E0021,C,Clang,Compiletime/dependency,preprocessor/header/module machinery participates in frontend semantics,preprocessor + module/header state,preprocessor; include; module; compiletime,MODULE_DEPENDENCY;PHASE_BEFORE,COMPILETIME,M_PHASE;M_DEP,EMPIRICALLY_PROVEN,"C preprocessing must be explicit phase/dependency evidence, not discarded as trivia.",https://github.com/llvm/llvm-project/blob/main/clang/lib/Sema/Sema.cpp,
E0022,C++,Clang,Semantic analysis,Sema builds typed C++ AST from parse stream,Clang AST,declaration; overload; type; semantic_analysis,TYPE_DEPENDENCY;SYMBOL_DEPENDENCY,SEMANTIC,M_LANG;M_REL,EMPIRICALLY_PROVEN,Use resolved Sema outcomes for overload/type semantics.,https://github.com/llvm/llvm-project/blob/main/clang/lib/Sema/Sema.cpp,
E0023,C++,Clang,Closure semantics,C++ declarations include lambda capture representation,DeclCXX / LambdaCapture,lambda; closure; capture; class; method,CAPTURE;BINDING;SCOPE_PARENT,SEMANTIC,M_REL;M_LANG,EMPIRICALLY_PROVEN,Seed universal closure/capture relations; do not model lambda merely as anonymous function syntax.,https://github.com/llvm/llvm-project/blob/main/clang/include/clang/AST/DeclCXX.h,
E0024,C++,Clang,Statement semantics,statement Sema includes scope/evaluation/ownership contexts,Stmt/Expr,scope; control_flow; evaluation_context; ownership,SCOPE_CONTAINS;CONTROL_EDGE;OWNERSHIP_EDGE,SEMANTIC,M_REL;M_COMPOSE,EMPIRICALLY_PROVEN,Use guards to distinguish C++ cleanup/lifetime behavior from superficially similar constructs.,https://github.com/llvm/llvm-project/blob/main/clang/lib/Sema/SemaStmt.cpp,
E0025,C++,Clang,Type/context,ASTContext canonicalizes and retains type information,ASTContext,type; canonical_type; templates_context; target_info,TYPE_DEPENDENCY;REPRESENTATION_DEPENDENCY,SEMANTIC,M_LANG;M_REP,EMPIRICALLY_PROVEN,Preserve canonical type identity separately from target representation.,https://github.com/llvm/llvm-project/blob/main/clang/include/clang/AST/ASTContext.h,
