language,set_name,range_ordinal,range_start,range_end
c,sym_number_literal_character_set_13,0,48,57
c,sym_number_literal_character_set_13,1,66,66
c,sym_number_literal_character_set_13,2,68,68
c,sym_number_literal_character_set_13,3,70,70
c,sym_number_literal_character_set_13,4,76,76
c,sym_number_literal_character_set_13,5,85,85
c,sym_number_literal_character_set_13,6,87,87
c,sym_number_literal_character_set_13,7,98,98
c,sym_number_literal_character_set_13,8,100,100
c,sym_number_literal_character_set_13,9,102,102
c,sym_number_literal_character_set_13,10,108,108
c,sym_number_literal_character_set_13,11,117,117
c,sym_number_literal_character_set_13,12,119,119
c,sym_identifier_character_set_1,0,36,36
c,sym_identifier_character_set_1,1,65,90
c,sym_identifier_character_set_1,2,92,92
c,sym_identifier_character_set_1,3,95,95
c,sym_identifier_character_set_1,4,97,122
c,sym_identifier_character_set_1,5,170,170
c,sym_identifier_character_set_1,6,181,181
c,sym_identifier_character_set_1,7,186,186
c,sym_identifier_character_set_1,8,192,214
c,sym_identifier_character_set_1,9,216,246
c,sym_identifier_character_set_1,10,248,705
c,sym_identifier_character_set_1,11,710,721
c,sym_identifier_character_set_1,12,736,740
c,sym_identifier_character_set_1,13,748,748
c,sym_identifier_character_set_1,14,750,750
c,sym_identifier_character_set_1,15,880,884
c,sym_identifier_character_set_1,16,886,887
c,sym_identifier_character_set_1,17,891,893
c,sym_identifier_character_set_1,18,895,895
c,sym_identifier_character_set_1,19,902,902
c,sym_identifier_character_set_1,20,904,906
c,sym_identifier_character_set_1,21,908,908
c,sym_identifier_character_set_1,22,910,929
c,sym_identifier_character_set_1,23,931,1013
c,sym_identifier_character_set_1,24,1015,1153
c,sym_identifier_character_set_1,25,1162,1327
c,sym_identifier_character_set_1,26,1329,1366
c,sym_identifier_character_set_1,27,1369,1369
c,sym_identifier_character_set_1,28,1376,1416
c,sym_identifier_character_set_1,29,1488,1514
c,sym_identifier_character_set_1,30,1519,1522
c,sym_identifier_character_set_1,31,1568,1610
c,sym_identifier_character_set_1,32,1646,1647
c,sym_identifier_character_set_1,33,1649,1747
c,sym_identifier_character_set_1,34,1749,1749
c,sym_identifier_character_set_1,35,1765,1766
c,sym_identifier_character_set_1,36,1774,1775
c,sym_identifier_character_set_1,37,1786,1788
c,sym_identifier_character_set_1,38,1791,1791
c,sym_identifier_character_set_1,39,1808,1808
c,sym_identifier_character_set_1,40,1810,1839
c,sym_identifier_character_set_1,41,1869,1957
c,sym_identifier_character_set_1,42,1969,1969
c,sym_identifier_character_set_1,43,1994,2026
c,sym_identifier_character_set_1,44,2036,2037
c,sym_identifier_character_set_1,45,2042,2042
c,sym_identifier_character_set_1,46,2048,2069
c,sym_identifier_character_set_1,47,2074,2074
c,sym_identifier_character_set_1,48,2084,2084
c,sym_identifier_character_set_1,49,2088,2088
c,sym_identifier_character_set_1,50,2112,2136
c,sym_identifier_character_set_1,51,2144,2154
c,sym_identifier_character_set_1,52,2160,2183
c,sym_identifier_character_set_1,53,2185,2190
c,sym_identifier_character_set_1,54,2208,2249
c,sym_identifier_character_set_1,55,2308,2361
c,sym_identifier_character_set_1,56,2365,2365
c,sym_identifier_character_set_1,57,2384,2384
c,sym_identifier_character_set_1,58,2392,2401
c,sym_identifier_character_set_1,59,2417,2432
c,sym_identifier_character_set_1,60,2437,2444
c,sym_identifier_character_set_1,61,2447,2448
c,sym_identifier_character_set_1,62,2451,2472
c,sym_identifier_character_set_1,63,2474,2480
c,sym_identifier_character_set_1,64,2482,2482
c,sym_identifier_character_set_1,65,2486,2489
c,sym_identifier_character_set_1,66,2493,2493
c,sym_identifier_character_set_1,67,2510,2510
c,sym_identifier_character_set_1,68,2524,2525
c,sym_identifier_character_set_1,69,2527,2529
c,sym_identifier_character_set_1,70,2544,2545
c,sym_identifier_character_set_1,71,2556,2556
c,sym_identifier_character_set_1,72,2565,2570
c,sym_identifier_character_set_1,73,2575,2576
c,sym_identifier_character_set_1,74,2579,2600
c,sym_identifier_character_set_1,75,2602,2608
c,sym_identifier_character_set_1,76,2610,2611
c,sym_identifier_character_set_1,77,2613,2614
c,sym_identifier_character_set_1,78,2616,2617
c,sym_identifier_character_set_1,79,2649,2652
c,sym_identifier_character_set_1,80,2654,2654
c,sym_identifier_character_set_1,81,2674,2676
c,sym_identifier_character_set_1,82,2693,2701
c,sym_identifier_character_set_1,83,2703,2705
c,sym_identifier_character_set_1,84,2707,2728
c,sym_identifier_character_set_1,85,2730,2736
c,sym_identifier_character_set_1,86,2738,2739
c,sym_identifier_character_set_1,87,2741,2745
c,sym_identifier_character_set_1,88,2749,2749
c,sym_identifier_character_set_1,89,2768,2768
c,sym_identifier_character_set_1,90,2784,2785
c,sym_identifier_character_set_1,91,2809,2809
c,sym_identifier_character_set_1,92,2821,2828
c,sym_identifier_character_set_1,93,2831,2832
c,sym_identifier_character_set_1,94,2835,2856
c,sym_identifier_character_set_1,95,2858,2864
c,sym_identifier_character_set_1,96,2866,2867
c,sym_identifier_character_set_1,97,2869,2873
c,sym_identifier_character_set_1,98,2877,2877
c,sym_identifier_character_set_1,99,2908,2909
c,sym_identifier_character_set_1,100,2911,2913
c,sym_identifier_character_set_1,101,2929,2929
c,sym_identifier_character_set_1,102,2947,2947
c,sym_identifier_character_set_1,103,2949,2954
c,sym_identifier_character_set_1,104,2958,2960
c,sym_identifier_character_set_1,105,2962,2965
c,sym_identifier_character_set_1,106,2969,2970
c,sym_identifier_character_set_1,107,2972,2972
c,sym_identifier_character_set_1,108,2974,2975
c,sym_identifier_character_set_1,109,2979,2980
c,sym_identifier_character_set_1,110,2984,2986
c,sym_identifier_character_set_1,111,2990,3001
c,sym_identifier_character_set_1,112,3024,3024
c,sym_identifier_character_set_1,113,3077,3084
c,sym_identifier_character_set_1,114,3086,3088
c,sym_identifier_character_set_1,115,3090,3112
c,sym_identifier_character_set_1,116,3114,3129
c,sym_identifier_character_set_1,117,3133,3133
c,sym_identifier_character_set_1,118,3160,3162
c,sym_identifier_character_set_1,119,3165,3165
c,sym_identifier_character_set_1,120,3168,3169
c,sym_identifier_character_set_1,121,3200,3200
c,sym_identifier_character_set_1,122,3205,3212
c,sym_identifier_character_set_1,123,3214,3216
c,sym_identifier_character_set_1,124,3218,3240
c,sym_identifier_character_set_1,125,3242,3251
c,sym_identifier_character_set_1,126,3253,3257
c,sym_identifier_character_set_1,127,3261,3261
c,sym_identifier_character_set_1,128,3293,3294
c,sym_identifier_character_set_1,129,3296,3297
c,sym_identifier_character_set_1,130,3313,3314
c,sym_identifier_character_set_1,131,3332,3340
c,sym_identifier_character_set_1,132,3342,3344
c,sym_identifier_character_set_1,133,3346,3386
c,sym_identifier_character_set_1,134,3389,3389
c,sym_identifier_character_set_1,135,3406,3406
c,sym_identifier_character_set_1,136,3412,3414
c,sym_identifier_character_set_1,137,3423,3425
c,sym_identifier_character_set_1,138,3450,3455
c,sym_identifier_character_set_1,139,3461,3478
c,sym_identifier_character_set_1,140,3482,3505
c,sym_identifier_character_set_1,141,3507,3515
c,sym_identifier_character_set_1,142,3517,3517
c,sym_identifier_character_set_1,143,3520,3526
c,sym_identifier_character_set_1,144,3585,3632
c,sym_identifier_character_set_1,145,3634,3634
c,sym_identifier_character_set_1,146,3648,3654
c,sym_identifier_character_set_1,147,3713,3714
c,sym_identifier_character_set_1,148,3716,3716
c,sym_identifier_character_set_1,149,3718,3722
c,sym_identifier_character_set_1,150,3724,3747
c,sym_identifier_character_set_1,151,3749,3749
c,sym_identifier_character_set_1,152,3751,3760
c,sym_identifier_character_set_1,153,3762,3762
c,sym_identifier_character_set_1,154,3773,3773
c,sym_identifier_character_set_1,155,3776,3780
c,sym_identifier_character_set_1,156,3782,3782
c,sym_identifier_character_set_1,157,3804,3807
c,sym_identifier_character_set_1,158,3840,3840
c,sym_identifier_character_set_1,159,3904,3911
c,sym_identifier_character_set_1,160,3913,3948
c,sym_identifier_character_set_1,161,3976,3980
c,sym_identifier_character_set_1,162,4096,4138
c,sym_identifier_character_set_1,163,4159,4159
c,sym_identifier_character_set_1,164,4176,4181
c,sym_identifier_character_set_1,165,4186,4189
c,sym_identifier_character_set_1,166,4193,4193
c,sym_identifier_character_set_1,167,4197,4198
c,sym_identifier_character_set_1,168,4206,4208
c,sym_identifier_character_set_1,169,4213,4225
c,sym_identifier_character_set_1,170,4238,4238
c,sym_identifier_character_set_1,171,4256,4293
c,sym_identifier_character_set_1,172,4295,4295
c,sym_identifier_character_set_1,173,4301,4301
c,sym_identifier_character_set_1,174,4304,4346
c,sym_identifier_character_set_1,175,4348,4680
c,sym_identifier_character_set_1,176,4682,4685
c,sym_identifier_character_set_1,177,4688,4694
c,sym_identifier_character_set_1,178,4696,4696
c,sym_identifier_character_set_1,179,4698,4701
c,sym_identifier_character_set_1,180,4704,4744
c,sym_identifier_character_set_1,181,4746,4749
c,sym_identifier_character_set_1,182,4752,4784
c,sym_identifier_character_set_1,183,4786,4789
c,sym_identifier_character_set_1,184,4792,4798
c,sym_identifier_character_set_1,185,4800,4800
c,sym_identifier_character_set_1,186,4802,4805
c,sym_identifier_character_set_1,187,4808,4822
c,sym_identifier_character_set_1,188,4824,4880
c,sym_identifier_character_set_1,189,4882,4885
c,sym_identifier_character_set_1,190,4888,4954
c,sym_identifier_character_set_1,191,4992,5007
c,sym_identifier_character_set_1,192,5024,5109
c,sym_identifier_character_set_1,193,5112,5117
c,sym_identifier_character_set_1,194,5121,5740
c,sym_identifier_character_set_1,195,5743,5759
c,sym_identifier_character_set_1,196,5761,5786
c,sym_identifier_character_set_1,197,5792,5866
c,sym_identifier_character_set_1,198,5870,5880
c,sym_identifier_character_set_1,199,5888,5905
c,sym_identifier_character_set_1,200,5919,5937
c,sym_identifier_character_set_1,201,5952,5969
c,sym_identifier_character_set_1,202,5984,5996
c,sym_identifier_character_set_1,203,5998,6000
c,sym_identifier_character_set_1,204,6016,6067
c,sym_identifier_character_set_1,205,6103,6103
c,sym_identifier_character_set_1,206,6108,6108
c,sym_identifier_character_set_1,207,6176,6264
c,sym_identifier_character_set_1,208,6272,6312
c,sym_identifier_character_set_1,209,6314,6314
c,sym_identifier_character_set_1,210,6320,6389
c,sym_identifier_character_set_1,211,6400,6430
c,sym_identifier_character_set_1,212,6480,6509
c,sym_identifier_character_set_1,213,6512,6516
c,sym_identifier_character_set_1,214,6528,6571
c,sym_identifier_character_set_1,215,6576,6601
c,sym_identifier_character_set_1,216,6656,6678
c,sym_identifier_character_set_1,217,6688,6740
c,sym_identifier_character_set_1,218,6823,6823
c,sym_identifier_character_set_1,219,6917,6963
c,sym_identifier_character_set_1,220,6981,6988
c,sym_identifier_character_set_1,221,7043,7072
c,sym_identifier_character_set_1,222,7086,7087
c,sym_identifier_character_set_1,223,7098,7141
c,sym_identifier_character_set_1,224,7168,7203
c,sym_identifier_character_set_1,225,7245,7247
c,sym_identifier_character_set_1,226,7258,7293
c,sym_identifier_character_set_1,227,7296,7306
c,sym_identifier_character_set_1,228,7312,7354
c,sym_identifier_character_set_1,229,7357,7359
c,sym_identifier_character_set_1,230,7401,7404
c,sym_identifier_character_set_1,231,7406,7411
c,sym_identifier_character_set_1,232,7413,7414
c,sym_identifier_character_set_1,233,7418,7418
c,sym_identifier_character_set_1,234,7424,7615
c,sym_identifier_character_set_1,235,7680,7957
c,sym_identifier_character_set_1,236,7960,7965
c,sym_identifier_character_set_1,237,7968,8005
c,sym_identifier_character_set_1,238,8008,8013
c,sym_identifier_character_set_1,239,8016,8023
c,sym_identifier_character_set_1,240,8025,8025
c,sym_identifier_character_set_1,241,8027,8027
c,sym_identifier_character_set_1,242,8029,8029
c,sym_identifier_character_set_1,243,8031,8061
c,sym_identifier_character_set_1,244,8064,8116
c,sym_identifier_character_set_1,245,8118,8124
c,sym_identifier_character_set_1,246,8126,8126
c,sym_identifier_character_set_1,247,8130,8132
c,sym_identifier_character_set_1,248,8134,8140
c,sym_identifier_character_set_1,249,8144,8147
c,sym_identifier_character_set_1,250,8150,8155
c,sym_identifier_character_set_1,251,8160,8172
c,sym_identifier_character_set_1,252,8178,8180
c,sym_identifier_character_set_1,253,8182,8188
c,sym_identifier_character_set_1,254,8305,8305
c,sym_identifier_character_set_1,255,8319,8319
c,sym_identifier_character_set_1,256,8336,8348
c,sym_identifier_character_set_1,257,8450,8450
c,sym_identifier_character_set_1,258,8455,8455
c,sym_identifier_character_set_1,259,8458,8467
c,sym_identifier_character_set_1,260,8469,8469
c,sym_identifier_character_set_1,261,8472,8477
c,sym_identifier_character_set_1,262,8484,8484
c,sym_identifier_character_set_1,263,8486,8486
c,sym_identifier_character_set_1,264,8488,8488
c,sym_identifier_character_set_1,265,8490,8505
c,sym_identifier_character_set_1,266,8508,8511
c,sym_identifier_character_set_1,267,8517,8521
c,sym_identifier_character_set_1,268,8526,8526
c,sym_identifier_character_set_1,269,8544,8584
c,sym_identifier_character_set_1,270,11264,11492
c,sym_identifier_character_set_1,271,11499,11502
c,sym_identifier_character_set_1,272,11506,11507
c,sym_identifier_character_set_1,273,11520,11557
c,sym_identifier_character_set_1,274,11559,11559
c,sym_identifier_character_set_1,275,11565,11565
c,sym_identifier_character_set_1,276,11568,11623
c,sym_identifier_character_set_1,277,11631,11631
c,sym_identifier_character_set_1,278,11648,11670
c,sym_identifier_character_set_1,279,11680,11686
c,sym_identifier_character_set_1,280,11688,11694
c,sym_identifier_character_set_1,281,11696,11702
c,sym_identifier_character_set_1,282,11704,11710
c,sym_identifier_character_set_1,283,11712,11718
c,sym_identifier_character_set_1,284,11720,11726
c,sym_identifier_character_set_1,285,11728,11734
c,sym_identifier_character_set_1,286,11736,11742
c,sym_identifier_character_set_1,287,12293,12295
c,sym_identifier_character_set_1,288,12321,12329
c,sym_identifier_character_set_1,289,12337,12341
c,sym_identifier_character_set_1,290,12344,12348
c,sym_identifier_character_set_1,291,12353,12438
c,sym_identifier_character_set_1,292,12445,12447
c,sym_identifier_character_set_1,293,12449,12538
c,sym_identifier_character_set_1,294,12540,12543
c,sym_identifier_character_set_1,295,12549,12591
c,sym_identifier_character_set_1,296,12593,12686
c,sym_identifier_character_set_1,297,12704,12735
c,sym_identifier_character_set_1,298,12784,12799
c,sym_identifier_character_set_1,299,13312,19903
c,sym_identifier_character_set_1,300,19968,42124
c,sym_identifier_character_set_1,301,42192,42237
c,sym_identifier_character_set_1,302,42240,42508
c,sym_identifier_character_set_1,303,42512,42527
c,sym_identifier_character_set_1,304,42538,42539
c,sym_identifier_character_set_1,305,42560,42606
c,sym_identifier_character_set_1,306,42623,42653
c,sym_identifier_character_set_1,307,42656,42735
c,sym_identifier_character_set_1,308,42775,42783
c,sym_identifier_character_set_1,309,42786,42888
c,sym_identifier_character_set_1,310,42891,42957
c,sym_identifier_character_set_1,311,42960,42961
c,sym_identifier_character_set_1,312,42963,42963
c,sym_identifier_character_set_1,313,42965,42972
c,sym_identifier_character_set_1,314,42994,43009
c,sym_identifier_character_set_1,315,43011,43013
c,sym_identifier_character_set_1,316,43015,43018
c,sym_identifier_character_set_1,317,43020,43042
c,sym_identifier_character_set_1,318,43072,43123
c,sym_identifier_character_set_1,319,43138,43187
c,sym_identifier_character_set_1,320,43250,43255
c,sym_identifier_character_set_1,321,43259,43259
c,sym_identifier_character_set_1,322,43261,43262
c,sym_identifier_character_set_1,323,43274,43301
c,sym_identifier_character_set_1,324,43312,43334
c,sym_identifier_character_set_1,325,43360,43388
c,sym_identifier_character_set_1,326,43396,43442
c,sym_identifier_character_set_1,327,43471,43471
c,sym_identifier_character_set_1,328,43488,43492
c,sym_identifier_character_set_1,329,43494,43503
c,sym_identifier_character_set_1,330,43514,43518
c,sym_identifier_character_set_1,331,43520,43560
c,sym_identifier_character_set_1,332,43584,43586
c,sym_identifier_character_set_1,333,43588,43595
c,sym_identifier_character_set_1,334,43616,43638
c,sym_identifier_character_set_1,335,43642,43642
c,sym_identifier_character_set_1,336,43646,43695
c,sym_identifier_character_set_1,337,43697,43697
c,sym_identifier_character_set_1,338,43701,43702
c,sym_identifier_character_set_1,339,43705,43709
c,sym_identifier_character_set_1,340,43712,43712
c,sym_identifier_character_set_1,341,43714,43714
c,sym_identifier_character_set_1,342,43739,43741
c,sym_identifier_character_set_1,343,43744,43754
c,sym_identifier_character_set_1,344,43762,43764
c,sym_identifier_character_set_1,345,43777,43782
c,sym_identifier_character_set_1,346,43785,43790
c,sym_identifier_character_set_1,347,43793,43798
c,sym_identifier_character_set_1,348,43808,43814
c,sym_identifier_character_set_1,349,43816,43822
c,sym_identifier_character_set_1,350,43824,43866
c,sym_identifier_character_set_1,351,43868,43881
c,sym_identifier_character_set_1,352,43888,44002
c,sym_identifier_character_set_1,353,44032,55203
c,sym_identifier_character_set_1,354,55216,55238
c,sym_identifier_character_set_1,355,55243,55291
c,sym_identifier_character_set_1,356,63744,64109
c,sym_identifier_character_set_1,357,64112,64217
c,sym_identifier_character_set_1,358,64256,64262
c,sym_identifier_character_set_1,359,64275,64279
c,sym_identifier_character_set_1,360,64285,64285
c,sym_identifier_character_set_1,361,64287,64296
c,sym_identifier_character_set_1,362,64298,64310
c,sym_identifier_character_set_1,363,64312,64316
c,sym_identifier_character_set_1,364,64318,64318
c,sym_identifier_character_set_1,365,64320,64321
c,sym_identifier_character_set_1,366,64323,64324
c,sym_identifier_character_set_1,367,64326,64433
c,sym_identifier_character_set_1,368,64467,64605
c,sym_identifier_character_set_1,369,64612,64829
c,sym_identifier_character_set_1,370,64848,64911
c,sym_identifier_character_set_1,371,64914,64967
c,sym_identifier_character_set_1,372,65008,65017
c,sym_identifier_character_set_1,373,65137,65137
c,sym_identifier_character_set_1,374,65139,65139
c,sym_identifier_character_set_1,375,65143,65143
c,sym_identifier_character_set_1,376,65145,65145
c,sym_identifier_character_set_1,377,65147,65147
c,sym_identifier_character_set_1,378,65149,65149
c,sym_identifier_character_set_1,379,65151,65276
c,sym_identifier_character_set_1,380,65313,65338
c,sym_identifier_character_set_1,381,65345,65370
c,sym_identifier_character_set_1,382,65382,65437
c,sym_identifier_character_set_1,383,65440,65470
c,sym_identifier_character_set_1,384,65474,65479
c,sym_identifier_character_set_1,385,65482,65487
c,sym_identifier_character_set_1,386,65490,65495
c,sym_identifier_character_set_1,387,65498,65500
c,sym_identifier_character_set_1,388,65536,65547
c,sym_identifier_character_set_1,389,65549,65574
c,sym_identifier_character_set_1,390,65576,65594
c,sym_identifier_character_set_1,391,65596,65597
c,sym_identifier_character_set_1,392,65599,65613
c,sym_identifier_character_set_1,393,65616,65629
c,sym_identifier_character_set_1,394,65664,65786
c,sym_identifier_character_set_1,395,65856,65908
c,sym_identifier_character_set_1,396,66176,66204
c,sym_identifier_character_set_1,397,66208,66256
c,sym_identifier_character_set_1,398,66304,66335
c,sym_identifier_character_set_1,399,66349,66378
c,sym_identifier_character_set_1,400,66384,66421
c,sym_identifier_character_set_1,401,66432,66461
c,sym_identifier_character_set_1,402,66464,66499
c,sym_identifier_character_set_1,403,66504,66511
c,sym_identifier_character_set_1,404,66513,66517
c,sym_identifier_character_set_1,405,66560,66717
c,sym_identifier_character_set_1,406,66736,66771
c,sym_identifier_character_set_1,407,66776,66811
c,sym_identifier_character_set_1,408,66816,66855
c,sym_identifier_character_set_1,409,66864,66915
c,sym_identifier_character_set_1,410,66928,66938
c,sym_identifier_character_set_1,411,66940,66954
c,sym_identifier_character_set_1,412,66956,66962
c,sym_identifier_character_set_1,413,66964,66965
c,sym_identifier_character_set_1,414,66967,66977
c,sym_identifier_character_set_1,415,66979,66993
c,sym_identifier_character_set_1,416,66995,67001
c,sym_identifier_character_set_1,417,67003,67004
c,sym_identifier_character_set_1,418,67008,67059
c,sym_identifier_character_set_1,419,67072,67382
c,sym_identifier_character_set_1,420,67392,67413
c,sym_identifier_character_set_1,421,67424,67431
c,sym_identifier_character_set_1,422,67456,67461
c,sym_identifier_character_set_1,423,67463,67504
c,sym_identifier_character_set_1,424,67506,67514
c,sym_identifier_character_set_1,425,67584,67589
c,sym_identifier_character_set_1,426,67592,67592
c,sym_identifier_character_set_1,427,67594,67637
c,sym_identifier_character_set_1,428,67639,67640
c,sym_identifier_character_set_1,429,67644,67644
c,sym_identifier_character_set_1,430,67647,67669
c,sym_identifier_character_set_1,431,67680,67702
c,sym_identifier_character_set_1,432,67712,67742
c,sym_identifier_character_set_1,433,67808,67826
c,sym_identifier_character_set_1,434,67828,67829
c,sym_identifier_character_set_1,435,67840,67861
c,sym_identifier_character_set_1,436,67872,67897
c,sym_identifier_character_set_1,437,67968,68023
c,sym_identifier_character_set_1,438,68030,68031
c,sym_identifier_character_set_1,439,68096,68096
c,sym_identifier_character_set_1,440,68112,68115
c,sym_identifier_character_set_1,441,68117,68119
c,sym_identifier_character_set_1,442,68121,68149
c,sym_identifier_character_set_1,443,68192,68220
c,sym_identifier_character_set_1,444,68224,68252
c,sym_identifier_character_set_1,445,68288,68295
c,sym_identifier_character_set_1,446,68297,68324
c,sym_identifier_character_set_1,447,68352,68405
c,sym_identifier_character_set_1,448,68416,68437
