language_id,normalized_signature,known_pattern_match,observed,package_count,file_count,occurrences,ecosystems
julia,ID :: ID,0,1,6,78,424,github
julia,ID :: ID { ID },0,1,6,26,40,github
julia,ID = ID [ ],0,1,6,42,112,github
julia,ID = [,0,1,6,21,38,github
julia,ID [ ID ] = ID,0,1,6,34,115,github
julia,"STR => STR ,",0,1,6,10,145,github
julia,"] ,",0,1,6,8,23,github
julia,catch ID,0,1,6,47,131,github
julia,elseif ID == STR,0,1,6,9,22,github
julia,return ID,0,1,6,140,615,github
julia,return ID ( ID ),0,1,6,35,58,github
julia,"return ID ( ID , ID )",0,1,6,37,65,github
julia,ID ( ID :: ID ),0,1,5,26,63,github
julia,"ID :: ID = ID ,",0,1,5,23,101,github
julia,ID = ID [ ID ],0,1,5,35,108,github
julia,ID = ID [ NUM ],0,1,5,29,43,github
julia,"ID = ID { ID , ID } ( )",0,1,5,17,23,github
julia,ID = ID { ID } ( ),0,1,5,15,23,github
julia,ID = [ ],0,1,5,26,45,github
julia,ID [ ] = ID,0,1,5,10,14,github
julia,STR => [,0,1,5,5,14,github
julia,return ID ( ),0,1,5,11,15,github
julia,"return ID , ID",0,1,5,39,94,github
julia,! ! ! ID,0,1,4,12,23,github
julia,ID ( ID ) && return ID,0,1,4,13,21,github
julia,"ID ( ID , ID ) || return ID",0,1,4,6,7,github
julia,ID . ID [ ID ] = ID,0,1,4,5,14,github
julia,"ID :: ID ,",0,1,4,34,221,github
julia,"ID :: ID = NUM ,",0,1,4,9,36,github
julia,"ID :: ID { ID , ID }",0,1,4,8,51,github
julia,ID = ID . ID [ NUM ],0,1,4,13,25,github
julia,ID = [ ID ],0,1,4,7,16,github
julia,"ID = [ NUM , NUM , NUM ]",0,1,4,15,43,github
julia,ID == = ID && continue,0,1,4,5,10,github
julia,ID == NUM && return ID,0,1,4,6,8,github
julia,NUM NUM ],0,1,4,4,23,github
julia,abstract type ID end,0,1,4,13,14,github
julia,elseif ID == ID,0,1,4,5,5,github
julia,elseif ID == NUM,0,1,4,10,12,github
julia,elseif ID isa ID,0,1,4,26,32,github
julia,elseif ID isa ID . ID,0,1,4,9,11,github
julia,"export ID , ID",0,1,4,6,10,github
julia,"export ID , ID , ID",0,1,4,4,5,github
julia,"return ID ( ID , ID , ID )",0,1,4,16,21,github
julia,"return ID ( ID , ID , ID , ID )",0,1,4,9,16,github
julia,return ID . ID,0,1,4,12,12,github
julia,- ID :: ID : ID ID ID ID ID .,0,1,3,5,6,github
julia,ID && return ID,0,1,3,6,9,github
julia,ID ( ID ) && continue,0,1,3,4,8,github
julia,ID ( ID ) || return ID,0,1,3,9,15,github
julia,"ID ( ID :: ID , ID )",0,1,3,7,13,github
julia,"ID ( ID :: ID , ID :: ID )",0,1,3,7,14,github
julia,ID . ID [ ] = ID,0,1,3,4,5,github
julia,ID :: ID ;,0,1,3,17,48,github
julia,"ID :: ID = ID ( ) ,",0,1,3,3,4,github
julia,ID :: ID = ID ),0,1,3,9,37,github
julia,"ID :: ID = STR ,",0,1,3,3,11,github
julia,"ID :: ID { ID , ID , ID } = ID ,",0,1,3,5,11,github
julia,"ID :: ID { ID , ID } ,",0,1,3,9,18,github
julia,"ID :: ID { ID , ID } = ID ,",0,1,3,7,21,github
julia,ID = ID ( ID ) [ NUM ],0,1,3,8,10,github
julia,ID = ID ( ID [ ID ] ),0,1,3,9,18,github
julia,ID = ID ( ID [ NUM ] ),0,1,3,21,51,github
julia,ID = ID . ID [ ],0,1,3,3,4,github
julia,ID = ID == = ID ? ID : ID,0,1,3,4,5,github
julia,ID = ID [ : ID ],0,1,3,4,7,github
julia,"ID = ID [ ID , ID ]",0,1,3,8,10,github
julia,ID = ID [ NUM : NUM ],0,1,3,5,6,github
julia,"ID = ID { ID , ID } [ ]",0,1,3,3,6,github
julia,ID = ID { ID . ID } ( ),0,1,3,4,5,github
julia,ID = ID { ID } ( ID ),0,1,3,4,6,github
julia,"ID = ID { ID } ( ID , ID ( ID ) )",0,1,3,13,20,github
julia,"ID = ID { ID } ( ID , ID )",0,1,3,9,32,github
julia,"ID = [ NUM , NUM ]",0,1,3,15,21,github
julia,ID = [ NUM NUM ; NUM NUM ],0,1,3,7,11,github
julia,ID = [ NUM ],0,1,3,8,11,github
julia,ID = quote,0,1,3,5,13,github
julia,ID == = ID && return ID,0,1,3,6,10,github
