case_id,fact,present
CASE_10c11572bbda5c553a1f6718,arity:0,1
CASE_10c11572bbda5c553a1f6718,arity:1,1
CASE_10c11572bbda5c553a1f6718,arity:10,0
CASE_10c11572bbda5c553a1f6718,arity:11,0
CASE_10c11572bbda5c553a1f6718,arity:12,0
CASE_10c11572bbda5c553a1f6718,arity:13,0
CASE_10c11572bbda5c553a1f6718,arity:14,0
CASE_10c11572bbda5c553a1f6718,arity:17,0
CASE_10c11572bbda5c553a1f6718,arity:2,1
CASE_10c11572bbda5c553a1f6718,arity:3,1
CASE_10c11572bbda5c553a1f6718,arity:37,0
CASE_10c11572bbda5c553a1f6718,arity:38,0
CASE_10c11572bbda5c553a1f6718,arity:4,0
CASE_10c11572bbda5c553a1f6718,arity:5,1
CASE_10c11572bbda5c553a1f6718,arity:6,1
CASE_10c11572bbda5c553a1f6718,arity:7,0
CASE_10c11572bbda5c553a1f6718,arity:8,0
CASE_10c11572bbda5c553a1f6718,arity:9,0
CASE_10c11572bbda5c553a1f6718,control_flow:structured,1
CASE_10c11572bbda5c553a1f6718,effects:call.unknown,1
CASE_10c11572bbda5c553a1f6718,effects:control,1
CASE_10c11572bbda5c553a1f6718,effects:local.read,1
CASE_10c11572bbda5c553a1f6718,effects:local.write,1
CASE_10c11572bbda5c553a1f6718,evaluation_order:eager_left_to_right,1
CASE_10c11572bbda5c553a1f6718,family:BINDING,1
CASE_10c11572bbda5c553a1f6718,family:CALL,1
CASE_10c11572bbda5c553a1f6718,family:COMPARE,0
CASE_10c11572bbda5c553a1f6718,family:CONTROL,1
CASE_10c11572bbda5c553a1f6718,family:ITERATION,0
CASE_10c11572bbda5c553a1f6718,family:LITERAL,1
CASE_10c11572bbda5c553a1f6718,family:LOAD,1
CASE_10c11572bbda5c553a1f6718,family:LOGICAL_BINARY,0
CASE_10c11572bbda5c553a1f6718,family:LOGICAL_UNARY,1
CASE_10c11572bbda5c553a1f6718,family:OPERATION,0
CASE_10c11572bbda5c553a1f6718,kind:AddressOf,0
CASE_10c11572bbda5c553a1f6718,kind:AggregateExpr,0
CASE_10c11572bbda5c553a1f6718,kind:AssignStmt,1
CASE_10c11572bbda5c553a1f6718,kind:BindingPattern,0
CASE_10c11572bbda5c553a1f6718,kind:CallExpr,1
CASE_10c11572bbda5c553a1f6718,kind:ClosureExpr,1
CASE_10c11572bbda5c553a1f6718,kind:Deref,0
CASE_10c11572bbda5c553a1f6718,kind:ForEachStmt,0
CASE_10c11572bbda5c553a1f6718,kind:IfStmt,1
CASE_10c11572bbda5c553a1f6718,kind:IndexExpr,1
CASE_10c11572bbda5c553a1f6718,kind:LiteralExpr,1
CASE_10c11572bbda5c553a1f6718,kind:MemberAccessExpr,0
CASE_10c11572bbda5c553a1f6718,kind:ModuleDecl,0
CASE_10c11572bbda5c553a1f6718,kind:OperationExpr,1
CASE_10c11572bbda5c553a1f6718,kind:ReturnStmt,1
CASE_10c11572bbda5c553a1f6718,kind:Scope,1
CASE_10c11572bbda5c553a1f6718,kind:SliceExpr,0
CASE_10c11572bbda5c553a1f6718,kind:SymbolRef,1
CASE_10c11572bbda5c553a1f6718,language_operation:ASSIGNMENT,1
CASE_10c11572bbda5c553a1f6718,language_operation:BIT_AND,0
CASE_10c11572bbda5c553a1f6718,language_operation:BIT_OR,0
CASE_10c11572bbda5c553a1f6718,language_operation:CALL,1
CASE_10c11572bbda5c553a1f6718,language_operation:DIV,0
CASE_10c11572bbda5c553a1f6718,language_operation:EQ,0
CASE_10c11572bbda5c553a1f6718,language_operation:GT,0
CASE_10c11572bbda5c553a1f6718,language_operation:ITERATION,0
CASE_10c11572bbda5c553a1f6718,language_operation:LE,0
CASE_10c11572bbda5c553a1f6718,language_operation:LITERAL,1
CASE_10c11572bbda5c553a1f6718,language_operation:LOAD,1
CASE_10c11572bbda5c553a1f6718,language_operation:LT,0
CASE_10c11572bbda5c553a1f6718,language_operation:MUL,0
CASE_10c11572bbda5c553a1f6718,language_operation:NE,0
CASE_10c11572bbda5c553a1f6718,language_operation:NOT,1
CASE_10c11572bbda5c553a1f6718,language_operation:OR,0
CASE_10c11572bbda5c553a1f6718,language_operation:RETURN,1
CASE_10c11572bbda5c553a1f6718,language_operation:SUB,0
CASE_10c11572bbda5c553a1f6718,language_operation:UNSUPPORTED.ASSIGN.TARGET,1
CASE_10c11572bbda5c553a1f6718,language_operation:UNSUPPORTED.BINARY.LEFT,0
