case_id,source_language,source_path,source_hash,source_bytes,classification,parser_forms,semantic_features,relation_patterns,dependency_features,phase_features,preserved_source_forms
4d5787e95742e0e908abb86ed092de6ca5dd4fb0f9620f594ae70f27fcd1b5b8,go,test/corpus/declarations.txt,8a39d4eea69f7218f0d91296a27acb2942825d95f51820628a1425d670489218,136,VALID_SOURCE,_expression;_simple_statement;_simple_type;_statement;_type;argument_list;array_type;assignment_statement;binary_expression;blank_identifier;block;break_statement;call_expression;channel_type;comment;communication_case;composite_literal;const_declaration;const_spec;continue_statement;dec_statement;default_case;defer_statement;dot;empty_statement;escape_sequence;expression_case;expression_list;expression_statement;expression_switch_statement;fallthrough_statement;false;field_declaration;field_declaration_list;field_identifier;float_literal;for_clause;for_statement;func_literal;function_declaration;function_type;generic_type;go_statement;goto_statement;identifier;if_statement;imaginary_literal;implicit_length_array_type;import_declaration;import_spec;import_spec_list;inc_statement;index_expression;int_literal;interface_type;interpreted_string_literal;interpreted_string_literal_content;iota;keyed_element;label_name;labeled_statement;literal_element;literal_value;map_type;method_declaration;method_elem;negated_type;nil;package_clause;package_identifier;parameter_declaration;parameter_list;parenthesized_expression;parenthesized_type;pointer_type;qualified_type;range_clause;raw_string_literal;raw_string_literal_content;receive_statement;return_statement;rune_literal;select_statement;selector_expression;send_statement;short_var_declaration;slice_expression;slice_type;source_file;statement_list;struct_type;true;type_alias;type_arguments;type_assertion_expression;type_case;type_constraint;type_conversion_expression;type_declaration;type_elem;type_identifier;type_instantiation_expression;type_parameter_declaration;type_parameter_list;type_spec;type_switch_statement;unary_expression;var_declaration;var_spec;var_spec_list;variadic_argument;variadic_parameter_declaration,,,,,_expression;_simple_statement;_statement;comment;const_spec;dec_statement;defer_statement;dot;empty_statement;escape_sequence;expression_statement;fallthrough_statement;go_statement;goto_statement;inc_statement;iota;keyed_element;labeled_statement;method_elem;parenthesized_expression;receive_statement;select_statement;send_statement;var_spec
3f81dc424b06c127a02772da9214fa6d68cc77116ea0825259d72bf6bc00aa45,go,test/corpus/declarations.txt,c94e49206c3141355f17639918875e160840581362c6a4cc5fe3667b1cfaae8a,43,VALID_SOURCE,_expression;_simple_statement;_simple_type;_statement;_type;argument_list;array_type;assignment_statement;binary_expression;blank_identifier;block;break_statement;call_expression;channel_type;comment;communication_case;composite_literal;const_declaration;const_spec;continue_statement;dec_statement;default_case;defer_statement;dot;empty_statement;escape_sequence;expression_case;expression_list;expression_statement;expression_switch_statement;fallthrough_statement;false;field_declaration;field_declaration_list;field_identifier;float_literal;for_clause;for_statement;func_literal;function_declaration;function_type;generic_type;go_statement;goto_statement;identifier;if_statement;imaginary_literal;implicit_length_array_type;import_declaration;import_spec;import_spec_list;inc_statement;index_expression;int_literal;interface_type;interpreted_string_literal;interpreted_string_literal_content;iota;keyed_element;label_name;labeled_statement;literal_element;literal_value;map_type;method_declaration;method_elem;negated_type;nil;package_clause;package_identifier;parameter_declaration;parameter_list;parenthesized_expression;parenthesized_type;pointer_type;qualified_type;range_clause;raw_string_literal;raw_string_literal_content;receive_statement;return_statement;rune_literal;select_statement;selector_expression;send_statement;short_var_declaration;slice_expression;slice_type;source_file;statement_list;struct_type;true;type_alias;type_arguments;type_assertion_expression;type_case;type_constraint;type_conversion_expression;type_declaration;type_elem;type_identifier;type_instantiation_expression;type_parameter_declaration;type_parameter_list;type_spec;type_switch_statement;unary_expression;var_declaration;var_spec;var_spec_list;variadic_argument;variadic_parameter_declaration,,,,,_expression;_simple_statement;_statement;comment;const_spec;dec_statement;defer_statement;dot;empty_statement;escape_sequence;expression_statement;fallthrough_statement;go_statement;goto_statement;inc_statement;iota;keyed_element;labeled_statement;method_elem;parenthesized_expression;receive_statement;select_statement;send_statement;var_spec
17d6642226cf1951b78d356f24671c233c491bed03c43d4cdc1d57c7f2abdb82,go,test/corpus/errors.txt,29e9d1a39db90afb9af7f02df0423e2f38b73e07a48b0899c877267d41d0f110,242,EXPECTED_INVALID,_expression;_simple_statement;_simple_type;_statement;_type;argument_list;array_type;assignment_statement;binary_expression;blank_identifier;block;break_statement;call_expression;channel_type;comment;communication_case;composite_literal;const_declaration;const_spec;continue_statement;dec_statement;default_case;defer_statement;dot;empty_statement;escape_sequence;expression_case;expression_list;expression_statement;expression_switch_statement;fallthrough_statement;false;field_declaration;field_declaration_list;field_identifier;float_literal;for_clause;for_statement;func_literal;function_declaration;function_type;generic_type;go_statement;goto_statement;identifier;if_statement;imaginary_literal;implicit_length_array_type;import_declaration;import_spec;import_spec_list;inc_statement;index_expression;int_literal;interface_type;interpreted_string_literal;interpreted_string_literal_content;iota;keyed_element;label_name;labeled_statement;literal_element;literal_value;map_type;method_declaration;method_elem;negated_type;nil;package_clause;package_identifier;parameter_declaration;parameter_list;parenthesized_expression;parenthesized_type;pointer_type;qualified_type;range_clause;raw_string_literal;raw_string_literal_content;receive_statement;return_statement;rune_literal;select_statement;selector_expression;send_statement;short_var_declaration;slice_expression;slice_type;source_file;statement_list;struct_type;true;type_alias;type_arguments;type_assertion_expression;type_case;type_constraint;type_conversion_expression;type_declaration;type_elem;type_identifier;type_instantiation_expression;type_parameter_declaration;type_parameter_list;type_spec;type_switch_statement;unary_expression;var_declaration;var_spec;var_spec_list;variadic_argument;variadic_parameter_declaration,,,,,_expression;_simple_statement;_statement;comment;const_spec;dec_statement;defer_statement;dot;empty_statement;escape_sequence;expression_statement;fallthrough_statement;go_statement;goto_statement;inc_statement;iota;keyed_element;labeled_statement;method_elem;parenthesized_expression;receive_statement;select_statement;send_statement;var_spec
5c8064bdd7385c1a0e0f71396114212822274ae11b878aecca9ee7f2fb29537b,go,test/corpus/expressions.txt,aaa984ac976189b63e60f79958e7e4b7db16021890a2095b7de325e94c064c95,93,VALID_SOURCE,_expression;_simple_statement;_simple_type;_statement;_type;argument_list;array_type;assignment_statement;binary_expression;blank_identifier;block;break_statement;call_expression;channel_type;comment;communication_case;composite_literal;const_declaration;const_spec;continue_statement;dec_statement;default_case;defer_statement;dot;empty_statement;escape_sequence;expression_case;expression_list;expression_statement;expression_switch_statement;fallthrough_statement;false;field_declaration;field_declaration_list;field_identifier;float_literal;for_clause;for_statement;func_literal;function_declaration;function_type;generic_type;go_statement;goto_statement;identifier;if_statement;imaginary_literal;implicit_length_array_type;import_declaration;import_spec;import_spec_list;inc_statement;index_expression;int_literal;interface_type;interpreted_string_literal;interpreted_string_literal_content;iota;keyed_element;label_name;labeled_statement;literal_element;literal_value;map_type;method_declaration;method_elem;negated_type;nil;package_clause;package_identifier;parameter_declaration;parameter_list;parenthesized_expression;parenthesized_type;pointer_type;qualified_type;range_clause;raw_string_literal;raw_string_literal_content;receive_statement;return_statement;rune_literal;select_statement;selector_expression;send_statement;short_var_declaration;slice_expression;slice_type;source_file;statement_list;struct_type;true;type_alias;type_arguments;type_assertion_expression;type_case;type_constraint;type_conversion_expression;type_declaration;type_elem;type_identifier;type_instantiation_expression;type_parameter_declaration;type_parameter_list;type_spec;type_switch_statement;unary_expression;var_declaration;var_spec;var_spec_list;variadic_argument;variadic_parameter_declaration,,,,,_expression;_simple_statement;_statement;comment;const_spec;dec_statement;defer_statement;dot;empty_statement;escape_sequence;expression_statement;fallthrough_statement;go_statement;goto_statement;inc_statement;iota;keyed_element;labeled_statement;method_elem;parenthesized_expression;receive_statement;select_statement;send_statement;var_spec
f33d7081e9d1609770493c5be850642273b73db03935da97e5889ac609bb6fae,go,test/corpus/expressions.txt,a15bf713969387e72e4a66f5bde95876c38d098bf3d4ee2333e1d90c07cb39bc,42,VALID_SOURCE,_expression;_simple_statement;_simple_type;_statement;_type;argument_list;array_type;assignment_statement;binary_expression;blank_identifier;block;break_statement;call_expression;channel_type;comment;communication_case;composite_literal;const_declaration;const_spec;continue_statement;dec_statement;default_case;defer_statement;dot;empty_statement;escape_sequence;expression_case;expression_list;expression_statement;expression_switch_statement;fallthrough_statement;false;field_declaration;field_declaration_list;field_identifier;float_literal;for_clause;for_statement;func_literal;function_declaration;function_type;generic_type;go_statement;goto_statement;identifier;if_statement;imaginary_literal;implicit_length_array_type;import_declaration;import_spec;import_spec_list;inc_statement;index_expression;int_literal;interface_type;interpreted_string_literal;interpreted_string_literal_content;iota;keyed_element;label_name;labeled_statement;literal_element;literal_value;map_type;method_declaration;method_elem;negated_type;nil;package_clause;package_identifier;parameter_declaration;parameter_list;parenthesized_expression;parenthesized_type;pointer_type;qualified_type;range_clause;raw_string_literal;raw_string_literal_content;receive_statement;return_statement;rune_literal;select_statement;selector_expression;send_statement;short_var_declaration;slice_expression;slice_type;source_file;statement_list;struct_type;true;type_alias;type_arguments;type_assertion_expression;type_case;type_constraint;type_conversion_expression;type_declaration;type_elem;type_identifier;type_instantiation_expression;type_parameter_declaration;type_parameter_list;type_spec;type_switch_statement;unary_expression;var_declaration;var_spec;var_spec_list;variadic_argument;variadic_parameter_declaration,,,,,_expression;_simple_statement;_statement;comment;const_spec;dec_statement;defer_statement;dot;empty_statement;escape_sequence;expression_statement;fallthrough_statement;go_statement;goto_statement;inc_statement;iota;keyed_element;labeled_statement;method_elem;parenthesized_expression;receive_statement;select_statement;send_statement;var_spec
2b7a67ac8d8d09f31ed77b6486e196df750af7cfde4fec4063d0fa0d05a191d1,go,test/corpus/expressions.txt,15695b1138afded1e45d2bdfe52b896daea1c4b3b43e6409db6d6f2da9555778,71,VALID_SOURCE,_expression;_simple_statement;_simple_type;_statement;_type;argument_list;array_type;assignment_statement;binary_expression;blank_identifier;block;break_statement;call_expression;channel_type;comment;communication_case;composite_literal;const_declaration;const_spec;continue_statement;dec_statement;default_case;defer_statement;dot;empty_statement;escape_sequence;expression_case;expression_list;expression_statement;expression_switch_statement;fallthrough_statement;false;field_declaration;field_declaration_list;field_identifier;float_literal;for_clause;for_statement;func_literal;function_declaration;function_type;generic_type;go_statement;goto_statement;identifier;if_statement;imaginary_literal;implicit_length_array_type;import_declaration;import_spec;import_spec_list;inc_statement;index_expression;int_literal;interface_type;interpreted_string_literal;interpreted_string_literal_content;iota;keyed_element;label_name;labeled_statement;literal_element;literal_value;map_type;method_declaration;method_elem;negated_type;nil;package_clause;package_identifier;parameter_declaration;parameter_list;parenthesized_expression;parenthesized_type;pointer_type;qualified_type;range_clause;raw_string_literal;raw_string_literal_content;receive_statement;return_statement;rune_literal;select_statement;selector_expression;send_statement;short_var_declaration;slice_expression;slice_type;source_file;statement_list;struct_type;true;type_alias;type_arguments;type_assertion_expression;type_case;type_constraint;type_conversion_expression;type_declaration;type_elem;type_identifier;type_instantiation_expression;type_parameter_declaration;type_parameter_list;type_spec;type_switch_statement;unary_expression;var_declaration;var_spec;var_spec_list;variadic_argument;variadic_parameter_declaration,,,,,_expression;_simple_statement;_statement;comment;const_spec;dec_statement;defer_statement;dot;empty_statement;escape_sequence;expression_statement;fallthrough_statement;go_statement;goto_statement;inc_statement;iota;keyed_element;labeled_statement;method_elem;parenthesized_expression;receive_statement;select_statement;send_statement;var_spec
641e7c113c7c3a780b54587dc3b32f4bcd2696d0e144d003fc78911fa3f9af25,go,test/corpus/expressions.txt,98cee3f08482e909ef364391bb3295df0abcbd5c98f74ea37242687c6a1171f5,256,VALID_SOURCE,_expression;_simple_statement;_simple_type;_statement;_type;argument_list;array_type;assignment_statement;binary_expression;blank_identifier;block;break_statement;call_expression;channel_type;comment;communication_case;composite_literal;const_declaration;const_spec;continue_statement;dec_statement;default_case;defer_statement;dot;empty_statement;escape_sequence;expression_case;expression_list;expression_statement;expression_switch_statement;fallthrough_statement;false;field_declaration;field_declaration_list;field_identifier;float_literal;for_clause;for_statement;func_literal;function_declaration;function_type;generic_type;go_statement;goto_statement;identifier;if_statement;imaginary_literal;implicit_length_array_type;import_declaration;import_spec;import_spec_list;inc_statement;index_expression;int_literal;interface_type;interpreted_string_literal;interpreted_string_literal_content;iota;keyed_element;label_name;labeled_statement;literal_element;literal_value;map_type;method_declaration;method_elem;negated_type;nil;package_clause;package_identifier;parameter_declaration;parameter_list;parenthesized_expression;parenthesized_type;pointer_type;qualified_type;range_clause;raw_string_literal;raw_string_literal_content;receive_statement;return_statement;rune_literal;select_statement;selector_expression;send_statement;short_var_declaration;slice_expression;slice_type;source_file;statement_list;struct_type;true;type_alias;type_arguments;type_assertion_expression;type_case;type_constraint;type_conversion_expression;type_declaration;type_elem;type_identifier;type_instantiation_expression;type_parameter_declaration;type_parameter_list;type_spec;type_switch_statement;unary_expression;var_declaration;var_spec;var_spec_list;variadic_argument;variadic_parameter_declaration,,,,,_expression;_simple_statement;_statement;comment;const_spec;dec_statement;defer_statement;dot;empty_statement;escape_sequence;expression_statement;fallthrough_statement;go_statement;goto_statement;inc_statement;iota;keyed_element;labeled_statement;method_elem;parenthesized_expression;receive_statement;select_statement;send_statement;var_spec
3021f513b41aa05c9520b93abaef9f020abfe4609d4bbe2a79f9c2e403286d89,go,test/corpus/expressions.txt,793ca2533558e9c2cb7ffc6a6df715994a8fd2644f9e39eb6f6466cbb8394d7a,39,VALID_SOURCE,_expression;_simple_statement;_simple_type;_statement;_type;argument_list;array_type;assignment_statement;binary_expression;blank_identifier;block;break_statement;call_expression;channel_type;comment;communication_case;composite_literal;const_declaration;const_spec;continue_statement;dec_statement;default_case;defer_statement;dot;empty_statement;escape_sequence;expression_case;expression_list;expression_statement;expression_switch_statement;fallthrough_statement;false;field_declaration;field_declaration_list;field_identifier;float_literal;for_clause;for_statement;func_literal;function_declaration;function_type;generic_type;go_statement;goto_statement;identifier;if_statement;imaginary_literal;implicit_length_array_type;import_declaration;import_spec;import_spec_list;inc_statement;index_expression;int_literal;interface_type;interpreted_string_literal;interpreted_string_literal_content;iota;keyed_element;label_name;labeled_statement;literal_element;literal_value;map_type;method_declaration;method_elem;negated_type;nil;package_clause;package_identifier;parameter_declaration;parameter_list;parenthesized_expression;parenthesized_type;pointer_type;qualified_type;range_clause;raw_string_literal;raw_string_literal_content;receive_statement;return_statement;rune_literal;select_statement;selector_expression;send_statement;short_var_declaration;slice_expression;slice_type;source_file;statement_list;struct_type;true;type_alias;type_arguments;type_assertion_expression;type_case;type_constraint;type_conversion_expression;type_declaration;type_elem;type_identifier;type_instantiation_expression;type_parameter_declaration;type_parameter_list;type_spec;type_switch_statement;unary_expression;var_declaration;var_spec;var_spec_list;variadic_argument;variadic_parameter_declaration,,,,,_expression;_simple_statement;_statement;comment;const_spec;dec_statement;defer_statement;dot;empty_statement;escape_sequence;expression_statement;fallthrough_statement;go_statement;goto_statement;inc_statement;iota;keyed_element;labeled_statement;method_elem;parenthesized_expression;receive_statement;select_statement;send_statement;var_spec
caa175b758ac345658fcc1bf031c79e95f00ce54ecdaea55e3621e667706ffeb,go,test/corpus/expressions.txt,39df7fd839cdd266fc519849a882f0ba1395233f6a46aa9b741e50b82c5fd09d,105,VALID_SOURCE,_expression;_simple_statement;_simple_type;_statement;_type;argument_list;array_type;assignment_statement;binary_expression;blank_identifier;block;break_statement;call_expression;channel_type;comment;communication_case;composite_literal;const_declaration;const_spec;continue_statement;dec_statement;default_case;defer_statement;dot;empty_statement;escape_sequence;expression_case;expression_list;expression_statement;expression_switch_statement;fallthrough_statement;false;field_declaration;field_declaration_list;field_identifier;float_literal;for_clause;for_statement;func_literal;function_declaration;function_type;generic_type;go_statement;goto_statement;identifier;if_statement;imaginary_literal;implicit_length_array_type;import_declaration;import_spec;import_spec_list;inc_statement;index_expression;int_literal;interface_type;interpreted_string_literal;interpreted_string_literal_content;iota;keyed_element;label_name;labeled_statement;literal_element;literal_value;map_type;method_declaration;method_elem;negated_type;nil;package_clause;package_identifier;parameter_declaration;parameter_list;parenthesized_expression;parenthesized_type;pointer_type;qualified_type;range_clause;raw_string_literal;raw_string_literal_content;receive_statement;return_statement;rune_literal;select_statement;selector_expression;send_statement;short_var_declaration;slice_expression;slice_type;source_file;statement_list;struct_type;true;type_alias;type_arguments;type_assertion_expression;type_case;type_constraint;type_conversion_expression;type_declaration;type_elem;type_identifier;type_instantiation_expression;type_parameter_declaration;type_parameter_list;type_spec;type_switch_statement;unary_expression;var_declaration;var_spec;var_spec_list;variadic_argument;variadic_parameter_declaration,,,,,_expression;_simple_statement;_statement;comment;const_spec;dec_statement;defer_statement;dot;empty_statement;escape_sequence;expression_statement;fallthrough_statement;go_statement;goto_statement;inc_statement;iota;keyed_element;labeled_statement;method_elem;parenthesized_expression;receive_statement;select_statement;send_statement;var_spec
81aa183153af6645a35b82e01927844e57c678cfd1a65bc95465e0eff1006d55,go,test/corpus/expressions.txt,538acdfbc807a40ea088bab8eeda08941582c6ac438f7d32c79241d09bc787b2,48,VALID_SOURCE,_expression;_simple_statement;_simple_type;_statement;_type;argument_list;array_type;assignment_statement;binary_expression;blank_identifier;block;break_statement;call_expression;channel_type;comment;communication_case;composite_literal;const_declaration;const_spec;continue_statement;dec_statement;default_case;defer_statement;dot;empty_statement;escape_sequence;expression_case;expression_list;expression_statement;expression_switch_statement;fallthrough_statement;false;field_declaration;field_declaration_list;field_identifier;float_literal;for_clause;for_statement;func_literal;function_declaration;function_type;generic_type;go_statement;goto_statement;identifier;if_statement;imaginary_literal;implicit_length_array_type;import_declaration;import_spec;import_spec_list;inc_statement;index_expression;int_literal;interface_type;interpreted_string_literal;interpreted_string_literal_content;iota;keyed_element;label_name;labeled_statement;literal_element;literal_value;map_type;method_declaration;method_elem;negated_type;nil;package_clause;package_identifier;parameter_declaration;parameter_list;parenthesized_expression;parenthesized_type;pointer_type;qualified_type;range_clause;raw_string_literal;raw_string_literal_content;receive_statement;return_statement;rune_literal;select_statement;selector_expression;send_statement;short_var_declaration;slice_expression;slice_type;source_file;statement_list;struct_type;true;type_alias;type_arguments;type_assertion_expression;type_case;type_constraint;type_conversion_expression;type_declaration;type_elem;type_identifier;type_instantiation_expression;type_parameter_declaration;type_parameter_list;type_spec;type_switch_statement;unary_expression;var_declaration;var_spec;var_spec_list;variadic_argument;variadic_parameter_declaration,,,,,_expression;_simple_statement;_statement;comment;const_spec;dec_statement;defer_statement;dot;empty_statement;escape_sequence;expression_statement;fallthrough_statement;go_statement;goto_statement;inc_statement;iota;keyed_element;labeled_statement;method_elem;parenthesized_expression;receive_statement;select_statement;send_statement;var_spec
