case_id,language,case_name,exact_row_class,atoms
21,r,Functions,failure_row_001,CONTROL_FLOW|EXPRESSION|FIELD|FUNCTION|PARSER
22,r,Functions With `return` As Parameter Name,failure_row_002,FIELD|FUNCTION|PARSER
23,r,Function Dots And Dot Dot I,failure_row_003,CALL|EXPRESSION|FIELD|FUNCTION|PARSER
25,r,Lambda Function,failure_row_004,CALL|EXPRESSION|FUNCTION|PARSER
26,r,Relational,failure_row_005,EXPRESSION|PARSER
27,r,Arithmetic Operator,failure_row_005,EXPRESSION|PARSER
29,r,Unary Operators,failure_row_006,CALL|EXPRESSION|PARSER
30,r,Operator precedence,failure_row_006,CALL|EXPRESSION|PARSER
31,r,Specials,failure_row_005,EXPRESSION|PARSER
32,r,Pipe,failure_row_004,CALL|EXPRESSION|FUNCTION|PARSER
33,r,Pipe Placeholder,failure_row_006,CALL|EXPRESSION|PARSER
34,r,Subset,failure_row_006,CALL|EXPRESSION|PARSER
35,r,Subset2,failure_row_006,CALL|EXPRESSION|PARSER
40,r,Identifiers starting with `else` that are not the `else` keyword (#200),failure_row_007,CONTROL_FLOW|EXPRESSION|FIELD|PARSER
48,r,Switch,failure_row_008,CALL|FIELD|FUNCTION|PARSER
50,r,Dollar No RHS,failure_row_009,EXPRESSION|FIELD|PARSER
52,r,Slot No RHS,failure_row_009,EXPRESSION|FIELD|PARSER
53,r,Namespace get,failure_row_003,CALL|EXPRESSION|FIELD|FUNCTION|PARSER
54,r,Namespace get internal,failure_row_003,CALL|EXPRESSION|FIELD|FUNCTION|PARSER
55,r,Namespace With Missing RHS,failure_row_003,CALL|EXPRESSION|FIELD|FUNCTION|PARSER
56,r,"Dollar, At, Namespace, Namespace Internal With Expression RHS",failure_row_009,EXPRESSION|FIELD|PARSER
57,r,Assignment,failure_row_003,CALL|EXPRESSION|FIELD|FUNCTION|PARSER
58,r,Calls,failure_row_003,CALL|EXPRESSION|FIELD|FUNCTION|PARSER
59,r,Calls With NULL As Argument Name,failure_row_003,CALL|EXPRESSION|FIELD|FUNCTION|PARSER
