language_id,model,model_type,usefulness,url,notes
c,K Framework C semantics,EXECUTABLE_FORMAL,high,https://github.com/kframework/c-semantics,Executable formal semantics
cpp,Hylian ASG,RESEARCH_SEMANTIC_GRAPH,medium-high,https://dl.acm.org/doi/10.1145/2184512.2184552,Language-complete semantic graph research system
cpp,CBS/Funcons / CinK case study,COMPONENT_FORMAL,medium,https://plancomps.csle.cs.rhul.ac.uk/funkons-component-based-semantics-in-k/,"Subset/case-study, useful basis"
csharp,Moderne semantic tree ecosystem,EXTERNAL_SEMANTIC_TREE,medium,https://moderne.ai/,Not normative; current public OpenRewrite core support differs
go,K-Go,EXECUTABLE_FORMAL_RESEARCH,medium-high,https://ietresearch.onlinelibrary.wiley.com/doi/10.1049/blc2.12024,Go 1.18 core/concurrency model
java,K-Java,EXECUTABLE_FORMAL,high,https://github.com/kframework/java-semantics,Historical but substantial executable semantics
java,OpenRewrite LST,EXTERNAL_SEMANTIC_TREE,high,https://docs.openrewrite.org/reference/supported-languages,Type-attributed lossless semantic tree
julia,Official compiler/manual semantics,IMPLEMENTATION_PLUS_REFERENCE,medium-high,https://docs.julialang.org/en/v1/,No single complete formal semantics
kotlin,OpenRewrite LST,EXTERNAL_SEMANTIC_TREE,high,https://docs.openrewrite.org/reference/supported-languages,Independent semantic-tree representation
nim,Nim compiler/manual,IMPLEMENTATION_PLUS_REFERENCE,medium-high,https://nim-lang.org/docs/manual.html,No widely adopted full executable formal semantics found
python,Moderne Python semantic analysis,EXTERNAL_SEMANTIC_TREE,medium-high,https://moderne.ai/blog/semantic-code-analysis-for-python,Symbols/imports/control/data-flow semantic tree
python,K Python semantics,EXECUTABLE_FORMAL_HISTORICAL,medium,https://github.com/runtimeverification/python-semantics,Old Python version; formal cross-check only
r,R Language Definition,REFERENCE_SEMANTICS,high,https://stat.ethz.ch/R-manual/R-devel/doc/manual/R-lang.html,Strong official language-definition source
rust,Official executable specification project,FORMALIZATION_IN_PROGRESS,high-potential,https://goals.rust-lang.org/2026/executable-spec.html,Bridges surface Rust to a-mir-formality/MiniRust
swift,Swift SIL,OFFICIAL_SEMANTIC_IR,high,https://github.com/swiftlang/swift/blob/main/docs/SIL/SIL.md,High-level semantic information in compiler IR
zig,Zig Sema + Language Reference,IMPLEMENTATION_PLUS_REFERENCE,high,https://github.com/ziglang/zig/blob/master/src/Sema.zig,Strong implementation evidence; no separate formal model
